index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P113SA4-S188,5283.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,21136.0,0.0,WT,Bla-SA4,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA5-S189,3442.0,17.0,0.0,0.0,423.0,12.0,0.0,0.0,42.0,81.0,14.0,0.0,0.0,16.0,811.0,0.0,190.0,0.0,2.0,9.0,0.0,16070.0,54.0,WT,Bla-SA5,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA6-S190,3412.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,14101.0,0.0,WT,Bla-SA6,Bladder,Yes,Yes,Post,Abx-Bladder
P113SM1-S172,36.0,374.0,0.0,89.0,8800.0,0.0,0.0,172.0,1502.0,1622.0,607.0,7.0,43.0,881.0,9485.0,48.0,3473.0,39.0,46.0,723.0,288.0,20.0,1035.0,WT,Bla-SM1,Bladder,Yes,No,Post,Abx-Bladder
P113SM2-S173,52.0,728.0,0.0,64.0,8325.0,0.0,0.0,0.0,2355.0,1337.0,602.0,0.0,39.0,232.0,6215.0,15.0,2570.0,62.0,29.0,644.0,690.0,27.0,1550.0,WT,Bla-SM2,Bladder,Yes,No,Post,Abx-Bladder
P113SM3-S174,69.0,445.0,0.0,74.0,8660.0,0.0,0.0,685.0,2053.0,1639.0,626.0,13.0,35.0,714.0,5073.0,16.0,1944.0,22.0,34.0,130.0,367.0,0.0,926.0,WT,Bla-SM3,Bladder,Yes,No,Post,Abx-Bladder
P113SM4-S175,12.0,960.0,0.0,91.0,12356.0,0.0,0.0,62.0,2333.0,2515.0,79.0,0.0,91.0,968.0,5708.0,89.0,2230.0,11.0,39.0,319.0,633.0,9.0,1270.0,WT,Bla-SM4,Bladder,Yes,No,Post,Abx-Bladder
P113SM5-S176,50.0,356.0,0.0,80.0,9855.0,0.0,0.0,22.0,1590.0,1784.0,736.0,47.0,54.0,408.0,8821.0,37.0,4679.0,59.0,34.0,663.0,411.0,0.0,3468.0,WT,Bla-SM5,Bladder,Yes,No,Post,Abx-Bladder
P113SM6-S177,58.0,531.0,0.0,53.0,9588.0,0.0,0.0,114.0,1781.0,1766.0,145.0,0.0,104.0,1130.0,5175.0,62.0,1479.0,25.0,11.0,588.0,125.0,0.0,1469.0,WT,Bla-SM6,Bladder,Yes,No,Post,Abx-Bladder
P113SM7-S178,57.0,338.0,0.0,27.0,7788.0,7.0,0.0,75.0,1688.0,487.0,1086.0,23.0,90.0,636.0,3744.0,44.0,1002.0,27.0,22.0,1835.0,204.0,0.0,1276.0,WT,Bla-SM7,Bladder,Yes,No,Post,Abx-Bladder
P113SM8-S179,59.0,1022.0,0.0,56.0,8850.0,8.0,0.0,1048.0,1459.0,1892.0,1471.0,38.0,141.0,1035.0,4531.0,65.0,1255.0,9.0,19.0,1698.0,322.0,57.0,1019.0,WT,Bla-SM8,Bladder,Yes,No,Post,Abx-Bladder
