SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00220686209193871	0.00104097268487675	0.088690872751499	0.22314290473018	0.026190872751499	0.0389740173217855	0.000458027981345769	0.0569203864090606	0.0711192538307795	0	0.0116172551632245	0.0119503664223851	0.0306878747501666	0.0214856762158561	0.268529313790806	0	0.00191538974017322	0.0694536975349767	0.0157395069953364	0.00245669553630913	0.0016655562958028	0.000749500333111259	0	0.00532978014656895	0.00012491672218521	0.0219020652898068	0.0272734843437708	0.00037475016655563
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.000549551199853453	0.0639921841607132	0.214630274164987	0.131831226720401	0.00500702204310924	0.000732734933137937	0.0688160224705379	0.0783415766013311	0	0.0308359284362215	0.0114184527080662	0.0105025340416438	0	0.259021798864261	0	0.00042742871099713	0.0410331562557245	0.0321182145692129	0.00616718568724431	0.00763265555352018	0.000976979910850583	0.000793796177566099	0	0	0.00873175795322709	0.0264395188373939	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00194350868100544	0.000647836227001814	0.112550747171115	0.182560248769111	0.0973481903774726	0.0156344476116438	0	0.0558434827675564	0.0913880970890559	0	0.00755808931502116	0.00673749676081887	0.0177939017016498	0.000302323572600847	0.220177939017016	0.00285047939880798	0.00095015979960266	0.0659497279087847	0.0193918977282543	0.00138205061760387	0.00224583225360629	0.0010365379632029	0	0	0	0.0138636952578388	0.0814546082750281	0.000388701736201088
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.00105806933466111	0.0702060123233958	0.269123047239684	0.00149374494305097	0.0255181427771208	0.000809111844152611	0.0804755088068712	0.0415136615422917	0	0.00908694840356009	0.013070268251696	0.0275720420738159	0.0217215410468662	0.252505134748242	0	0.00149374494305097	0.0500404555922076	0.045683699508309	0.00186718117881372	0.00896246965830584	0.000186718117881372	0.000497914981016991	0.00796663969627186	0	0.0293147445073754	0.0398331984813593	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00140252454417952	0	0.0968521115786193	0.157939847280661	0.182795698924731	0.000467508181393174	0	0.0346735234533271	0.0773726040205704	0	0.00257129499766246	0	0.0313230481533427	0	0.27964781050335	0	0.000701262272089762	0.0389590151160979	0.0199470157394421	0.0017921146953405	0.00522050802555711	0.00054542621162537	0	0	0	0.00638927847904005	0.0610098176718093	0.000389590151160979
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.000457038391224863	0	0.0397623400365631	0.138848263254113	0.118921389396709	0.0824497257769653	0	0.0139853747714808	0.179981718464351	0	0.00457038391224863	0.00429616087751371	0.0196526508226691	0	0.285466179159049	0	0.000822669104204753	0.046800731261426	0.0309872029250457	0.00164533820840951	0.00539305301645338	0.00146252285191956	0	0	0	0.00319926873857404	0.0212979890310786	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.041657368146991	0.00119021051848546	0.0857695454883583	0.16030647920851	0.0831659599791713	0.028565052443651	0	0.0705943613776687	0.012869151231124	0	0.0358550918693744	0.0267797366659228	0.0270029011381388	0.00639738153685933	0.232537380049096	0	0.000297552629621364	0.0403183813136949	0.05125344045228	0.00185970393513353	0.00952168414788366	0.0012645986758908	0.00066949341664807	0.00319869076842967	0	0.0109350591385851	0.0679907758684817	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0323997101078569	0	0.103892228332694	0.136036151255489	0.0764377371360361	0.0012363047277998	0.00341049580082705	0.045146438163448	0.0228076906680309	0	0.00630941723153003	0.0316749797501812	0.0310781429850365	0.00315470861576502	0.240994159525941	0.00021315598755169	0	0.0503048130621989	0.0505606002472609	0.00383680777593043	0.0145372383510253	0.00140682951784116	0.000426311975103381	0.00204629748049623	0.000980517542737775	0.00899518267468133	0.130664620369186	0.00144946071535149
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0123029883885997	0.00189276744439996	0.193298875259346	0.190568922214538	0.0426964656207913	0.0606049575947294	0.0041495286281076	0.00824445819531904	0.00635169075091908	0	0.0162159210861573	0.0594583773159102	0.0730717431660175	0.0018381683835038	0.149819823099043	0	0.000473191861099989	0.058693990463364	0.0271357332653878	0.000855385287373057	0.00107378153095767	0.00214756306191534	0.000545990608961526	0	0.00021839624358461	0.0101008262657882	0.0763112874458559	0.00192916681833072
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.003220583263643	0.00199284710236473	0.12599419939147	0.173733563459725	0.0862084304549741	0.0301596057009662	0.000711731107987402	0.00313161687514457	0.0041636269817263	0	0.0253020408889522	0.0126154338890767	0.0182736961975766	0.0010675966619811	0.297218910695539	0	0.00103201010658173	0.0860838775110763	0.0375971957794345	0.00120994288357858	0.00555150264230174	0.00256223198875465	0.0015480151598726	0.000195726054696536	0.000622764719488977	0.00633440686108788	0.0653725022686429	0.0080959413533567
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0236686390532544	0.002477426752114	0.116234311336787	0.187219753895293	0.0933846563338179	0.0564075264634221	0.00264122356217113	0.0439384942978236	0.0426485944186237	0	0.0239757580721115	0.0165230032145124	0.0280092545197682	0.00118752687291415	0.188407280768207	0.000327593620114248	0	0.0288077639687967	0.0379803853319957	0.00178129030937123	0.0022726807395426	0.00184271411314265	0.00159701889805696	0.000204746012571405	0	0.0107901148625131	0.0851538666284474	0.00251837595462828
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.02057117661025	0.00298477088491673	0.17372723264254	0.165417359156124	0.0706339246345352	0.0362412237560628	0.00278126377912695	0.0422107655258963	0.0172472272156836	0	0.00254383882237221	0.0209442729708646	0.0119899603161144	0.00105145337991385	0.19668961774582	0.00178068717566055	0.000169589254824814	0.0363429773089577	0.0438727402231795	0.00220466031272259	0.00720754333005461	0.00228945494013499	0.00162805684631822	0.000508767764474443	0	0.00622392565207068	0.130617644066072	0.00211986568531018
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0368646158907715	0.00363546635959862	0.12026649119921	0.20419476887646	0.11681197565389	0.0439710478697154	0.00052640236881066	0.0291659812469156	0.0212205954926797	0.0209244941602237	0.00422766902451061	0.0208257937160717	0.0245106102977463	0.00291166310248396	0.210873498930745	0.000279651258430663	0.000789603553215989	0.0266326698470143	0.0441190985359434	0.00332291495311729	0.000575752590886659	0.00315841421286396	0.00139825629215331	0.00166145747655864	0	0.00630037835170258	0.0479190656357954	0.00291166310248396
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0139508816877164	0.00332259162146474	0.19419146934609	0.155000900702548	0.0778006845339365	0.0171533796361162	0.0101078841496367	0.0227377354336382	0.0125097576109365	0.0226977042092832	0.00146113968895739	0.00932727527471428	0.0590260403114429	0.00158123336202238	0.137307099537639	0	0	0.0297231840835852	0.0503192490142311	0.00250195152218731	0.00964752506955425	0.00162126458637737	0.000420327855727467	0.000160124897419988	0	0.00568443385840956	0.15970456956426	0.00204159244210484
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0219708946451011	0.00208764035834448	0.154201629575581	0.188070047427946	0.109368032753658	0.0437796424662532	0.00212817706433175	0.0376180631561879	0.0595078843893145	0.00437796424662532	0.00265515424216628	0.00484413636547894	0.0321456078479063	0.0033442782439499	0.207710081478779	0	0.000324293647898172	0.0372532328023025	0.0490494142445985	0.00168227329847177	0.00145932141554177	0.00202683529936357	0.00121610117961814	0.000222951882929993	0	0.00573594389719891	0.0268150310105801	0.000405367059872715
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.00824604837173872	0.00190439916206437	0.149609598171777	0.23047038659303	0.0936012188154637	0.054408684060179	0.000323747857550943	0.0305656065511331	0.0238049895258046	0.00999809560083794	0.00992191963435536	0.0217101504475338	0.0428299371548276	0.00358027042468101	0.188516473052752	0.000304703865930299	0.000380879832412874	0.0269091601599695	0.023995429442011	0.00180917920396115	0.00493239382974672	0.00146638735478956	0.000761759664825747	0.000209483907827081	0	0.00883641211197867	0.0588268901161683	0.00207579508665016
