SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.23699208818696	0	0	0	0.529827605235665	2.65308796703463	2.18349944690354	1.33986800003279	1.61821685307011	0	0.395129031338209	1.80552278170427	0.417123325044377	0	0	0.347487396902983	0.591423676482177	2.39850002742392	0	1.67566010195598	1.20673885178912	0.400732908856208	0.353736346179984	0	0.70729539312015	0	0	0.86466416335885	0.481766159765426	0	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.01649417786156	0	0	0	0.189879543541315	2.3991152151259	2.50488722073486	2.09612477157669	1.08382615109339	0	0.180736164101445	1.76631688103491	0.121422162885463	0	0	1.23291417576652	0.712758288821652	2.36657357088516	0	1.69897000433602	1.37669466798877	0.550030991323952	0.353736346179984	0	0.249000995659971	0	0	0.161850819941071	1.43600866920475	0	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.70398436451415	0	0	0	0.675955640913903	2.71376143536938	2.15884866082609	1.48452944256752	1.16855450623558	0	0.60900885128329	1.31209542181414	0.293968141176494	0	0.293968141176494	0.432917592227609	1.07448612483924	2.37904221144475	0	1.84349399578302	0.899573413269106	0.232914175766516	1.14712756312036	0.853030579850838	0.499864381858222	0.0768400302327223	0	0.131887596563628	0.887036207113865	0	0.427716398541801
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.49181337820354	0	0	0	0.670006308400702	2.63736059050415	2.13518396519286	1.21790826714156	1.36172783601759	0	0.778151250383644	1.86139949788956	0.499864381858222	0	0.744166753073276	0.619228016464976	1.58781955221335	2.50176579127144	0	1.78784881876712	0.920258012128957	0.472426133511283	0.654766341843965	0	0.171396137847301	0	0	0.994359732647307	0.591423676482177	0	0.395129031338209
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.23861259186528	0	0	0	0.232914175766516	2.42043489660298	0	0	0.81613434407894	0	1.15209098265191	1.70729539312015	0	1.43498075279138	1.02846629994145	1.09970291319223	0	2.13353890837022	0.365970802596996	1.66153790255947	0.272066299728665	0.189879543541315	0.629212237371577	0	0.180736164101445	0	1.92311025579503	0	0	1.78325792525697	0.807491382575434
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.50820379439171	0	0	0	0.462880815605052	2.51140893426692	0	0	0.773456129175264	0	1.83945777266156	1.82271629794494	0	1.13804790526845	0.908312027646766	0.651653106419822	0.279490317807871	2.03484831000739	0.467679698486821	1.49496208321649	0.264513161838219	0.417123325044377	1.11069829749369	0	0.5214755308709	0	2.07754372114861	0	0	1.4531209783159	1.08613010600295
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.0151433385706	0	0	0	0	2.05874430551332	0	0	0.241032065988696	0	1.01649417786156	1.55003099132395	0	1.15209098265191	0.417123325044377	0.638972074660733	0	1.8184813108818	0	1.27949031780787	0.286789556549371	0	0.605548319173784	0	0	0	1.69219283978459	0	0	1.03883800436881	0.594998136840476
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.11069829749369	0	0	0	0	0.189879543541315	0.0768400302327223	0	0	0	0	0.224641649800526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4367267658307	0	0	0	1.68559728675264
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.663974343630789	0	0.161850819941071	0	0	0.11069829749369	0	0	0	0	0.232914175766516	0.301029995663981	0	0	0	0	0	0.353736346179984	0	0	0	0	0	0	0	0	2.79679806948961	0	0	0	2.18906447702387
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0884219027825375	0	0	0	0	0.249000995659971	0.0401172232079824	0	0	0	0.359896654884803	0.453120978315896	0	0	0	0	0	0	0	0	0	0	0	0.0401172232079824	0	0	2.63470474305106	0	0	0.0527063505160029	2.12574353666811
