SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1	0	0.215599800339355	0	0	0	0.679946767022588	0.578147833922551	0	0	3.1416513073615	0	0	2.5327543789925
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.176091259055681	0	0.433655560938572	0.0843208857000359	0	0	0.899194943108419	0	0	0.0843208857000359	2.97938576022588	0	0.109144469425068	2.46919062093324
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.617299957884699	0.234083206033368	1.8848762456853	0.345233658156035	0	0	1.16350213174766	1.5414009255364	0	0.109144469425068	3.08409090420914	0	0.372385904199649	2.46357306670116
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	2.05252905127618	0.936657334638212	2.95434590057942	0	0	1.66944971264603	2.7931914954	2.68892806604188	1.64345267648619	0	0.71120446075303	0	2.25750715411231	0.762356983200412
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.69146040255727	0.569875307956561	2.92242885939413	0	0	1.23044892137827	2.3186594839677	2.77939032249919	1.63057314831017	0	0.717194824442218	0	1.9559624898336	0.646263653820016
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.9046382755548	0.466655821041497	2.89407859189647	0	0	1.64556261334188	2.45939248775923	2.8185557792978	1.46025332943237	0	0.507084478097106	0	2.09116430188922	0.466655821041497
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	2.04308145390407	0.385350881364017	3.09048479252153	0	0	1.00616030870482	2.63332414772582	2.79845332854869	1.4666558210415	0	0.977723605288848	0	2.41437637951682	0.673415899863631
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.79239168949825	0.639201799332529	2.91874158938157	0	0	1.23044892137827	2.44682553586963	2.69019608002851	1.10672499530166	0	0.78837041556533	0	2.3445326176779	0.594234653816006
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.85862311991276	0.778151250383644	2.91978763251035	0	0	1.57896648540323	1.90656590624673	2.92038424217836	1.58303675401453	0	0.285235728480749	0	2.13897899388857	0.734685556602553
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.86586507898102	0.507084478097106	2.80700318950521	0	0	1.00920800178682	2.52955867302116	2.54663078247649	1.24303804868629	0	0.903089986991944	0	2.36828688490213	0.569875307956561
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.75641874363575	0.477121254719662	2.90021101992657	0	0	1.37369995809748	2.46813625168047	2.84207406458054	1.22122788534778	0	0.71120446075303	0	2.30242370352334	0.984205732816768
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.67929808208959	0.455931955649724	2.57650588685557	0	0	0.950781977329818	2.38573391341757	2.42836623260709	1.26884531229258	0	0.91832995354868	0	1.60283482557792	0
P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.78226781657848	0.234083206033368	2.90413568696756	0	0	0.866709189026934	2.44914767612386	2.7535283446274	1.39794000867204	0	0.71120446075303	0	1.87671257519829	0.639201799332529
S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.83159556961061	0	0.2518119729938	0.330993219041424	0.132625565274591	0	0.433655560938572	0.561442140419698	0	0	3.0248373706326	0	0	2.36815401218214
S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.8750612633917	0	0.717194824442218	0.196294645143968	0	0	0.624723975963906	0	0	0	3.10209052551184	0	0	2.39880773020326
S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.879177829586532	0	0.666785320964618	1.95835907563416	1.23408320603337	0	0.910776815658235	0.632023214705406	0	0	3.18341221197843	0.196294645143968	0	2.43570788837941
S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	1.39794000867204	0	0.397940008672038	0	0	0	0.2518119729938	0	0	0	3.10660366704779	0	0	2.5565609324809
S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.7514990556122	0.578147833922551	2.83505610172012	2.43182309205152	2.04280044808262	1.76020700612685	1.88689340900467	2.65037691587506	0.751499055612203	0	0.971143259977526	0.385350881364017	1.57320325130549	0
S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.11346584320771	1.39669739128094	3.03975394273174	2.42136885542598	2.22843702504453	1.29635173338621	2.71289010821066	2.39232001603198	0.507084478097106	0	1.73468555660255	0.899194943108419	0.883255742006972	0
S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.94307033112691	0.808114473761087	3.16192388556442	0	0	0	2.738497427578	2.9305488100274	0	0	1.35493122653951	0	0.176091259055681	0.883255742006972
S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.06231332076033	1.12571357085826	2.75017767178784	2.51841992656831	1.88649072517248	1.50997016633459	2.5669422901774	2.79438844925433	1.2230878217319	0	0.58626572414473	0.745966567012242	0.602059991327962	0
S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.19609719368255	0.808114473761087	2.94795859140495	0	0	0	2.69716704705827	2.46293251425185	0	0	1.78887511577542	0	0	0
S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.00216606175651	0.617299957884699	3.12569034593342	0	0	0	2.57137603908596	2.87456464300379	0	0	1.50901039913314	0	0	0.507084478097106
S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.81052054352697	0.858193338104404	3.06389603812599	0.285235728480749	0	0	2.6930985383352	2.93080353887742	0	0	1.57154246732402	0	0	0
S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.27940618482003	0.705130313040837	3.09139056895487	0.26884531229258	0	0	2.8019913887023	2.59486589590665	0	0	1.48328156342448	0	0	0
