SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0151006711409396	0	0	0	0.00221716203259827	0.150347555129434	0.017707334611697	0.0659755512943432	0.0598034515819751	0.0804470278044103	0.042635426653883	0.14078978906999	0.0193851869606903	0.0376318312559923	0	0.000149808245445829	0.0012284276126558	0.0584252157238734	0	0.00149808245445829	0	0	0.0011385426653883	0.00269654841802493	0	0.231573585810163	0	0.00233700862895494	0.0229805848513902	0.0175575263662512	0.000209731543624161	0	0.0140220517737296	0.0014081975071908	0	0.00116850431447747	0.00380512943432407	0	0	0.00587248322147651	0.00188758389261745	0	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.00833285607926236	0	0	0	0.00048679915239677	0.0293224901208407	0.0190138021877327	0.0617375866216139	0.0306397113567379	0.0756256800870511	0.0052975201878472	0.283002119008075	0.109873432220377	0.00987915926922857	0	0	0.000458163908138136	0.050942099536109	0	0.000286352442586335	0	0	0.0142889868850581	0.00369394650936372	0	0.20557241853273	0	0.00380848748639826	0.0186415440123704	0.0210469045300956	0	0	0.0202451176908539	0.000515434396655403	0.00174674989977665	0.00111677452608671	0.000687245862207205	0	0	0.000400893419620869	0.0233377240707863	0	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0435620553807783	0	0	0	0.00328770229288893	0.140917722415894	0.0174304906045404	0.0736331944562537	0.104129467448913	0.0877759827679052	0.0297593742028739	0.125782954964147	0.0259331689482187	0.0120738032480231	0	0	0.00269251480883145	0.0168636453816285	0.000283422611455942	0.000850267834367826	0	0.000850267834367826	0.00150213984071649	0.00955134200606524	0	0.209420967604796	0	0.00133208627384293	0.0316866479607743	0.0267834367825865	0.000595187484057478	0	0.00609358614630275	0.000623529745203072	0	0.0114502735028201	0.00189893149675481	0.000170053566873565	0	0.000311764872601536	0.00589519031828359	0	0.00685882719723379
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0257281821699	0	0	0	0.00315038965345714	0.135107500138175	0.0171336981152932	0.0494390095617089	0.0666832476648428	0.0763554966008954	0.0261150721273421	0.116094622229592	0.0132924335378323	0.0188470679268225	0	0.00163046482064887	0.00265295970817443	0.0610733432819322	0.000331619963521804	0.00185154479633007	0	0.0038965345713812	0.00270822970209473	0.0323053114464157	0	0.271154590172995	0	0.00154755982976842	0.0237660973857293	0.0262532471121428	0.000138174984800752	0	0.00627314430995413	0.00168573481456917	0	0.00301221466865639	0.000414524954402255	0	0	0.00759962416404134	0.00248714972641353	0	0.00127120986016692
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0223656294200849	0	0	0	0.000972418670438472	0.0700583451202263	0	0.220385431400283	0	0.0689533239038189	0	0	0	0.0076025459688826	0	0	0.0180781471004243	0.0684671145685997	0	0	0.0359352899575672	0.0132602545968883	0.0158681046676096	0	0	0.184980551626591	0.00181223479490806	0.00110502121640736	0.0468528995756719	0.0121552333804809	0.00137022630834512	0	0.00119342291371994	0.000751414427157001	0	0.00446428571428571	0.000707213578500707	0	0.113419377652051	0	0	0.0818157708628006	0.00742574257425743
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0374917696270189	0	0	0	0.00228513885123359	0.0851311050001936	0	0.243851427243503	0	0.0596072659669236	0	0	0	0.0059258685464193	0	0	0.0817614934737984	0.0784306131143731	0.000193655834850304	0	0.015298810953174	0.00852085673341338	0.00418296603276657	0.0010844726751617	0.000271118168790426	0.128626205507572	0.00232387001820365	0.000542236337580851	0.0223866145086951	0.00646810488400015	0.00189782718153298	0.00503505170610791	0.00100701034122158	0.00193655834850304	0	0.0142918006119524	0.00278864402184438	0	0.142337038614973	0	0	0.0328827607575816	0.0134397149386111
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0280464216634429	0	0	0	0	0.0808510638297872	0	0.177272727272727	0	0.0821083172147002	0	0	0	0.00222437137330754	0	0	0.0281431334622824	0.103384912959381	0	0	0.0395551257253385	0.00483558994197292	0.0100580270793037	0	0	0.194390715667311	0	0.00125725338491296	0.0370406189555126	0.0148936170212766	0.000870406189555126	0	0.00280464216634429	0	0	0.00909090909090909	0	0	0.14458413926499	0	0	0.0297872340425532	0.00880077369439072
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000902889245585875	0	0	0	0	0	0	0.00100321027287319	0	0.000702247191011236	0	0.000601926163723917	0	0	0	0	0	0.00210674157303371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847010433386838	0	0	0	0.147672552166934
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0045954373871656	0	0.0005744296733957	0	0	0	0	0.000205153454784179	0	0.000164122763827343	0	0	0	0	0	0	0.000902675201050386	0.00127195141966191	0	0	0	0	0	0	0	0.00160019694731659	0	0	0	0	0	0	0	0	0	0	0	0	0.79537994419826	0	0	0	0.195306088954538
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000398066533977822	0	0	0	0	0.00022746659084447	0	0.000739266420244527	0	0.000398066533977822	0	0.000170599943133352	0	0	0	0	0.0022746659084447	0.00324139891953369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.758430480523173	0	0	0.00022746659084447	0.233892522035826
