SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0151006711409396	0	0	0	0.00221716203259827	0.416916347075743	0.14078978906999	0.0193851869606903	0.0376318312559923	0	0.00137823585810163	0.0584252157238734	0.00149808245445829	0	0	0.0011385426653883	0.00269654841802493	0.231573585810163	0	0.0430848513902205	0.0140220517737296	0.0014081975071908	0.00116850431447747	0	0.00380512943432407	0	0	0.00587248322147651	0.00188758389261745	0	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.00833285607926236	0	0	0	0.00048679915239677	0.221636790561824	0.283002119008075	0.109873432220377	0.00987915926922857	0	0.000458163908138136	0.050942099536109	0.000286352442586335	0	0	0.0142889868850581	0.00369394650936372	0.20557241853273	0	0.0434969360288643	0.0202451176908539	0.00226218429643205	0.00111677452608671	0	0.000687245862207205	0	0	0.000400893419620869	0.0233377240707863	0	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0435620553807783	0	0	0	0.00328770229288893	0.453646231896381	0.125782954964147	0.0259331689482187	0.0120738032480231	0	0.00269251480883145	0.0171470679930845	0.000850267834367826	0	0.000850267834367826	0.00150213984071649	0.00955134200606524	0.209420967604796	0	0.0603973585012612	0.00609358614630275	0.000623529745203072	0.0114502735028201	0.0053850296176629	0.00189893149675481	0.000170053566873565	0	0.000311764872601536	0.00589519031828359	0	0.0014737975795709
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0257281821699	0	0	0	0.00315038965345714	0.370834024208257	0.116094622229592	0.0132924335378323	0.0188470679268225	0	0.0042834245288233	0.061404963245454	0.00185154479633007	0	0.0038965345713812	0.00270822970209473	0.0323053114464157	0.271154590172995	0	0.0517050793124413	0.00627314430995413	0.00168573481456917	0.00301221466865639	0	0.000414524954402255	0	0	0.00759962416404134	0.00248714972641353	0	0.00127120986016692
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0223656294200849	0	0	0	0.000972418670438472	0.359397100424328	0	0	0.0076025459688826	0	0.0180781471004243	0.0684671145685997	0	0.0359352899575672	0.0132602545968883	0.0158681046676096	0	0.184980551626591	0.00181223479490806	0.0614833804809052	0.00119342291371994	0.000751414427157001	0.00446428571428571	0	0.000707213578500707	0	0.113419377652051	0	0	0.0818157708628006	0.00742574257425743
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0374917696270189	0	0	0	0.00228513885123359	0.38858979821062	0	0	0.0059258685464193	0	0.0817614934737984	0.0786242689492234	0	0.015298810953174	0.00852085673341338	0.00418296603276657	0.0010844726751617	0.128897323676362	0.00232387001820365	0.036329834617917	0.00100701034122158	0.00193655834850304	0.0142918006119524	0	0.00278864402184438	0	0.142337038614973	0	0	0.0328827607575816	0.0134397149386111
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0280464216634429	0	0	0	0	0.340232108317215	0	0	0.00222437137330754	0	0.0281431334622824	0.103384912959381	0	0.0395551257253385	0.00483558994197292	0.0100580270793037	0	0.194390715667311	0	0.0540618955512573	0.00280464216634429	0	0.00909090909090909	0	0	0	0.14458413926499	0	0	0.0297872340425532	0.00880077369439072
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000902889245585875	0	0	0	0	0.00170545746388443	0.000601926163723917	0	0	0	0	0.00210674157303371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847010433386838	0	0	0	0.147672552166934
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0045954373871656	0	0.0005744296733957	0	0	0.000369276218611521	0	0	0	0	0.000902675201050386	0.00127195141966191	0	0	0	0	0	0.00160019694731659	0	0	0	0	0	0	0	0	0.79537994419826	0	0	0	0.195306088954538
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000398066533977822	0	0	0	0	0.00136479954506682	0.000170599943133352	0	0	0	0.0022746659084447	0.00324139891953369	0	0	0	0	0	0	0	0	0	0	0	0.000170599943133352	0	0	0.758430480523173	0	0	0.00022746659084447	0.233721922092693
