SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_aeruginosa	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.72199370732399	0	2.02118929906994	2.03073461697617	0.744727494896694	1.1249387366083	2.36993702027858	0.301029995663981	0.708515322242249	0	0.492915521902894	0.221848749616356	0.60805035501715	1.26324143477458	0	0	1.2115951152508	3.1629956327005
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.46405878188042	0	0	0	0	0	0	0	0	0	0.1249387366083	0	0	1.45314839503141	0	2.15702000421974	0	3.02510096104681
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.73860440983791	0	0	0	0	0	0	0	0	0	0	0.106455330914287	0	1.24027183244314	0	2.31210680254767	0	3.06474908526629
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.23327821139714	0	0	0	0	0	0	0	0	0	0	0	0	0.982773598025489	0	1.92456642291988	0	2.6699364163087
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.176091259055681	0	0	0	0	0	0.1249387366083	0	0	0	0	0	0	0	0	2.67214918994711	0	1.92885084913637
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0	0.2498774732166	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03259637857525	0	2.44291506476282
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.142667503568732	0	0	0	0	0	0.0669467896306132	0	0	0	0	0	0	0	0	2.87037138725409	0	2.37372911418369
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.537119184394948	0	0	0.0457574905606751	0	0	0.28879553924697	0	0	0	0	0	0	0.263241434774581	0	2.97481861464544	0	2.50987428500472
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.94448267215017	0	0	0.0457574905606751	0	0	0	0	0	0	0.142667503568732	0	0.515579506538838	1.46818316693188	0	0.0871501757189002	0	3.24363049084856
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.58483358935345	0	0	0	0	0	0	0	0	0	0	0	0.906095497131669	1.64998354364515	0	0.45229767099463	0	3.13004771909761
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.79703659454402	0	0	0	0	0	0	0	0	0	0	0	0.20712549279565	1.53289586603786	0	0.0457574905606751	0	3.16601874881555
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.93505919306699	0	0	0	0	0	0	0	0	0	0	0.263241434774581	0.434923574925208	1.37413709399941	0	0.159700842867512	0	3.29997918041892
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.68524397982926	0	0	0	0	0	0	0	0	0	0	0	0.263241434774581	1.32336670486477	0	0.500602350569185	0	3.15261105681528
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.75119353714593	0	0	0	0	0	0	0	0	0	0	0	0	1.69068819847426	0	0	0	3.1701312770453
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.75840719218789	0	0	0	0	0	0	0	0	0	0	0	0	1.26192339284667	0	0.500602350569185	0	3.08819517236596
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.64944304017537	0	0	0	0	0	0	0	0	0	0.20712549279565	0	0	1.59903353669777	0	0.45229767099463	0	3.18791222404688
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.57274255912067	0	0	0	0	0	0	0	0	0	0	0	0	1.23468597432153	0	0.557640851539549	0	2.86223079432592
P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.67516708966339	0	0	0	0	0	0	0	0	0	0	0	0	1.27492719309978	0	0.469003364497483	0	3.13036951142593
S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0	0	0	0	0	0	0.276206411938949	0	0	0	0	0	0	0	0	2.91581007225422	0	2.28002161493946
S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0	0.477121254719662	0	0.407485326578268	0	0	0.159700842867512	0	0	0	0	0	0	0	0.335792101923193	2.99252897240687	0	2.30606743635559
S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0	0.221848749616356	0	0.335792101923193	0	0	1.85057816928184	0	0	0	0	0	0	0	0.88460658129793	3.07190245383431	0.159700842867512	2.37859975755503
S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.703768887217788	2.995781397084	0	2.47832595585803
S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.64454799732379	0	0.951553370928544	2.04900254537382	0.425968732272281	1.06069784035361	2.32313746522793	0.263241434774581	0.890855530574932	0.142667503568732	0.378195950476281	0	0.861998790552458	0.982773598025489	0	0.515579506538838	0.324511091513504	2.97790135027764
S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.00527586753367	0	1.61337193329152	1.80655680219139	0.236089188730967	1.04139268515822	2.31269440171985	0.176091259055681	0.848531215852651	0.522878745280338	0	0	0	0.972614199510367	0	0.508155488459631	0.805425335250306	3.1828582951398
S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.8353382027251	0	0	0	0	0	0	0	0	0	0	0.388180171382881	0.625541087177485	1.89732157282416	0	0.647817481888638	0	3.33389488544274
S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.95424250943932	0	0.717855348496393	1.91381385238372	0.0871501757189002	0.443697499232713	2.40965138833478	0.159700842867512	0.946124619217145	0	0.946124619217145	0.335792101923193	1.02802872360024	0.583576585633949	0	0	0.658541347280411	3.07936216439305
S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.08774199204746	0	0	0	0	0	0	0	0	0	0	0	0.753327666658612	1.01189922329971	0	0	0	3.12679859566078
