SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.10451887075384	0	0	0	0.434717406166575	2.0707678817292	1.16862080230215	1.71774788975976	1.67594877019855	1.80237591040485	1.53266551472552	2.04249309406258	1.20538063515767	1.48014069549344	0	0.0477727817960007	0.290810830482295	1.6660388431209	0	0.335014492974349	0	0	0.275016563299063	0.490383185387499	0	2.25706433634816	0	0.449316914736864	1.27501656329906	1.16518218986568	0.0655015487564323	0	1.07495244455513	0.320774053859738	0	0.28034539680413	0.596980465798687	0	0	0.744929445368551	0.391837409685184	0	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.890278011231978	0	0	0	0.144682794804057	1.39469596384488	1.21595095821731	1.7087567737812	1.41302670875512	1.79531405591737	0.724466391420867	2.36330581528172	1.95536327001462	0.955363270014621	0	0	0.137383556062558	1.62707991705739	0	0.0908074140212025	0	0	1.1005308309588	0.602059991327962	0	2.22518902851122	0	0.612044212234563	1.20789101487527	1.2575111414101	0	0	1.24159280781211	0.15186137943118	0.383564883719194	0.28034539680413	0.19260634712124	0	0	0.122406400092905	1.30001883226912	0	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.56518863137484	0	0	0	0.567928668740865	2.06680248177685	1.18475743803437	1.78829994562734	1.93672410551614	1.86346119249363	1.40515170637012	2.01790648833346	1.34789705349896	1.0377043871355	0	0	0.50641063082165	1.17135222314158	0.0908074140212025	0.229854404540869	0	0.229854404540869	0.348802777459982	0.946315141037224	0	2.237637245406	0	0.320774053859738	1.43136376415899	1.36128848900804	0.172711518404301	0	0.778151250383644	0.179444901063269	0	1.01683906755235	0.407924229578639	0.0567276244489271	0	0.098925304243382	0.766205265901452	0	0.821376404428924
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.35509050129903	0	0	0	0.562431196829647	2.05955461234411	1.18804507282519	1.62945701375225	1.75675990688954	1.81461921111275	1.36128848900804	1.99430691964972	1.08586283140414	1.22686955099141	0	0.375131716182331	0.509546344674509	1.71929273614424	0.106894233914657	0.407924229578639	0	0.63134936742995	0.515750657075793	1.45003416425068	0	2.36018817303588	0	0.362166739017963	1.32221929473392	1.36348079291579	0.0477727817960007	0	0.797895308579401	0.383564883719194	0	0.548375132365186	0.129959537983351	0	0	0.868958664404846	0.490383185387499	0	0.315921551065326
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.10610388887051	0	0	0	0.179444901063269	1.5781859449736	0	2.06801318004134	0	1.57146506677456	0	0	0	0.698970004336019	0	0	1.0216699792318	1.56847460782206	0	0	1.29900530909757	0.901825664463184	0.970757597504883	0	0	1.9926665230558	0.290810830482295	0.19904045712665	1.4091070568606	0.868958664404846	0.23576326415139	0	0.21162958443467	0.144682794804057	0	0.524894036515663	0.137383556062558	0	1.78300562352063	0	0	1.64391151908767	0.690813999718106
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.37128270001141	0	0	0	0.375131716182331	1.71697340095547	0	2.16855229619239	0	1.56573802358207	0	0	0	0.658787615776889	0	0	1.69977724338238	1.68208207884232	0.0477727817960007	0	1.00800565492451	0.786487292910171	0.545508491713583	0.217789893139489	0.0655015487564323	1.89338753154629	0.379368769125586	0.122406400092905	1.15962314459699	0.688750839154333	0.330319371765969	0.604577647549209	0.205380635157669	0.335014492974349	0	0.981428760453548	0.427229384774025	0	1.93684092985629	0	0	1.31689639879654	0.957596151446913
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.888975777926733	0	0	0	0	1.31052041949419	0	1.63976437846346	0	1.31689639879654	0	0	0	0.186075479962282	0	0	0.890278011231978	1.41263633166645	0	0	1.0216699792318	0.335014492974349	0.53384887916859	0	0	1.67892049379101	0	0.114719571426614	0.995941143523132	0.660997770582006	0.0825348880552126	0	0.223864040851682	0	0	0.50325211157682	0	0	1.55348787988583	0	0	0.911838660886238	0.493636342785221
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0825348880552126	0	0	0	0	0	0	0.0908074140212025	0	0.0655015487564323	0	0.0567276244489271	0	0	0	0	0	0.172711518404301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29523457185101	0	0	0	1.54694417725874
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.556863242590705	0	0.122406400092905	0	0	0	0	0.0477727817960007	0	0.0386294023561309	0	0	0	0	0	0	0.179444901063269	0.23576326415139	0	0	0	0	0	0	0	0.28034539680413	0	0	0	0	0	0	0	0	0	0	0	0	2.65495963922141	0	0	0	2.04804413105938
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0655015487564323	0	0	0	0	0.0386294023561309	0	0.114719571426614	0	0.0655015487564323	0	0.0292893761019875	0	0	0	0	0.285609636796487	0.366531544420413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49298765785222	0	0	0.0386294023561309	1.98520708330555
