SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0497088186356073	0.374049203708106	0	0	0.0190159258378892	0.460779652959353	0.0178868552412646	0.00172331827905871	0.0748454956025671	0.00199072973615403
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0275052151742254	0.451827242524917	0	0	0.00865332612222823	0.436992969172526	0.022560457390095	0.00227922429112261	0.0483272811558371	0.00185428416904891
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0404885691902286	0.390143152197137	0	0	0.021544049569119	0.47087102058258	0.013887899722242	0.0011039099779218	0.0609999287800014	0.0009614699807706
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0409617567103909	0.4547230066774	0	0	0.00337828921322811	0.390403547203674	0.0104515822534245	0.00314075325292301	0.0955686346960859	0.00137242999287392
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0335818114051435	0.432240029817369	0	0	0.00834886321282147	0.400633619083116	0.00614983227730153	0.00268356317554976	0.114834140887067	0.0015281401416325
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0374701503020087	0.408238516645596	0	0	0.0181556398370558	0.44795617361989	0.0183312262958281	0.000456524792807979	0.0672144964180362	0.00217727208877651
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0446600282063336	0.383050557716142	0	0	0.00551305611350912	0.41198341809479	0.00987221676140006	0.00418821317150306	0.139108508910637	0.00162400102568486
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0277920213311455	0.379858476053738	0	0	0.010836495402181	0.472361809045226	0.00748641165008717	0.00198270262879021	0.0955457559908385	0.00413632789799337
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0483596080102258	0.373952563556313	0	0	0.00788240306774606	0.506249112341997	0.0174691095014913	0.00724328930549638	0.0388439142167306	0
P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0331318206799089	0.440174295359975	0	0	0.00349375834183874	0.465062416581613	0.0131899191332339	0.00227683127895109	0.0408259401742954	0.0018450184501845
