Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.14612803567824	0.033059816862885	3.3059816862885	1390
Bacteria	Actinobacteriota	PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.56157836830096	0.0630683790350573	6.30683790350573	3634
Bacteria	Actinobacteriota	PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.42569721336259	0.046155450863133	4.6155450863133	2655
Bacteria	Actinobacteriota	PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	1.93751789201735	0.0243416936813968	2.43416936813968	856
Bacteria	Actinobacteriota	PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	1.80071707828238	0.0138477636529599	1.38477636529599	622
Bacteria	Actinobacteriota	PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.38345629652475	0.0476671219589445	4.76671219589445	2408
Bacteria	Actinobacteriota	PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.78675142214556	0.00983306654470615	0.983306654470615	602
Bacteria	Actinobacteriota	PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.16016829295851	0.0253939061698704	2.53939061698704	1436
Bacteria	Actinobacteriota	PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.81424759573192	0.0150516962464539	1.50516962464539	642
Bacteria	Actinobacteriota	PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.02284061087653	0.0242042055966429	2.42042055966429	1044
Bacteria	Actinobacteriota	PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.03422726077055	0.0174345796672467	1.74345796672467	1072
Bacteria	Actinobacteriota	PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.17926446433903	0.0248946827213321	2.48946827213321	1501
Bacteria	Actinobacteriota	PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.04020662757471	0.0225776300758126	2.25776300758126	1087
Bacteria	Actinobacteriota	PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.03422726077055	0.0225679459379803	2.25679459379803	1072
Bacteria	Actinobacteriota	PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.04099769242349	0.0334510827829826	3.34510827829826	1089
Bacteria	Actinobacteriota	PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.97818051693741	0.0237488327486561	2.37488327486561	941
Bacteria	Actinobacteriota	PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.93348728784871	0.0271568564657657	2.71568564657657	848
Bacteria	Actinobacteriota	PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.95472479097906	0.0238989324607049	2.38989324607049	891
Bacteria	Actinobacteriota	PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.14270224573762	0.0341336633663366	3.41336633663366	1379
Bacteria	Actinobacteriota	PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.27508089845686	0.0527604943832878	5.27604943832878	1874
Bacteria	Actinobacteriota	PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.24551266781415	0.047469212824825	4.7469212824825	1750
Bacteria	Actinobacteriota	PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.80002935924413	0.0210651289009498	2.10651289009498	621
Bacteria	Actinobacteriota	Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.08564728829686	0.0276854674214471	2.76854674214471	1208
Bacteria	Actinobacteriota	Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.42324587393681	0.00868735733996525	0.868735733996525	255
Bacteria	Actinobacteriota	Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.08529057823006	0.0307735454591811	3.07735454591811	1207
Bacteria	Actinobacteriota	Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.61278385671974	0.0128745695065821	1.28745695065821	400
Bacteria	Actinobacteriota	Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.07408468902824	0.0228958588867473	2.28958588867473	1176
Bacteria	Actinobacteriota	Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.28645646974698	0.0310768684078758	3.10768684078758	1924
Bacteria	Actinobacteriota	Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.04060234011407	0.0187211783329892	1.87211783329892	1088
Bacteria	Actinobacteriota	Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.25406445291434	0.0318812623908268	3.18812623908268	1785
Bacteria	Bacteroidota	ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.34621601315501	0.502571422098371	50.2571422098371	22183
Bacteria	Bacteroidota	ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	2.9367147582112	0.427955390334572	42.7955390334572	8634
Bacteria	Bacteroidota	ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.26061987517237	0.450827990791851	45.0827990791851	18213
Bacteria	Bacteroidota	ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.26370706460743	0.447685060893759	44.7685060893759	18343
Bacteria	Bacteroidota	ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.22367761613003	0.411397230625446	41.1397230625446	16727
Bacteria	Bacteroidota	ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.17315712015347	0.400910119015564	40.0910119015564	14889
Bacteria	Bacteroidota	ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.298525595322	0.53354272368527	53.354272368527	19875
Bacteria	Bacteroidota	ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.20959543200086	0.426996809324157	42.6996809324157	16193
Bacteria	Bacteroidota	PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	3.31902273343041	0.45365673104139	45.365673104139	20836
Bacteria	Bacteroidota	PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	3.41279642871654	0.52492692432608	52.492692432608	25860
Bacteria	Bacteroidota	PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	3.08102308645133	0.459142040038132	45.9142040038132	12041
Bacteria	Bacteroidota	PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	2.9282934122322	0.335207030322223	33.5207030322223	8468
Bacteria	Bacteroidota	PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	3.41884795925006	0.507155842648822	50.7155842648822	26223
Bacteria	Bacteroidota	PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	3.44282455918764	0.506479027688934	50.6479027688934	27712
Bacteria	Bacteroidota	PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	3.33312470871688	0.450236372003514	45.0236372003514	21524
Bacteria	Bacteroidota	PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Bacteroidota	3.43461680151952	0.47457242582897	47.457242582897	27193
Bacteria	Bacteroidota	PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.40903657180091	0.492309169467115	49.2309169467115	25637
Bacteria	Bacteroidota	PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.45027990825426	0.517483801097671	51.7483801097671	28192
Bacteria	Bacteroidota	PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.42391728199112	0.573730078065869	57.3730078065869	26531
Bacteria	Bacteroidota	PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.31793803963606	0.410653599936774	41.0653599936774	20784
Bacteria	Bacteroidota	PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.46441502242617	0.692710191461529	69.2710191461529	29125
Bacteria	Bacteroidota	PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.45530177165708	0.494967025338424	49.4967025338424	28520
Bacteria	Bacteroidota	PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.42249134920997	0.459711767466926	45.9711767466926	26444
Bacteria	Bacteroidota	PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.11650812373735	0.371580503895808	37.1580503895808	13067
Bacteria	Bacteroidota	PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.36325462099469	0.513636262439611	51.3636262439611	23071
Bacteria	Bacteroidota	PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Bacteroidota	3.36936430878124	0.463170813785458	46.3170813785458	23398
Bacteria	Bacteroidota	PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.40817210149705	0.417921662147594	41.7921662147594	25586
Bacteria	Bacteroidota	PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.37966803403365	0.423703336929035	42.3703336929035	23960
Bacteria	Bacteroidota	PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.33639968898608	0.508451926007549	50.8451926007549	21687
Bacteria	Bacteroidota	PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.30928941065526	0.472352954814179	47.2352954814179	20374
Bacteria	Bacteroidota	PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.46271237319474	0.471823312244865	47.1823312244865	29011
Bacteria	Bacteroidota	PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.42362264528925	0.439728662885196	43.9728662885196	26513
Bacteria	Bacteroidota	PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.38517712881843	0.504019108941739	50.4019108941739	24266
Bacteria	Bacteroidota	PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.35322357609746	0.474600534725585	47.4600534725585	22544
Bacteria	Bacteroidota	PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.09170212171715	0.379081554292735	37.9081554292735	12341
Bacteria	Bacteroidota	PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.18363990422135	0.384953183756909	38.4953183756909	15253
Bacteria	Bacteroidota	PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.02407498730743	0.338179722026516	33.8179722026516	10560
Bacteria	Bacteroidota	PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.18287096398891	0.408400836864975	40.8400836864975	15226
Bacteria	Bacteroidota	PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.26547820358064	0.455891089108911	45.5891089108911	18418
Bacteria	Bacteroidota	PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.21077318047017	0.457135617556801	45.7135617556801	16237
Bacteria	Bacteroidota	PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.12707238711945	0.363180166006619	36.3180166006619	13389
Bacteria	Bacteroidota	PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	2.99865159599837	0.337822252374491	33.7822252374491	9959
Bacteria	Bacteroidota	Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.26418007503583	0.42085119061261	42.085119061261	18363
Bacteria	Bacteroidota	Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.05246307748333	0.384083398630464	38.4083398630464	11274
