Domain	Phylum	Class	Order	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.56339318042864	0.0228564633131169	2.28564633131169	961
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.05108102775928	0.0522388059701493	5.22388059701493	3010
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.89945570233685	0.0367679015350382	3.67679015350382	2115
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.49805516155531	0.0234032872661093	2.34032872661093	823
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.17609125905568	0.00841552196273126	0.841552196273126	378
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.91965908842514	0.0438862165211711	4.38862165211711	2217
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.27705713597573	0.00790565482996309	0.790565482996309	484
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.6882220108028	0.0228120744840758	2.28120744840758	1290
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.30582887854575	0.0121679600497034	1.21679600497034	519
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.53383793686692	0.0207729580599541	2.07729580599541	896
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.51508850085409	0.0139379055735359	1.39379055735359	857
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.6882220108028	0.0213951636978804	2.13951636978804	1290
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.53383793686692	0.0186104476061896	1.86104476061896	896
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.51851393987789	0.0181890907559841	1.81890907559841	864
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.55764085153955	0.0291199508524036	2.91199508524036	948
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.46516245333057	0.0192060167074679	1.92060167074679	761
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.4596158328307	0.0240504707615449	2.40504707615449	751
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.43136376415899	0.0188294619387372	1.88294619387372	702
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.68557588239177	0.0317326732673267	3.17326732673267	1282
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.82775208002608	0.0503674089923703	5.03674089923703	1789
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.77895475566724	0.0432919220962404	4.32919220962404	1596
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.25971772796398	0.0157394843962008	1.57394843962008	464
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.59842570667287	0.0239268443609195	2.39268443609195	1044
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.956026062179742	0.00739277075597043	0.739277075597043	217
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.61081783035678	0.027408087297945	2.7408087297945	1075
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.15522354051277	0.0115549261321575	1.15549261321575	359
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.60685887420973	0.0207347701652941	2.07347701652941	1065
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.80391211252807	0.0273295537142026	2.73295537142026	1692
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.58733673450726	0.0174994837910386	1.74994837910386	1017
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.78241953517632	0.0287377877797424	2.87377877797424	1609
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.920818753952375	0.00448582885883233	0.448582885883233	198
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.498055161555305	0.00287484510532838	0.287484510532838	58
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.460730838531493	0.0012624074853338	0.12624074853338	51
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.930364071858606	0.00495448221999854	0.495448221999854	203
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.532424063186568	0.00159866204284414	0.159866204284414	65
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.381549592483868	0.00102321072755668	0.102321072755668	38
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.593942101105783	0.00212074843628359	0.212074843628359	79
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.606062733781636	0.0021622761912296	0.21622761912296	82
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.809185484123612	0.00320059221842409	0.320059221842409	147
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.717855348496393	0.00231406300746996	0.231406300746996	114
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.717855348496393	0.00434699714013346	0.434699714013346	114
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.449449828121804	0.00193967223497744	0.193967223497744	49
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.948847477552619	0.00411944455188953	0.411944455188953	213
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.788744323881068	0.00254043680891894	0.254043680891894	139
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.975176416274968	0.00476927582311844	0.476927582311844	228
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.02802872360024	0.00455497382198953	0.455497382198953	261
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.35962471092983	0.0113490158425348	1.13490158425348	591
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.23608918873097	0.00803979515042493	0.803979515042493	438
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.2120889123272	0.00893108146097788	0.893108146097788	413
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.68690096193049	0.0254089939144867	2.54089939144867	1286
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.22760107850545	0.0102033535497681	1.02033535497681	429
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.3822172244092	0.010829573064908	1.0829573064908	624
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.32221929473392	0.00938754932809485	0.938754932809485	540
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.346787486224656	0.000938406415287494	0.0938406415287494	33
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.00160552671542	0.00543224169022864	0.543224169022864	244
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.907092729445618	0.00378090543777342	0.378090543777342	191
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.730004238075988	0.00192741171474307	0.192741171474307	118
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.806682338969808	0.00258183168579462	0.258183168579462	146
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.744727494896694	0.00288373619675052	0.288373619675052	123
