Domain	Phylum	Class	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.18204762576008	0.0367679015350382	3.67679015350382	2115
Bacteria	Actinobacteriota	Actinobacteria	PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.77659742231502	0.0234032872661093	2.34032872661093	823
Bacteria	Actinobacteriota	Actinobacteria	PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.44715803134222	0.00841552196273126	0.841552196273126	378
Bacteria	Actinobacteriota	Actinobacteria	PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.2023715346056	0.0438862165211711	4.38862165211711	2217
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.55110130708148	0.00790565482996309	0.790565482996309	484
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.96914955571766	0.0228120744840758	2.28120744840758	1290
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.58059917334833	0.0121679600497034	1.21679600497034	519
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.81291335664286	0.0207729580599541	2.07729580599541	896
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.79389011932943	0.0139379055735359	1.39379055735359	857
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.96914955571766	0.0213951636978804	2.13951636978804	1290
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.81291335664286	0.0186104476061896	1.86104476061896	896
Bacteria	Actinobacteriota	Actinobacteria	PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.79736648022786	0.0181890907559841	1.81890907559841	864
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.83704703635958	0.0291199508524036	2.91199508524036	948
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.74317366682807	0.0192060167074679	1.92060167074679	761
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.73753339947538	0.0240504707615449	2.40504707615449	751
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.70878498662962	0.0188294619387372	1.88294619387372	702
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.96647696585634	0.0317326732673267	3.17326732673267	1282
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.10986769104416	0.0503674089923703	5.03674089923703	1789
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.06069784035361	0.0432919220962404	4.32919220962404	1596
Bacteria	Actinobacteriota	Actinobacteria	PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.53329986093388	0.0157394843962008	1.57394843962008	464
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.87835763202093	0.0239268443609195	2.39268443609195	1044
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.21748394421391	0.00739277075597043	0.739277075597043	217
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.89089984407754	0.027408087297945	2.7408087297945	1075
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.42558079613045	0.0115549261321575	1.15549261321575	359
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.88689340900467	0.0207347701652941	2.07347701652941	1065
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.08585099115327	0.0273295537142026	2.73295537142026	1692
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.86713062960528	0.0174994837910386	1.74994837910386	1017
Bacteria	Actinobacteriota	Actinobacteria	Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.06419048414799	0.0287377877797424	2.87377877797424	1609
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.18020782525051	0.00448582885883233	0.448582885883233	198
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.71120446075303	0.00287484510532838	0.287484510532838	58
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.666785320964618	0.0012624074853338	0.12624074853338	51
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.19033169817029	0.00495448221999854	0.495448221999854	203
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.751499055612203	0.00159866204284414	0.159866204284414	65
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.569875307956561	0.00102321072755668	0.102321072755668	38
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.822354912875697	0.00212074843628359	0.212074843628359	79
Bacteria	Actinobacteriota	Coriobacteriia	ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.83614319736133	0.0021622761912296	0.21622761912296	82
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.06069784035361	0.00320059221842409	0.320059221842409	147
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.96108193396963	0.00231406300746996	0.231406300746996	114
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.96108193396963	0.00434699714013346	0.434699714013346	114
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.653212513775344	0.00193967223497744	0.193967223497744	49
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.20989782151488	0.00411944455188953	0.411944455188953	213
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.03856339513936	0.00254043680891894	0.254043680891894	139
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.23768733030219	0.00476927582311844	0.476927582311844	228
Bacteria	Actinobacteriota	Coriobacteriia	PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.29320465815202	0.00455497382198953	0.455497382198953	261
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.63562733897423	0.0113490158425348	1.13490158425348	591
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.50901039913314	0.00803979515042493	0.803979515042493	438
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.48429983934679	0.00893108146097788	0.893108146097788	413
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.9678153166286	0.0254089939144867	2.54089939144867	1286
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.50027569054483	0.0102033535497681	1.02033535497681	429
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.65869264304292	0.010829573064908	1.0829573064908	624
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.59738172905019	0.00938754932809485	0.938754932809485	540
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.525969822257479	0.000938406415287494	0.0938406415287494	33
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.26549167028499	0.00543224169022864	0.543224169022864	244
Bacteria	Actinobacteriota	Coriobacteriia	PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.16562582537752	0.00378090543777342	0.378090543777342	191
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.974445895527612	0.00192741171474307	0.192741171474307	118
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.05799194697769	0.00258183168579462	0.258183168579462	146
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.990592531478169	0.00288373619675052	0.288373619675052	123
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.06338697886439	0.00343124753668885	0.343124753668885	148
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.21370744666165	0.00349667409371087	0.349667409371087	215
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.20605448243312	0.00349951902345175	0.349951902345175	211
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.16562582537752	0.00396718246962301	0.396718246962301	191
Bacteria	Actinobacteriota	Coriobacteriia	PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.2002249387724	0.00437885518199617	0.437885518199617	208
Bacteria	Actinobacteriota	Coriobacteriia	PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.04420366249205	0.00433113193057902	0.433113193057902	141
Bacteria	Actinobacteriota	Coriobacteriia	PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.14167369425199	0.0045428160411882	0.45428160411882	180
Bacteria	Actinobacteriota	Coriobacteriia	PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.899194943108419	0.00310638570422084	0.310638570422084	97
Bacteria	Actinobacteriota	Coriobacteriia	PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.16136800223497	0.00506947052196771	0.506947052196771	189
Bacteria	Actinobacteriota	Coriobacteriia	PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.899194943108419	0.0024009900990099	0.24009900990099	97
Bacteria	Actinobacteriota	Coriobacteriia	PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.849507158919312	0.00239308539091754	0.239308539091754	85
