index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P731SM4-S141,41.0,854.0,47.0,11597.0,0.0,0.0,224.0,3903.0,6846.0,165.0,0.0,72.0,0.0,3081.0,0.0,WT,Pan-SM4,Pancreatic,Yes,No,Post,Abx-Pancreatic
P731SM5-S142,62.0,997.0,70.0,11625.0,0.0,0.0,517.0,1115.0,11641.0,522.0,0.0,13.0,0.0,1914.0,0.0,WT,Pan-SM5,Pancreatic,Yes,No,Post,Abx-Pancreatic
P731SM6-S143,38.0,1014.0,31.0,8963.0,0.0,0.0,129.0,4725.0,4915.0,231.0,0.0,98.0,0.0,3255.0,0.0,WT,Pan-SM6,Pancreatic,Yes,No,Post,Abx-Pancreatic
P731SM7-S144,121.0,785.0,28.0,11112.0,0.0,0.0,317.0,4100.0,9718.0,219.0,0.0,58.0,0.0,2795.0,0.0,WT,Pan-SM7,Pancreatic,Yes,No,Post,Abx-Pancreatic
P731SM8-S145,0.0,655.0,26.0,5266.0,0.0,0.0,111.0,3389.0,3740.0,246.0,0.0,102.0,0.0,547.0,0.0,WT,Pan-SM8,Pancreatic,Yes,No,Post,Abx-Pancreatic
P731SM9-S146,47.0,834.0,10.0,11213.0,0.0,0.0,89.0,3924.0,7923.0,336.0,0.0,58.0,0.0,1040.0,0.0,WT,Pan-SM9,Pancreatic,Yes,No,Post,Abx-Pancreatic
S731ABX1-S90,3254.0,81.0,0.0,11.0,16.0,5.0,0.0,24.0,37.0,0.0,0.0,14810.0,0.0,0.0,4.0,WT,Pan-ABX1,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX2-S91,3493.0,91.0,0.0,59.0,8.0,0.0,0.0,45.0,0.0,0.0,0.0,17696.0,0.0,0.0,0.0,WT,Pan-ABX2,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX3-S92,3804.0,92.0,0.0,51.0,1258.0,226.0,0.0,100.0,46.0,0.0,0.0,21343.0,8.0,0.0,17.0,WT,Pan-ABX3,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX4-S93,5029.0,336.0,0.0,21.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,17881.0,0.0,0.0,0.0,WT,Pan-ABX4,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731CT1-S34,0.0,776.0,39.0,9562.0,3770.0,1531.0,792.0,1065.0,6245.0,65.0,0.0,117.0,20.0,510.0,2164.0,WT,Pan-CT1,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT2-S35,0.0,1804.0,335.0,15328.0,3680.0,2355.0,263.0,7214.0,3441.0,31.0,0.0,746.0,97.0,93.0,841.0,WT,Pan-CT2,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT3-S36,93.0,1214.0,76.0,20312.0,0.0,0.0,0.0,7653.0,11917.0,0.0,0.0,303.0,0.0,7.0,0.0,WT,Pan-CT3,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT4-S37,0.0,1602.0,173.0,7862.0,4605.0,1064.0,439.0,5151.0,8706.0,220.0,0.0,40.0,64.0,42.0,300.0,WT,Pan-CT4,Pre-tumor,No,No,Pre,Abx-Pancreatic
