index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Eukaryota;p__Parabasalia,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
S731ABX1-S90,3254.0,81.0,11.0,16.0,5.0,0.0,61.0,0.0,14810.0,0.0,4.0,WT,Pan-ABX1,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX2-S91,3493.0,91.0,59.0,8.0,0.0,0.0,45.0,0.0,17696.0,0.0,0.0,WT,Pan-ABX2,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX3-S92,3804.0,92.0,51.0,1258.0,226.0,0.0,146.0,0.0,21343.0,8.0,17.0,WT,Pan-ABX3,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX4-S93,5029.0,336.0,21.0,0.0,0.0,0.0,11.0,0.0,17881.0,0.0,0.0,WT,Pan-ABX4,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731CT1-S34,0.0,815.0,9562.0,3770.0,1531.0,792.0,7310.0,65.0,117.0,530.0,2164.0,WT,Pan-CT1,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT2-S35,0.0,2139.0,15328.0,3680.0,2355.0,263.0,10655.0,31.0,746.0,190.0,841.0,WT,Pan-CT2,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT3-S36,93.0,1290.0,20312.0,0.0,0.0,0.0,19570.0,0.0,303.0,7.0,0.0,WT,Pan-CT3,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT4-S37,0.0,1775.0,7862.0,4605.0,1064.0,439.0,13857.0,220.0,40.0,106.0,300.0,WT,Pan-CT4,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT5-S38,0.0,2261.0,12405.0,0.0,0.0,0.0,11008.0,0.0,847.0,0.0,0.0,WT,Pan-CT5,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT6-S39,31.0,1437.0,18685.0,0.0,0.0,0.0,15678.0,0.0,438.0,0.0,0.0,WT,Pan-CT6,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT7-S40,0.0,978.0,16205.0,13.0,0.0,0.0,18816.0,0.0,508.0,0.0,0.0,WT,Pan-CT7,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT8-S41,0.0,2707.0,17265.0,12.0,0.0,0.0,14354.0,0.0,412.0,0.0,0.0,WT,Pan-CT8,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT9-S42,10.0,1400.0,15900.0,4361.0,713.0,251.0,14466.0,487.0,82.0,241.0,518.0,WT,Pan-CT9,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731SA1-S52,5009.0,114.0,74.0,0.0,0.0,0.0,25.0,0.0,15449.0,0.0,0.0,WT,Pan-SA1,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA2-S53,6224.0,96.0,19.0,7.0,0.0,0.0,157.0,0.0,19258.0,0.0,0.0,WT,Pan-SA2,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
