SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.73064186361153	0	1.14206284703959	2.73007976098408	0	0	1.65321251377534	2.25527250510331	2.07744690382588	1.63478383613659	0	0.943623533429031	1.05157192806366	2.22101712967368	0.470781076688643	1.77053185351345	0.495604660413676	0.423601998993174	0	1.62638500425076	0.182340208332683	1.60954801272051	0.378634853476651
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.501595024102863	0.470781076688643	0	0.386460190988608	0.362548033583196	0	0	0	0.615995769271255	0	0	0	0	0.937125240392114	0	0	0	0	0	0	3.08919836680515	0	2.12228712664997
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89393053715366	0	2.25316938001554
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0.291484677757751	0	0.169751081024662	0	0	0	0	0.12963385781668	0	0	0	0	0.0854301953246264	0	0	0	0	0	0	3.03723590010793	0	2.3893201988026
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.053245511953225	0	0	0	0.143422142302313	0	0	0	0.291484677757751	0	0	0	0	0.470781076688643	0	0	0	0	0	0	2.96376730254667	0	2.36303940962872
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.240332155310369	0	0	1.28760702269455	0.182340208332683	0	0	0.451185520625263	0.655305503281188	0.206473888049402	0	0	0.229336771008906	1.55943821462015	0	0.966651767421145	0	0.0362121726544447	0.143422142302313	0	2.84490917526594	0.524762889154889	2.17797540293023
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0.11539341870207	0	0	0	0.169751081024662	0	0	0	0	0.401700157545344	0	0	0	0	0	0	2.78822987287347	0	2.17419890537798
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.23706267074552	0	0.687490186652589	2.58388844320914	0	0	0.928306775344925	1.82154200766521	1.8544380662684	1.43761271343599	0.11539341870207	0.457816099524276	1.59444059445777	2.61636133703855	0.489530512701482	2.18184358794477	0.430663853480661	0.477121254719662	1.51101099145508	1.13103255300924	0.271740619561994	1.66275783168157	0.409124175624551
P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.51391210098658	0	0.577791416601026	2.55985460437582	0	0	0	2.01448401426508	1.77181107235262	1.43415218132648	0	0.430663853480661	1.04481234441636	2.43331753440353	0.218055760599217	2.05207468075176	0.5676910896967	0.354275507617206	1.46239799789896	1.49136169383427	0.337242168318426	1.83500088660569	0.513333427374107
P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.30851801705653	0	0.625043898248652	2.57694196500509	0	0	1.48830542167218	1.95549951315883	1.8589031834305	1.45051686078278	0.194574664749694	0.401700157545344	1.50573965184146	2.3455015833097	0.229336771008906	1.93207652390174	0.291484677757751	0.394147019654899	0.822963594800006	1.22933677100891	0	1.6155383764097	0.602059991327962
P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.63082568181454	0	0.69517701531888	2.7309577269199	0	0	0.5676910896967	2.01044745009747	2.04276378174109	0.646872335744325	0	0.69517701531888	1.63434581846768	2.39650257244016	0.687490186652589	1.99103335570624	0.169751081024662	0.430663853480661	1.17229827003854	1.45517600335807	0.143422142302313	1.7498706888628	0.182340208332683
P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.21691137395048	0	0.651109388687579	2.63294118580794	0	0	0.291484677757751	1.84590653137137	1.89523031654334	1.51851393987789	0.483370203996664	0.524762889154889	1.27274943414314	2.58492089788908	0.416423414366051	2.31055478877133	0.552086016366124	0.394147019654899	1.47459627968916	1.27576189349492	0	2.18122201279659	0.501595024102863
P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.38178192871084	0	0.519085756263199	2.62104074123342	0	0	0.774992731138814	1.89450869718833	1.89088250454978	0.86358144570827	0	0.742075884938364	1.70010147127711	2.3541084391474	0.5676910896967	1.81494209665056	0.319513401357994	0.169751081024662	1.42431337422496	0.808533879377364	0	1.81204098711906	0.546757182861057
P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.19577936588807	0	0.337242168318426	2.53097880178807	0.11539341870207	0	0.629498239674902	1.87152217352351	1.34584234008034	1.68320371013157	0.301029995663981	0.691350607465827	1.45715757857642	2.21426778418567	0.464346966683234	1.64899602937418	0.337242168318426	0.291484677757751	1.90731787364003	0.99429802117553	0	1.75188131505544	0.541362150974351
P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.65738845442948	0	0.535899255272849	2.58634264550135	0.12963385781668	0	1.66806163481426	1.80912036762572	1.92044094228705	1.81262276146179	0.423601998993174	0.853116012030105	1.66275783168157	2.29666519026153	0.582754836132576	1.74480301780479	0.143422142302313	0.261521454380308	1.87405303430997	1.17609125905568	0.541362150974351	1.65613988294591	0.552086016366124
