SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0679791168153143	0	0.0145022115872671	0.372851859908636	0	0.00424189688927561	0.0656587629613516	0.101225436879124	0.0807410630121093	0.0537669494597926	0	0.00351678630991226	0.0122906243202088	0.136030744688565	0.00253788702777174	0.0375607280110217	0.00155898774563121	0.00181277644840838	0	0.00340801972300776	0	0.0403161482126024	0
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0401255990745331	0	0.00978350685837052	0.407568996860023	0	0	0.033449016691456	0.136076681540241	0.0901008097835069	0.0320277640059494	0	0.00591637745827136	0.00780036357626839	0.12569823169724	0.0014873574615766	0.0440588332507024	0.00161956701371674	0.00125599074533135	0	0.0313997686332838	0.000396628656420426	0.0301768302759874	0.00105767641712114
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.00157967900922533	0.00142171110830279	0	0.00104258814608871	0.000947807405535195	0	0	0	0.00227473777328447	0	0	0	0	0.00556047011247315	0	0	0	0	0	0	0.891602426386958	0	0.0955705800581322
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814531462200091	0	0.185468537799909
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0.000716705759708105	0	0.000358352879854053	0	0	0	0	0.000260620276257493	0	0	0	0	0.000162887672660933	0	0	0	0	0	0	0.815611154547824	0	0.182890278863696
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000113216091780512	0	0	0	0.000339648275341535	0	0	0	0.000830251339723753	0	0	0	0	0.00169824137670768	0	0	0	0	0	0	0.797645105290965	0	0.199373537625481
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000802530330925742	0	0	0.0199688429400935	0.000566491998300524	0	0	0.00198272199405183	0.00382382098852854	0.000660907331350611	0	0	0.000755322664400699	0.0382854175518104	0	0.0089694566397583	0	9.44153330500873e-05	0.000424868998725393	0	0.758627201057452	0.00254921399235236	0.1624887881792
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0.00039849709666401	0	0	0	0.000626209723329159	0	0	0	0	0.00199248548332005	0	0	0	0	0	0	0.802743937151315	0	0.194238870545372
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0127688630932059	0	0.00303857972004097	0.300443837487197	0	0	0.00587231136906794	0.0512803004438375	0.0553772618641174	0.0207237965175828	0.000238989416182998	0.00146807784226699	0.0300785250938887	0.323830658927962	0.00163878456811198	0.118572891771936	0.00133151246159099	0.00157050187777398	0.0246841925571868	0.0098327074086719	0.000682826903379993	0.0353362922499146	0.00122908842608399
P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0285087719298246	0	0.0025062656641604	0.326010338345865	0	0	0	0.0922227443609023	0.0523574561403509	0.0235745614035088	0	0.00152725563909774	0.00908521303258145	0.243381892230576	0.000587406015037594	0.100642230576441	0.00242794486215539	0.00113565162907268	0.025219298245614	0.0270206766917293	0.00105733082706767	0.0606986215538847	0.00203634085213033
P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0189160467587673	0	0.00314558979808714	0.368119022316684	0	0	0.0291179596174283	0.087268862911796	0.0696705632306057	0.0266099893730074	0.000552603613177471	0.00148777895855473	0.0303506907545165	0.215642933049947	0.000680127523910733	0.0826354941551541	0.000935175345377258	0.00144527098831031	0.00552603613177471	0.0156004250797024	0	0.0393623804463337	0.00293304994686504
P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0322418136020151	0	0.00305625524769102	0.414979009235936	0	0	0.00208228379513014	0.0783543240973971	0.0844668345927792	0.00265323257766583	0	0.00305625524769102	0.0325104953820319	0.191704450041982	0.00298908480268682	0.0748950461796809	0.00036943744752309	0.00130982367758186	0.0107136859781696	0.0212594458438287	0.000302267002518892	0.0426532325776658	0.000403022670025189
P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0107377691982868	0	0.00241298184231164	0.297249200699765	0	0	0.0006635700066357	0.0479580141159438	0.0538094950835495	0.0221994329492671	0.00141762683235809	0.00162876274356035	0.0123062073957893	0.266061410387887	0.00111600410206913	0.141129275502202	0.00177957410870483	0.00102551728298245	0.0199975870181577	0.012396694214876	0	0.104602762864209	0.00150811365144477
P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0219385225582548	0	0.0021897207073211	0.396132870599901	0	0	0.00470996529499256	0.0735828788629979	0.0729631465873409	0.00599074533135019	0	0.00429681044455462	0.0466864980994877	0.213807635101636	0.00256156007271525	0.0611056023797719	0.00103288712609486	0.000454470335481739	0.0242935052057511	0.0051644356304743	0	0.060692447529334	0.00239629813254008
P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0165232694563942	0	0.00131990614000782	0.380719593273367	0.000342197888150176	0	0.00366640594446617	0.0825185764567853	0.0238071959327337	0.0530895580758702	0.00112436448963629	0.00439968713335941	0.0310911224090731	0.183026984747751	0.00215095815408682	0.048983183418068	0.00131990614000782	0.00107547907704341	0.089704732107939	0.00997262416894799	0	0.0623777864685178	0.00278646851779429
P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0392262224610425	0	0.00214938205265986	0.339679127964996	0.000307054578951409	0	0.0402241498426345	0.0559990788362631	0.0726184079220081	0.0564596607046903	0.00145850925001919	0.00541183695401858	0.0397251861518385	0.173908037153604	0.00249481845398019	0.0481691870730022	0.000345436401320335	0.000729254625009595	0.0651723343824365	0.0123589468027942	0.00218776387502879	0.0391110769939357	0.00226452751976664
