SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0663766594164854	0	0.00892522313057826	0.000300007500187505	0.00375009375234381	0.0987399684992125	0	0.21465536638416	0.0976899422485562	0	0	0.0403510087752194	0	0.0925898147453686	0.0717767944198605	0.0669766744168604	0.0156003900097502	0	0.00412510312757819	0.00933773344333608	0	0.00176254406360159	0.00510012750318758	0.00656266406660167	0	0.00198754968874222	0.00240006000150004	0.0031500787519688	0.0508887722193055	0.00180004500112503	0.00585014625365634	0.00180004500112503	0.00712517812945324	0.000262506562664067	0	0	0.0100502512562814	0.00262506562664067	0.000225005625140629	0.00656266406660167	0.00442511062776569	0.000675016875421886	0.0063001575039376	0	0.00465011625290632	0.000150003750093752	0	0.00262506562664067	0.0147753693842346	0.000112502812570314	0.00146253656341409	0.0324008100202505	0	0.00915022875571889	0.0239255981399535
P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0679791168153143	0	0.0102603146979914	0	0.00424189688927561	0.08824595750852	0	0.198752809803495	0.085853092596621	0	0.00424189688927561	0.0656587629613516	0	0.0605829889058081	0.0403524037415706	0.0807410630121093	0.0537669494597926	0	0.00351678630991226	0.0122906243202088	0	0.00355304183888043	0.0150460445217896	0.00460445217895729	0	0.000761366108331521	0.00239286491189906	0.00232035385396273	0.0634834312232615	0.000870132695236024	0.00210282068015372	0.00623595098252484	0.0114930026829091	0	0	0	0.00659850627220651	0.00253788702777174	0.00061634399245885	0.00866507142339207	0.00322674207816692	0.000471321876586179	0.00217533173809006	0	0.00239286491189906	0.00116017692698136	0.00203030962221739	0.00239286491189906	0.00442317453411645	0	0.00181277644840838	0.00340801972300776	0	0.0403161482126024	0.0284243347110434
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0401255990745331	0	0.00670963477111221	0	0.0030738720872583	0.0862997851594778	0	0.222740042968104	0.0985291687324409	0	0	0.033449016691456	0	0.075326392331846	0.0602545033878698	0.0901008097835069	0.0320277640059494	0	0.00591637745827136	0.00780036357626839	0.000330523880350355	0.00122293835729631	0.0019500908940671	0.00763510163609321	0.00029747149231532	0.000429681044455462	0.0020492480581722	0.0029747149231532	0.0675921335316477	0	0.00542059163774583	0.000727152536770782	0.00538753924971079	0.000859362088910924	0	0	0.00601553462237647	0.0014873574615766	0.000132209552140142	0.00677573954718228	0.00416460089241448	0	0.00244587671459263	0.000793257312840853	0.0029747149231532	0.000231366716245249	0.00366881507188894	0.00271029581887291	0.00670963477111221	0.000264419104280284	0.000991571641051066	0.0313997686332838	0.000396628656420426	0.0301768302759874	0.0394314989257974
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.00157967900922533	0.00142171110830279	0	0	0	0	0	0.000600278023505624	0.000442310122583091	0.000947807405535195	0	0	0	0	0	0.00227473777328447	0	0	0	0	0	0	0	0	0	0.000126374320738026	0	0	0.00407557184380134	0.000537090863136611	0	0	0.000410716542398585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.891602426386958	0	0.0959812966005308
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814531462200091	0	0.185468537799909
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0.000716705759708105	0	0	0	0	0	0.000358352879854053	0	0	0	0	0	0	0	0.000260620276257493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815611154547824	0	0.183053166536357
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000113216091780512	0	0	0	0	0	0	0	0	0.000339648275341535	0	0	0	0	0	0.000830251339723753	0	0	0	0	0	0	0	0	0	0.000113216091780512	0	0	0.00158502528492716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.797645105290965	0	0.199373537625481
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000802530330925742	0	0	0	0	0.00146343766227635	0.000472076665250437	0.0123684086295614	0.00566491998300524	0.000566491998300524	0	0	0	0.00103856866355096	0.000944153330500873	0.00382382098852854	0.000660907331350611	0	0	0.000755322664400699	0	0	0.000708114997875655	0	0	0.00193551432752679	0	0.000802530330925742	0.0270972005853751	0.00113298399660105	0	0	0.00358778265590332	0	0	0.000283245999150262	0.000802530330925742	0	0	0.00155785299532644	0	0	0.00089694566397583	0	0.00051928433177548	0.000283245999150262	0.000944153330500873	0	0	9.44153330500873e-05	0	0	0.758627201057452	0.00254921399235236	0.169617145824482
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0.00039849709666401	0	0	0	0	0	0.000626209723329159	0	0	0	0	0	0	0	0	0	0	0	0	0.00199248548332005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.802743937151315	0	0.194238870545372
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0127688630932059	0	0	0.000614544213041994	0.00242403550699898	0.0331171048139297	0.0207237965175828	0.099453738477296	0.147149197678389	0	0	0.00587231136906794	0	0.0168658245134858	0.0344144759303517	0.0553772618641174	0.0207237965175828	0.000238989416182998	0.00146807784226699	0.0300785250938887	0.000170706725844998	0.00269716626835097	0.0284738818709457	0.0249914646637077	0.00112666439057699	0.00160464322294298	0.00566746329805394	0.00170706725844998	0.174496415158757	0.00150221918743599	0.00215090474564698	0	0.0232161147149198	0.00157050187777398	0.00174120860361898	0.00191191532946398	0.00617958347558894	0.00163878456811198	0.00102424035506999	0.0247183339023558	0.00826220553089792	0.000375554796858996	0.0224308637760328	0.00157050187777398	0.00785250938886992	0.000170706725844998	0.00792079207920792	0.000648685558210993	0.000785250938886992	0.00099009900990099	0.000580402867872994	0.0098327074086719	0.000682826903379993	0.0353362922499146	0.11468077842267
