SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0663766594164854	0	0.00892522313057826	0.00405010125253131	0.0987399684992125	0	0.21465536638416	0.0976899422485562	0	0	0.0403510087752194	0	0.165229130728268	0.0669766744168604	0.0156003900097502	0	0.00412510312757819	0.00933773344333608	0	0.111940298507463	0.00262506562664067	0.000225005625140629	0.0235130878271957	0.00810020250506263	0.00262506562664067	0.0147753693842346	0.00101252531313283	0.0015750393759844	0.0324008100202505	0	0.00915022875571889	0
P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0679791168153143	0	0.0102603146979914	0.00424189688927561	0.08824595750852	0	0.198752809803495	0.085853092596621	0	0.00424189688927561	0.0656587629613516	0	0.101225436879124	0.0807410630121093	0.0537669494597926	0	0.00351678630991226	0.0122906243202088	0	0.136030744688565	0.00253788702777174	0.00061634399245885	0.0218983394967733	0.00823000507577406	0.00239286491189906	0.00442317453411645	0.00155898774563121	0.00181277644840838	0.00340801972300776	0	0.0403161482126024	0
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0401255990745331	0	0.00670963477111221	0.0030738720872583	0.0862997851594778	0	0.222740042968104	0.0985291687324409	0	0	0.033449016691456	0	0.136076681540241	0.0901008097835069	0.0320277640059494	0	0.00591637745827136	0.00780036357626839	0.000330523880350355	0.12536770781689	0.0014873574615766	0.000132209552140142	0.025152867294662	0.00935382581391505	0.00271029581887291	0.00670963477111221	0.00161956701371674	0.00125599074533135	0.0313997686332838	0.000396628656420426	0.0301768302759874	0.00105767641712114
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.00157967900922533	0.00142171110830279	0	0	0	0	0.000600278023505624	0.000442310122583091	0.000947807405535195	0	0	0	0	0.00227473777328447	0	0	0	0	0	0.00556047011247315	0	0	0	0	0	0	0	0	0	0.891602426386958	0	0.0955705800581322
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814531462200091	0	0.185468537799909
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0.000716705759708105	0	0	0	0	0.000358352879854053	0	0	0	0	0	0	0.000260620276257493	0	0	0	0	0	0.000162887672660933	0	0	0	0	0	0	0	0	0	0.815611154547824	0	0.182890278863696
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000113216091780512	0	0	0	0	0	0	0	0.000339648275341535	0	0	0	0	0.000830251339723753	0	0	0	0	0	0.00169824137670768	0	0	0	0	0	0	0	0	0	0.797645105290965	0	0.199373537625481
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000802530330925742	0	0	0	0.00146343766227635	0.000472076665250437	0.0123684086295614	0.00566491998300524	0.000566491998300524	0	0	0	0.00198272199405183	0.00382382098852854	0.000660907331350611	0	0	0.000755322664400699	0	0.0382854175518104	0	0	0.00632582731435585	0.00264362932540245	0	0	0	9.44153330500873e-05	0	0.758627201057452	0.00254921399235236	0.162913657177926
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0.00039849709666401	0	0	0	0	0.000626209723329159	0	0	0	0	0	0.00199248548332005	0	0	0	0	0	0	0	0	0	0.802743937151315	0	0.194238870545372
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0127688630932059	0	0	0.00303857972004097	0.0331171048139297	0.0207237965175828	0.099453738477296	0.147149197678389	0	0	0.00587231136906794	0	0.0512803004438375	0.0553772618641174	0.0207237965175828	0.000238989416182998	0.00146807784226699	0.0300785250938887	0.000170706725844998	0.323659952202117	0.00163878456811198	0.00102424035506999	0.0805735745988392	0.0355411403209286	0.000648685558210993	0.000785250938886992	0.00133151246159099	0.00157050187777398	0.0098327074086719	0.000682826903379993	0.0353362922499146	0.0259132809832707
P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0285087719298246	0	0	0.0025062656641604	0.059641290726817	0.0260416666666667	0.145833333333333	0.0944940476190476	0	0	0	0.0006265664160401	0.0915961779448622	0.0523574561403509	0.0235745614035088	0	0.00152725563909774	0.00908521303258145	0	0.243381892230576	0.000587406015037594	0.000704887218045113	0.0624608395989975	0.0330905388471178	0.00113565162907268	0.00325031328320802	0.00242794486215539	0.00113565162907268	0.0270206766917293	0.00105733082706767	0.0606986215538847	0.0272556390977444
P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0189160467587673	0	0	0.00314558979808714	0.0936875664187035	0.0315409139213603	0.146312433581297	0.0965781083953241	0	0	0.0291179596174283	0	0.087268862911796	0.0696705632306057	0.0266099893730074	0.000552603613177471	0.00148777895855473	0.0303506907545165	0.000127523910733262	0.215515409139214	0.000680127523910733	0.000765143464399575	0.0487141339001063	0.0303931987247609	0.00170031880977683	0.00106269925611052	0.000935175345377258	0.00144527098831031	0.0156004250797024	0	0.0393623804463337	0.00845908607863975
P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0322418136020151	0	0	0.00305625524769102	0.0911167086481948	0.0353316540722082	0.143979848866499	0.144550797649034	0	0	0.00208228379513014	0.000268681780016793	0.0780856423173804	0.0844668345927792	0.00265323257766583	0	0.00305625524769102	0.0325104953820319	0.000604534005037783	0.191099916036944	0.00298908480268682	0.00104114189756507	0.0472544080604534	0.0206213266162888	0.00235096557514694	0.0036272040302267	0.00036943744752309	0.00130982367758186	0.0212594458438287	0.000302267002518892	0.0426532325776658	0.0111167086481948
P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0107377691982868	0	0	0.00241298184231164	0.0586957833142306	0.0214755383965736	0.142697713699704	0.0743801652892562	0	0	0.0006635700066357	0.000422271822404536	0.0475357422935392	0.0538094950835495	0.0221994329492671	0.00141762683235809	0.00162876274356035	0.0123062073957893	0.000271460457260059	0.265789949930627	0.00111600410206913	0.00099535500995355	0.0906376304518308	0.0471134704711347	0.000723894552693491	0.00165892501658925	0.00177957410870483	0.00102551728298245	0.012396694214876	0	0.104602762864209	0.0215057006696025
P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0219385225582548	0	0	0.0021897207073211	0.0937861510494133	0.0252437613617584	0.146628656420426	0.130474301768303	0	0	0.00470996529499256	0	0.0735828788629979	0.0729631465873409	0.00599074533135019	0	0.00429681044455462	0.0466864980994877	0	0.213807635101636	0.00256156007271525	0	0.0331350190051231	0.0193769624855396	0.00115683358122624	0.00743678730788299	0.00103288712609486	0.000454470335481739	0.0051644356304743	0	0.060692447529334	0.0266898033382912
P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0165232694563942	0	0	0.00131990614000782	0.0988951896754009	0.0221450919045757	0.136976926085256	0.122702385608135	0.000342197888150176	0	0.00366640594446617	0.000537739538521705	0.0819808369182636	0.0238071959327337	0.0530895580758702	0.00112436448963629	0.00439968713335941	0.0310911224090731	0.000342197888150176	0.182684786859601	0.00215095815408682	0.000586624951114587	0.0334376222135315	0.00977708251857646	0.00112436448963629	0.00405748924520923	0.00131990614000782	0.00107547907704341	0.00997262416894799	0	0.0623777864685178	0.0924912006257333
P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0392262224610425	0	0	0.00214938205265986	0.0877024641129961	0.0336992400399171	0.102748138481615	0.115529285330467	0.000307054578951409	0	0.0402241498426345	0	0.0559990788362631	0.0726184079220081	0.0564596607046903	0.00145850925001919	0.00541183695401858	0.0397251861518385	0.000652490980271743	0.173255546173332	0.00249481845398019	0.000997927381592078	0.0301681123819759	0.0132801105396484	0.001036309203961	0.00268672756582483	0.000345436401320335	0.000729254625009595	0.0123589468027942	0.00218776387502879	0.0391110769939357	0.0674368619022031
