SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.52090017929825	0	0.726504930859866	0.0589778599593379	0.449969008676048	1.68906657488754	0	2.02149000497214	1.68451894713682	0	0	1.31309991543121	0	1.66172666107785	1.55388302664387	1.52469109900977	0.932658217634652	0	0.477121254719662	0.74251089411451	0	0.268237482267674	0.540670677753484	0.621365146523349	0	0.293061065992706	0.335184271898287	0.402652110759851	1.40947200722154	0.272474535210928	0.583919765803449	0.272474535210928	0.648803394870289	0.05202900000401	0	0	0.768839832836859	0.356547323513813	0.0449671455165232	0.621365146523349	0.497683413634551	0.122960170626212	0.607942173553917	0	0.512490341485649	0.0304893221479004	0	0.356547323513813	0.911883651509079	0.0230653040686934	0.232765164105455	1.22295282189187	0	0.735308498830186	1.10037054511756
P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.54519461951353	0	0.788554010783411	0	0.495165757413305	1.65566220711435	0	2.00291183401769	1.64399072464326	0	0.495165757413305	1.53054894991624	0	1.49667810188495	1.32708015328214	1.61795295058795	1.44659364597117	0	0.441480898450529	0.85513353233133	0	0.444328741323355	0.931735168441474	0.519708698490831	0	0.140450902786548	0.342422680822206	0.335184271898287	1.51635505648324	0.157264401796198	0.312715753989176	0.615663167698879	0.830180250387654	0	0	0	0.63438565651586	0.356547323513813	0.116969806937025	0.727984640917913	0.417999802601006	0.0921462232119925	0.320335150859368	0	0.342422680822206	0.199156563124375	0.304960289292414	0.342422680822206	0.507610576867563	0	0.280826609575694	0.43282357891803	0	1.32670816655113	1.18339927133446
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.36309893260046	0	0.671257016468986	0	0.429899025900714	1.6854974555836	0	2.09176285303977	1.7419390777292	0	0	1.28780172993023	0	1.62773816221511	1.53333289843585	1.70383829936992	1.26993726714557	0	0.628853167915899	0.723530299491663	0.0725506671486117	0.223425137851311	0.316542161842229	0.716003343634799	0.0658172844896433	0.0921462232119925	0.327823172251918	0.421005312740731	1.58185660523968	0	0.600081425345874	0.146128035678238	0.598093804110361	0.168122329384406	0	0	0.63438565651586	0.259637310505756	0.0304893221479004	0.674610658476574	0.517315885374941	0	0.370227020805005	0.157264401796198	0.421005312740731	0.05202900000401	0.479745398545811	0.396357877662163	0.671257016468986	0.0589778599593379	0.189056236220049	1.26180337226226	0.0857121132065826	1.24551266781415	1.35585189585216
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.280826609575694	0.259637310505756	0	0	0	0	0	0.128869030236732	0.0984864012430114	0.189056236220049	0	0	0	0	0	0.363441031461713	0	0	0	0	0	0	0	0	0	0.0304893221479004	0	0	0.524455133515293	0.116969806937025	0	0	0.0921462232119925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71105528349502	0	1.75001723050894
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.516066392809	0	1.87789465534616
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0.146128035678238	0	0	0	0	0	0.0791812460476248	0	0	0	0	0	0	0	0.0589778599593379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65915528094063	0	2.01352664196559
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.0230653040686934	0	0	0	0	0	0	0	0	0.0658172844896433	0	0	0	0	0	0.146128035678238	0	0	0	0	0	0	0	0	0	0.0230653040686934	0	0	0.246409044772001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5857887619893	0	1.98701587995725
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.116969806937025	0	0	0	0	0.194135761749324	0.0725506671486117	0.760696572723508	0.502675359192051	0.0857121132065826	0	0	0	0.146128035678238	0.134698573897456	0.393176218875974	0.0984864012430114	0	0	0.110895659224831	0	0	0.104735350520013	0	0	0.241908543545325	0	0.116969806937025	1.05828795595102	0.157264401796198	0	0	0.37690860616152	0	0	0.0449671455165232	0.116969806937025	0	0	0.204119982655925	0	0	0.128869030236732	0	0.0791812460476248	0.0449671455165232	0.134698573897456	0	0	0.0155121661782476	0	0	2.46713703381306	0.29706380844638	1.82169214016213
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0.05202900000401	0	0	0	0	0	0.0791812460476248	0	0	0	0	0	0	0	0	0	0	0	0	0.213879819945081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41057786447123	0	1.79959115216215
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.89209460269048	0	0	0.122960170626212	0.360007855623319	1.27036117589753	1.08049529994546	1.73210120711275	1.89962155854734	0	0	0.615663167698879	0	0.999209654955848	1.28617057502905	1.48417037311184	1.08049529994546	0.05202900000401	0.250863386198251	1.23091315924386	0.0377885608893998	0.386742108870564	1.20853907147597	1.15561204286482	0.204119982655925	0.268237482267674	0.604029584190867	0.280826609575694	1.97279171234305	0.255272505103306	0.331519317811882	0	1.12592464958995	0.263958684288399	0.284943175770526	0.304960289292414	0.632549313475863	0.272474535210928	0.189056236220049	1.15117476817832	0.732393759822969	0.0791812460476248	1.11211730414261	0.263958684288399	0.714482170514266	0.0377885608893998	0.717519207239748	0.128869030236732	0.151731913196237	0.183916596567638	0.116969806937025	0.794931430548527	0.134698573897456	1.29706380844638	1.79290082728447
