SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.033059816862885	0.692710191461529	0.0345344273992151	0.0033535497681056	0.00658817933166845	0.189487453918421	0.000547032940896658	0.0357711975264597	0.00394815079081936	0
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0630683790350573	0.494967025338424	0.038753904894134	0.00848663658451926	0.0169732731690385	0.323498785144047	0.00402637972926067	0.0419819507115585	0.00746268656716418	0.000780978826796251
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.046155450863133	0.459711767466926	0.0885906506962432	0.054326095648697	0.0103958416633347	0.310241120942927	0.00208612207290997	0.0236948698781357	0.00464162161222468	0.000156459155468247
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0243416936813968	0.371580503895808	0.177301939373258	0	0.0188534379798669	0.382443269066712	0.000625604276858329	0.0112893135414889	0.013393618836376	0.00017061934823409
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0138477636529599	0.513636262439611	0.0991606741322884	0.0183894739185609	0.0129794955139479	0.31729634659483	0.00113542756640025	0.0211055947636752	0.00231538170403188	0.000133579713694147
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0476671219589445	0.463170813785458	0.0545558920759348	0.0122533008690144	0.00821505631767524	0.382346536809391	0.0030484787299325	0.0148464873210998	0.0135004058039868	0.000395906328562662
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.00983306654470615	0.417921662147594	0.133938780177061	0	0.0224919146711966	0.384926987030806	0.0084120087550227	0.00468785730619712	0.0171343634641142	0.000653359903302734
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0253939061698704	0.423703336929035	0.0843869918124105	0.000176837786698262	0.0133158853383791	0.438433924561	0.00643689543581673	0.00427947443809793	0.00252878034978514	0.00134396717890679
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0150516962464539	0.508451926007549	0.0350033995264108	0	0.00759618315241601	0.424753241272595	0.00565024734485265	0.00330574637188474	0.000187560077837432	0
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0242042055966429	0.472352954814179	0.0390188486773468	0	0.00380219321633088	0.444277003686273	0.0116384206987689	0.00405721837108478	0.000208656944798646	0.000440497994574919
