SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.94200805302231	1.63562733897423	3.2629762649983	2.66363362942889	2.44793286559218	1.85038363647594	2.32073958467587	2.75006737477597	0.686380877027998	1.92832268327635	1.80714830098907	0.535113201697349	1.45484486000851	0
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.19073178523857	1.50901039913314	3.30421346589366	2.41521190578066	0.957675685277719	1.67209785793572	2.33099321904142	3.00750392932398	1.68317573715279	0.176091259055681	1.76502957306174	1.52411781739589	1.04420366249205	0.455931955649724
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.93701610746481	1.48429983934679	3.27785469399894	2.04111058415324	0.422073688388757	1.69019608002851	2.28103336724773	2.90645048936642	1.5041794874537	0	1.96881638003435	1.15706802174225	0.385350881364017	0.385350881364017
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.40434492142833	1.9678153166286	3.17189353819195	1.45701633694194	0.578147833922551	1.46132698753643	2.84318826931171	2.94222071661029	0.728933227713462	0.109144469425068	2.162436377883	0.933053210369387	0.132625565274591	0.132625565274591
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.8428765800203	1.50027569054483	3.31834660777722	2.02000593462687	1.04420366249205	1.31776495330767	2.54900326202579	2.3366026644017	0.422073688388757	0.422073688388757	2.02851315698221	0.455931955649724	1.04139268515822	0
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.33445375115093	1.65869264304292	3.30923462122805	2.20547503674089	1.55543994937769	1.85038363647594	2.68162882730038	2.93094903116752	1.24480707142514	0	2.24001407325258	1.35493122653951	1.00309107697714	0.624723975963906
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.18204762576008	1.59738172905019	3.27642897644112	2.56229286445647	2.3506632800218	1.64062338646732	2.61916789401982	2.93482296870125	0.98097676268657	0.2518119729938	1.98932266366728	0.602059991327962	1.2322698652699	0.215599800339355
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.77659742231502	0.525969822257479	2.97051290998289	2.64968248898917	0	1.68446063300691	1.74036268949424	2.95791499424377	0.410174465089049	1.3670895643897	0.849507158919312	1.47918441528344	0.740362689494244	0.154901959985743
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.44715803134222	1.26549167028499	3.21720184320892	2.50398512876533	1.77815125038364	1.62984629545113	2.10429196663066	2.95078197732982	0.666785320964618	1.70020907645157	1.29162252714215	0.903089986991944	0.154901959985743	0.154901959985743
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.2023715346056	1.16562582537752	3.2233104797639	2.29635173338621	1.65527567433912	1.48632925650649	2.73112809743535	2.92593795573651	1.07918124604762	0	1.73696532289745	1.68701907623455	0.316269962220718	0.385350881364017
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.55110130708148	0.974445895527612	3.26211192963361	2.7684266628394	0	1.99719909431381	2.42066287670335	3.15285596405515	1.57732763635695	1.10914446942507	0.984205732816768	0	1.88040522884506	0.58626572414473
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.96914955571766	1.05799194697769	3.23361246531402	2.53384465859918	0.234083206033368	1.73866732827074	2.49445277081141	3.16456527666512	1.43136376415899	0.525969822257479	1.20217682736992	0.497324640807949	0.957675685277719	0.808114473761087
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.58059917334833	0.990592531478169	3.19035171127976	2.03198521663639	0	1.38278866459942	2.60120607393767	2.95272327134977	1.26041214475572	0.772950056697836	0.78837041556533	0	0.196294645143968	0
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.81291335664286	1.06338697886439	3.16324658923843	2.08355380663944	0	1.10429196663066	2.53961370292403	3.01045140012634	1.56652166594897	0.745966567012242	0.950781977329818	0	0.215599800339355	0.372385904199649
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.79389011932943	1.21370744666165	3.31664419273237	2.67321844840221	0	2.17836019762942	2.53375390643462	3.07967213489231	1.75204844781944	0.887295719808712	0.974445895527612	0	0.922057826067924	0.698970004336019
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.96914955571766	1.20605448243312	3.2775601017102	2.09166695759568	0	1.83250891270624	2.58939102313693	3.20128004803402	1.88729571980871	0.879177829586532	1.35218251811136	0	0.497324640807949	1.5414009255364
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.81291335664286	1.16562582537752	3.23912064672498	1.79189106179797	0	1.35629908430619	2.55057774525568	3.01340908071878	1.55110130708148	2.05799194697769	0.933053210369387	0	0.2518119729938	0.740362689494244
PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.79736648022786	1.2002249387724	3.20717255664249	1.78329089003605	0	2.09765388041556	2.48440153574859	3.06467187471851	1.50223197530269	0.783290890036055	1.18428573767095	0	0.812913356642856	0.58626572414473
PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.83704703635958	1.04420366249205	2.94571471405986	2.39407626416382	1.73810073395437	1.12104369272478	2.28860050610152	2.90200289135073	0	0	1.44936818614734	1.06069784035361	1.36307448665286	0.632023214705406
PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.74317366682807	1.14167369425199	3.03762566991472	2.22438505392035	1.33387890727891	1.66140699239062	2.43491091309393	3.04643941765831	0	0	1.55973567660568	1.30412107264112	0.26884531229258	0.609746819994253
PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.73753339947538	0.899194943108419	2.87811127039085	2.43525265303175	1.55284196865778	1.54495345644473	2.42054510192788	2.88745653983718	0	0	1.53601704069559	0.798354636471931	0.617299957884699	0.176091259055681
PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.70878498662962	1.16136800223497	3.03685693132534	2.45604051570076	0.516629796003336	1.68059448449075	2.38368716096639	2.95005174903656	0	0.487340419901349	1.34941630186821	1.15272504073147	0.745966567012242	0.798354636471931
PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.96647696585634	0.899194943108419	3.11944442606488	2.59761684291422	1.26211192963361	1.6059204121412	2.39967372148104	2.85767703788679	0	0	1.21370744666165	1.38535088136402	1.02996322337744	0.497324640807949
PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.10986769104416	0.849507158919312	3.06475205462863	2.46654988263826	0.477121254719662	1.3071903043688	2.22160051040874	2.86637174186007	0.410174465089049	0.594234653816006	1.06069784035361	1.09938463213591	0.646263653820016	0.215599800339355
PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.06069784035361	1.07918124604762	2.98107398191212	2.36132302522373	1.12338490853968	1.28362424432417	2.69760292943385	2.86611848430683	0.561442140419698	0.132625565274591	1.72602823707005	0.86247213608368	0	0
PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.53329986093388	1.08686807471392	2.85269778336205	2.32442944953904	0.895264649479987	1.27217325564151	2.33959339080334	2.93748206948407	0.422073688388757	0	1.29791676023984	1.02705823273404	0.422073688388757	0.316269962220718
Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.87835763202093	1.10429196663066	3.11814657965335	1.77399529061249	0	1.19629464514397	2.5669422901774	3.08714735561571	0.83159556961061	0.285235728480749	1.51092781717887	0	1.2322698652699	0.507084478097106
Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.21748394421391	0.569875307956561	2.90648896506805	0.285235728480749	0	0.2518119729938	2.2839470198737	3.02685415382763	0.132625565274591	0	1.23408320603337	0	0.0843208857000359	0.215599800339355
Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.89089984407754	1.0182248201062	3.05277636377849	0.974445895527612	0	1.07398005236182	2.53029119604012	3.07710823742476	0.783290890036055	1.18631042423737	1.1822515677605	0	0.359021942641668	0.410174465089049
Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.42558079613045	0.594234653816006	2.91517362052781	0.653212513775344	0	1.02413367971672	2.38253160955675	3.04198450148679	0.58626572414473	0.477121254719662	0.692721055059017	0	0.132625565274591	0.849507158919312
Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.88689340900467	0.950781977329818	3.17235268949628	1.00309107697714	0.385350881364017	0.154901959985743	2.42312879765037	3.25012363290204	0	0	1.59581104205096	0	0.858193338104405	0.372385904199649
Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.08585099115327	1.24480707142514	3.29810418503534	0.176091259055681	0	0	2.86294024051398	3.18014636413544	0	0	1.75804633260593	0	0	0.301029995663981
Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.86713062960528	0.783290890036055	3.2153542601469	1.5032068230339	0.578147833922551	0.922057826067924	2.61602515662536	3.29189189636809	0.285235728480749	0	1.13033376849501	0.345233658156035	0.723103684052738	0.617299957884699
Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.06419048414799	1.13262556527459	3.22573376694266	1.60668839551003	0.602059991327962	0.812913356642856	2.76294636572267	3.18499545216841	0	0.109144469425068	1.51378816439161	0.433655560938572	0.234083206033368	0.132625565274591
