SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.19069076762597	0.149298082467745	0.545655960129908	1.79739184567377	1.37319502317035	2.18359831551132	1.02171924969324	1.80808972693172	0	1.32274924535722	0.235010195674327	0.602059991327962	0.247784483710756	0.283996656365201	1.49813375977865	1.60841630783586	0.570303395208476	0.92876338674922	0.0716932246550749	1.08010823568858	1.14373522256235	0.915440425378373	0	2.17213869334427	0.0523880694596882	0.516145362621369	1.43136376415899	0.923483145633787	0.247784483710756	0	0.669006780958576	0.22847932851537	0.891808976582255	0.548814479374737	0.631651864121084	0.090176630349088	0.0523880694596882	0	0.936565293844839
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.860721828497791	0.10790539730952	0.295426118145983	1.68837418126052	1.08654234569399	2.10098875800758	0.743389144124432	1.46849881087477	0	1.78950839604039	0	0.851415162037949	0	0.278167112704477	1.2144362511319	0.676107121376515	0.1249387366083	0.722802613342654	0.0991314730020144	0.887501888567344	0.68768899392633	0.480817400279626	0	2.35322061366225	0	0.707788469383207	1.77160632269917	0.987574602941573	0.1249387366083	0	1.01531675808411	0.272258253093957	0.610332517293952	0.462013836456921	0.348454645592119	0	0	0.0621479067488444	0.87580301332761
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.42888207465234	0.509305938091064	0.626419337187407	1.92055141354264	1.68424674751531	2.6287032376319	1.31795624718466	1.99854993360477	0	1.18997233159463	0	0.887501888567344	0	0.201327082471755	1.91026857161907	2.00188896452137	0.509305938091064	0.820555098936731	0.164810248645992	1.33166085096676	1.52786114579928	1.46393125450264	0	2.37347785905264	0.157123419979701	0.747391886578106	1.60010684870206	1.20827594242708	0.208275942427082	0	0.69223662167705	0.172363386536438	1.08471373464759	0.863780252982011	0.676107121376515	0	0	0	1.05729540395443
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.39120662601307	0.31742041185215	0.542474301343718	2.10380372095596	1.80565767147727	2.48147937861715	1.52053391785389	2.2752227320577	0	1.6421854025146	0	0.764961250166623	0.477121254719662	0.585026652029182	1.45151090541369	2.00663057889901	0.83707018700229	0.968842018009613	0.289748985254292	1.11820535394933	1.66613381911285	1.36893023130192	0.0523880694596882	2.43173479748519	0.10790539730952	0.698970004336019	1.71493127574431	1.376015127118	0.10790539730952	0	1.03527576034854	0.372723220319056	0.869833235730049	1.13321126257429	0.561223737356557	0	0	0	1.01852980219872
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.46162933489847	0.363177902412826	0.743389144124432	1.65296498200352	1.75332766665861	2.57640042181659	1.01531675808411	1.83152523282498	0	1.34494618868871	0	1.42513274648594	0	0.10790539730952	1.81411093919149	1.51205464651921	0.333214679035383	1.10178231225073	0	1.31256790905774	1.29598977102446	1.14692271930693	0	2.51023557344119	0.10790539730952	0.785512350030013	1.70516168023466	1.13156931550731	0.141329152796469	0	0.920818753952375	0.395707127239746	0.940414310015756	1.05924291610544	1.06118173397682	0	0	0.116505569071437	0.751358073795707
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.28050832851938	0.558154505628881	0.705600583235032	2.21876435404139	1.54975757308281	2.50459283330199	1.48155286951874	2.18015529492303	0	2.16397132674127	0	0.629043481013556	0.0523880694596882	0.421772617678673	1.6221874451699	1.95263102528275	0.5936268237911	0.789146634685107	0.295426118145983	1.2324096221438	1.50060235056919	0.301029995663981	0.157123419979701	2.43505990971895	0	0.970036776622557	1.68332418852388	1.24271976762998	0.348454645592119	0	0.716431430886714	0.391206626013069	0.703401619135094	1.20896475221763	0.79632521931223	0	0	0.306562484263942	1.55319816673549
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.50584540598156	1.1790506877606	0.312025379965444	1.93746645360891	1.31310976125766	2.28544189723938	2.279982654279	2.08149502073678	1.71664531637831	2.22037633664766	2.00575232888909	1.41625634589625	0	0.43831917065871	1.25958162815657	1.74096967000102	0.44235914846045	0	0	0.822235157054753	1.3655839721787	0	0	2.10963911011852	0	0.79987050007688	1.4158291009214	0.968842018009613	0.141329152796469	0	0.737314996412239	0.539269161468507	0	0.377418341527436	1.37413709399941	0.272258253093957	1.03630124956623	0	1.49243801280377
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.75076544989401	0.967643963506666	0.596456113809964	2.22004099999143	1.30214214603335	2.31375909277445	2.22874245756426	2.14612803567824	1.44034385722512	1.9732463029341	0.590778980918273	1.24335609665503	0	0.208275942427082	1.01531675808411	1.79596909425586	0.602059991327962	0.488116639021126	0	0.743389144124432	1.20202699315008	0	0	2.42257300542703	0.0424038485530874	1.0659912458306	1.52053391785389	1.39882995669227	0.157123419979701	0	1.11905275808532	0.516145362621369	0	1.25403343298776	1.33321467903538	1.10178231225073	0.664207898076807	0	0.266267889404769
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.5009538637263	0.933980200010346	0.602059991327962	2.28521098165138	1.0659912458306	2.27314972343483	2.26117133238539	1.92863216013335	1.43012469204344	1.60317214169733	0.201327082471755	1.26080499370327	0	0.564271430438563	1.03011167474854	1.72174721918559	0.629043481013556	0.272258253093957	0	0.766870239973955	0.979478332855398	0	0	2.30036133582149	0.0621479067488444	1.03527576034854	1.54119508250455	1.29767635365639	0.254033432987758	0	1.09017663034909	0.512739113929458	0	1.08287739160759	1.5321334680055	0.763043832120902	0.179787404615645	0	0.179787404615645
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.96245433312247	1.50549783134764	0.469633233327112	2.17408218308153	0.678448337191417	2.38067498386128	1.87550646535985	1.73527125390225	1.18052287385476	1.03834499207622	0.301029995663981	1.04240384855309	0	0.890378021475806	2	2.12793503085222	1.07169322465507	0	0	0.0523880694596882	0.43831917065871	0	0	2.45593752349201	0	0.764961250166624	1.05139991321562	0.974783211647019	0	0	0.602059991327962	0.254033432987758	0	0.408935392973501	1.72280261334265	0.570303395208476	0.0523880694596882	0	0.090176630349088
