SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.021582459485224	0.000610104861773117	0.00373689227836034	0.0917826501429933	0.0336320305052431	0.225471877979028	0.0141468064823642	0.0941086749285033	0	0.0297807435653003	0.00106768350810296	0.00446139180171592	0.00114394661582459	0.00137273593898951	0.0453384175405148	0.0588751191611058	0.0040419447092469	0.0111344137273594	0.000266920877025739	0.0163965681601525	0.0192183031458532	0.0107530981887512	0	0.219561487130601	0.000190657769304099	0.00339370829361296	0.0386653956148713	0.0109818875119161	0.00114394661582459	0	0.00545281220209724	0.00102955195424214	0.0101048617731173	0.00377502383222116	0.00488083889418494	0.000343183984747378	0.000190657769304099	0	0.0113632030505243
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.00965877602723458	0.000435436624178608	0.00150423561079883	0.0737867152244478	0.0172987095241865	0.193254690839997	0.00700657113451033	0.0438603435990816	0	0.0935397039030956	0	0.00942126514131898	0	0.00138548016784103	0.0237510885915604	0.00577943155727971	0.00051460691948381	0.00661071965798432	0.000395851476526007	0.0103713086849814	0.00597735729554271	0.00312722666455546	0	0.346647137993825	0	0.00633362362441612	0.0896999445807933	0.0134589502018843	0.00051460691948381	0	0.0144485788931993	0.00134589502018843	0.00475021771831209	0.00292930092629246	0.00190008708732484	0	0	0.000237510885915604	0.0100546275037606
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0194948361892237	0.00168259002823657	0.00243685452365296	0.0620624298920822	0.0357018527830426	0.320040227439756	0.0149305689861912	0.0744207635477507	0	0.0109271651259042	0	0.00506711019997679	0	0.000444822651143001	0.0605925811317835	0.0750009670057633	0.00168259002823657	0.00423548524349205	0.000348122074807566	0.0154334119831354	0.024677987080803	0.0211967663327273	0	0.177484237806057	0.000328781959540479	0.00346188063280857	0.0292809345143697	0.0114300081228484	0.000464162766410088	0	0.00295903763586431	0.000367462190074653	0.00841295014118284	0.0047576683557034	0.0028236568289947	0	0	0	0.00785208679843732
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0168326784245636	0.000767613999817235	0.00177282280910171	0.0898108379786165	0.0448505894178927	0.215279173901124	0.022918760851686	0.133619665539614	0	0.030558347802248	0	0.00343598647537238	0.00142556885680344	0.00202869414237412	0.0194462213287033	0.0716622498400804	0.00418532395138445	0.00592159371287581	0.000676231380791373	0.00864479575984648	0.0323311706113497	0.0159554052819154	9.13826190258613e-05	0.191903499954309	0.000201041761856895	0.00285113771360687	0.0362606232294618	0.016229553138993	0.000201041761856895	0	0.00701818514118615	0.00096865576167413	0.00456913095129306	0.00897377318833958	0.00188248195193274	0	0	0	0.00672576076030339
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0228004852947329	0.00106681169727649	0.00370246412584194	0.0358741580554742	0.0454127097017111	0.306781575534452	0.00763502489227294	0.0545329038196042	0	0.0172363301677614	0	0.0208969585407689	0	0.000230096640589047	0.0523574446722169	0.0257080701167217	0.000941304438773376	0.0094967158934025	0	0.0159394218298958	0.0153118855373802	0.0106262812199306	0	0.263314228339539	0.000230096640589047	0.00416265740702004	0.0405597623729239	0.010228841568004	0.000313768146257792	0	0.00598251265531523	0.0012132368321968	0.00629628080157302	0.00853449357821194	0.00857632933104631	0	0	0.000251014517006234	0.00378613563151069
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.012303664921466	0.00178010471204188	0.00277486910994764	0.11195462478185	0.023455497382199	0.216841186736475	0.0199476439790576	0.102373472949389	0	0.0986038394415358	0	0.00221640488656195	8.7260034904014e-05	0.00111692844677138	0.0278359511343805	0.0603490401396161	0.00198952879581152	0.00350785340314136	0.000663176265270506	0.0109424083769634	0.0208726003490401	0.000680628272251309	0.000296684118673647	0.184659685863874	0	0.00567190226876091	0.0321465968586387	0.0112216404886562	0.000837696335078534	0	0.00286212914485166	0.000994764397905759	0.00275741710296684	0.0103315881326353	0.00357766143106457	0	0	0.000698080279232112	0.0236474694589878
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.023254920787326	0.0105616898703793	0.000787325972155545	0.0640998559769563	0.0146519443110898	0.143754200672108	0.141949111857897	0.0896015362457993	0.0382525204032645	0.123648583773404	0.0751416226596255	0.0187806048967835	0	0.00130580892942871	0.0128660585693711	0.0404992798847816	0.00132501200192031	0	0	0.0042246759481517	0.0166298607777244	0	0	0.0956505040806529	0	0.00397503600576092	0.0187614018242919	0.00622179548727796	0.00028804608737398	0	0.00334133461353817	0.00184349495919347	0	0.00103696591454633	0.0169755160825732	0.000652904464714354	0.00739318290926548	0	0.0225252040326452
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0396115934580297	0.00592889003102113	0.00211090511940381	0.11810055250647	0.0136382826410176	0.14671708364691	0.120505148772922	0.0995062317590264	0.0190165017713247	0.0665944675930175	0.00207419372602287	0.0118210686686613	0	0.000440536720571229	0.00669982929202078	0.0440353163604325	0.00214761651278474	0.0014868114319279	0	0.00324895831421282	0.0106830154738523	0	0	0.18869656197801	7.34227867618715e-05	0.00761761412654417	0.0230180436498467	0.0172176434956589	0.000312046843737954	0	0.00870060023128178	0.00163365700545164	0	0.0121331155123993	0.0147029130490648	0.00833348629747242	0.00258815323335597	0	0.00060573799078544
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0258849988106308	0.00640096879527712	0.00253011266570075	0.161797461237376	0.00897433125013516	0.157342732954177	0.153039378933028	0.0707134052721493	0.021862768419004	0.0329779642324244	0.000497372575308695	0.0145319291568454	0	0.00224898903617845	0.00819583504530415	0.0435957874705361	0.00274636161148714	0.000735246415673724	0	0.00408710507536276	0.00720108989468676	0	0	0.167571308089873	0.000129749367471834	0.00830395951819735	0.0284799861600675	0.0158942975152996	0.000670371731937807	0	0.00953657850917977	0.00190299072292023	0	0.00936357935255066	0.0278744891118656	0.00404385528620548	0.000432497891572779	0	0.000432497891572779
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0699043705050186	0.0239073737453568	0.00150162016912985	0.11428119813483	0.00290444953765905	0.184363392080929	0.0570813245870545	0.0411167312099897	0.0109065043863115	0.00764640796649016	0.000770568244685055	0.00772544060697068	0	0.00521615427171422	0.0762862562238204	0.102683158144314	0.00831818541057457	0	0	9.87908006006481e-05	0.00134355488816881	0	0	0.219394609973919	0	0.00371453410258437	0.00790326404805185	0.00650043467952264	0	0	0.00231170473405516	0.000612502963724018	0	0.00120524776732791	0.0399312416027819	0.00209436497273374	9.87908006006481e-05	0	0.000177823441081167
