SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.56157836830096	3.45530177165708	2.35082927358297	1.69810054562339	1.99475694458763	3.27067883614471	1.38381536598043	2.38542751480513	1.64345267648619	0.740362689494244
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.42569721336259	3.42249134920997	2.70808081046823	2.49623754516674	1.78390357927273	3.25178417725748	1.11394335230684	2.13767053723676	1.44247976906445	0.278753600952829
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.93751789201735	3.11650812373735	2.79553244271015	0	1.82801506422398	3.12901279312603	0.505149978319906	1.60959440922522	1.68214507637383	0.204119982655925
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.80071707828238	3.36325462099469	2.64972418592952	1.92220627743902	1.77305469336426	3.15418043211182	0.785329835010767	1.98136550907854	1.05690485133647	0.204119982655925
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.38345629652475	3.36936430878124	2.44185217577329	1.79865064544527	1.62838893005031	3.28611950259036	1.2148438480477	1.88081359228079	1.84010609445676	0.477121254719662
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.78675142214556	3.40817210149705	2.91434315711944	0	2.14207646107328	3.37247012284187	1.72015930340596	1.47275644931721	2.02489596010748	0.698970004336019
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	2.16016829295851	3.37966803403365	2.67960957177976	0.301029995663981	1.88252453795488	3.39450421327173	1.57287160220048	1.40140054078154	1.1846914308176	0.934498451243568
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.81424759573192	3.33639968898608	2.17695898058691	0	1.52374646681156	3.25832593474897	1.39967372148104	1.17897694729317	0.255272505103306	0
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	2.02284061087653	3.30928941065526	2.22865695810894	0	1.2405492482826	3.28269007226822	1.70926996097583	1.26717172840301	0.278753600952829	0.462397997898956
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	2.03422726077055	3.46271237319474	2.8190830757437	0	2.3236645356081	3.33417217272461	1.89597473235906	1.34635297445064	1.05307844348342	0.819543935541869
