SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.021582459485224	0.00434699714013346	0.459142040038132	0.0297807435653003	0.00106768350810296	0.00446139180171592	0.00114394661582459	0.0467111534795043	0.0588751191611058	0.0040419447092469	0.0111344137273594	0.000266920877025739	0.0163965681601525	0.0192183031458532	0.0107530981887512	0.219561487130601	0.000190657769304099	0.054184938036225	0.00545281220209724	0.0111344137273594	0.00377502383222116	0.0113632030505243	0.00488083889418494	0.000343183984747378	0.000190657769304099	0	0
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.00965877602723458	0.00193967223497744	0.335207030322223	0.0935397039030956	0	0.00942126514131898	0	0.0251365687594015	0.00577943155727971	0.00051460691948381	0.00661071965798432	0.000395851476526007	0.0103713086849814	0.00597735729554271	0.00312722666455546	0.346647137993825	0	0.110007125326577	0.0144485788931993	0.00609611273850051	0.00292930092629246	0.00562109096666931	0.00190008708732484	0	0	0.000237510885915604	0.00443353653709128
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0194948361892237	0.00411944455188953	0.507155842648822	0.0109271651259042	0	0.00506711019997679	0	0.0610374037829265	0.0750009670057633	0.00168259002823657	0.00423548524349205	0.000348122074807566	0.0154334119831354	0.024677987080803	0.0211967663327273	0.177484237806057	0.000328781959540479	0.0446369860364368	0.00295903763586431	0.00878041233125749	0.0047576683557034	0.00750396472362975	0.0028236568289947	0	0	0	0.000348122074807566
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0168326784245636	0.00254043680891894	0.506479027688934	0.030558347802248	0	0.00343598647537238	0.00142556885680344	0.0214749154710774	0.0716622498400804	0.00418532395138445	0.00592159371287581	0.000676231380791373	0.00864479575984648	0.0323311706113497	0.0159554052819154	0.191994882573335	0.000201041761856895	0.0555423558439185	0.00701818514118615	0.00553778671296719	0.00897377318833958	0.00637850680800512	0.00188248195193274	0	0	0	0.000347253952298273
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0228004852947329	0.00476927582311844	0.450236372003514	0.0172363301677614	0	0.0208969585407689	0	0.0525875413128059	0.0257080701167217	0.000941304438773376	0.0094967158934025	0	0.0159394218298958	0.0153118855373802	0.0106262812199306	0.263314228339539	0.000230096640589047	0.0552650294942057	0.00598251265531523	0.00750951763376982	0.00853449357821194	0.000146425134920303	0.00857632933104631	0	0	0.000251014517006234	0.00363971049659039
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.012303664921466	0.00455497382198953	0.47457242582897	0.0986038394415358	0	0.00221640488656195	8.7260034904014e-05	0.0289528795811518	0.0603490401396161	0.00198952879581152	0.00350785340314136	0.000663176265270506	0.0109424083769634	0.0208726003490401	0.000680628272251309	0.184956369982548	0	0.0498778359511344	0.00286212914485166	0.0037521815008726	0.0103315881326353	0.0235951134380454	0.00357766143106457	0	0	0.000698080279232112	5.23560209424084e-05
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.023254920787326	0.0113490158425348	0.492309169467115	0.123648583773404	0.0751416226596255	0.0187806048967835	0	0.0141718674987998	0.0404992798847816	0.00132501200192031	0	0	0.0042246759481517	0.0166298607777244	0	0.0956505040806529	0	0.0292462794047048	0.00334133461353817	0.00184349495919347	0.00103696591454633	0.0225252040326452	0.0169755160825732	0.000652904464714354	0.00739318290926548	0	0
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0396115934580297	0.00803979515042493	0.517483801097671	0.0665944675930175	0.00207419372602287	0.0118210686686613	0	0.00714036601259201	0.0440353163604325	0.00214761651278474	0.0014868114319279	0	0.00324895831421282	0.0106830154738523	0	0.18869656197801	7.34227867618715e-05	0.0481653481157877	0.00870060023128178	0.00163365700545164	0.0121331155123993	0.000128489876833275	0.0147029130490648	0.00833348629747242	0.00258815323335597	0	0.000477248113952165
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0258849988106308	0.00893108146097788	0.573730078065869	0.0329779642324244	0.000497372575308695	0.0145319291568454	0	0.0104448240814826	0.0435957874705361	0.00274636161148714	0.000735246415673724	0	0.00408710507536276	0.00720108989468676	0	0.167571308089873	0.000129749367471834	0.0533486149255022	0.00953657850917977	0.00190299072292023	0.00936357935255066	0	0.0278744891118656	0.00404385528620548	0.000432497891572779	0	0.000432497891572779
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0699043705050186	0.0254089939144867	0.410653599936774	0.00764640796649016	0.000770568244685055	0.00772544060697068	0	0.0815024104955347	0.102683158144314	0.00831818541057457	0	0	9.87908006006481e-05	0.00134355488816881	0	0.219394609973919	0	0.0181182328301589	0.00231170473405516	0.000612502963724018	0.00120524776732791	7.90326404805185e-05	0.0399312416027819	0.00209436497273374	9.87908006006481e-05	0	9.87908006006481e-05
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0228564633131169	0.0102033535497681	0.692710191461529	0.0345344273992151	0.0033535497681056	0.00658817933166845	0	0.0377214888809609	0.0759424426210013	0.00387679866809371	0	0	0.000356760613628255	0.000737305268165061	0	0.0552265429896539	0	0.0140088000951362	0.00109406588179332	0.000523248899988108	0.000547032940896658	0.000547032940896658	0.0352241645855631	0.000618385063622309	0.000118920204542752	0.0032108455226543	0
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0522388059701493	0.010829573064908	0.494967025338424	0.038753904894134	0.00848663658451926	0.0169732731690385	0	0.0158104824713641	0.0939430753210691	0.00659493231516834	0.000138840680319334	0	0.00282887886150642	0.001041305102395	0	0.16041305102395	0	0.0363068379035057	0.00487677889621659	0.00154460256855259	0.00402637972926067	0	0.0419819507115585	0.00525859076709476	0.00220409580006942	0	0.000780978826796251
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0367679015350382	0.00938754932809485	0.459711767466926	0.0885906506962432	0.054326095648697	0.0103958416633347	0	0.00893555621229769	0.0882429636840916	0.00293795525268154	0.000903986231594319	0	0.00126905759435356	0.00345948577090903	0	0.159883872537941	0	0.0368548232880761	0.0062583662187299	0.00149505415225214	0.00208612207290997	0.000191227856683414	0.0235036420214523	0.000730142725518488	0.00391147888670619	0	0.000156459155468247
