SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0228004852947329	0.00106681169727649	0	0	0	0	0.0172363301677614	0	0.000230096640589047	0	0	0.00403715014851692	0	0.954629126051123
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.012303664921466	0.00178010471204188	0	0	0	0	0.0986038394415358	0	0.000575916230366492	0	0.000349040139616056	0.00528795811518325	0	0.881099476439791
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.023254920787326	0.0105616898703793	0.0117522803648584	0.0768122899663946	0.000806529044647144	0.00764282285165627	0.123648583773404	0.00326452232357177	0.000960153624579933	0	0.00919827172347576	0.0101200192030725	0.000652904464714354	0.72132501200192
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0396115934580297	0.00592889003102113	0.00649791662842563	0.0782686906881551	0.000569026597404504	0.00275335450357018	0.0665944675930175	0.00111969749811854	0.000183556966904679	0	0.020283044842967	0.00827841920740102	0.00833348629747242	0.761577855687513
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0258849988106308	0.00640096879527712	0.00808771057241096	0.0851155850615228	0.000432497891572779	0.00430335402114915	0.0329779642324244	0.000691996626516446	0.000562247259044612	0	0.0105313236597972	0.00936357935255066	0.00404385528620548	0.811603918430898
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0699043705050186	0.0239073737453568	0.00794278036829211	0.0423614952975579	0	0.0014028293685292	0.00764640796649016	0.000177823441081167	0.00116573144708765	0.00335888722042203	0.00292420769777918	0.0012645222476883	0.00209436497273374	0.835849205721963
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0228564633131169	0.00984659293613985	0.0190510167677488	0.108193602092996	0.000689737186347961	0.0101082173861339	0.0345344273992151	0.000261624449994054	0	0	0.00903793554524914	0.00159353074087287	0.000618385063622309	0.783208467118563
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0522388059701493	0.0095626518569941	0.00180492884415134	0.0722318639361333	0	0.00331482124262409	0.038753904894134	0.000572717806317251	0	8.67754251995835e-05	0.00348837209302326	0.00432141617493926	0.00525859076709476	0.80836515098924
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0367679015350382	0.00938754932809485	0.0108130660779167	0.0820889035690072	0.000278149609721329	0.00582375745354032	0.0885906506962432	0.00149505415225214	0.00121690454253081	0	0.00591067920657824	0.00509361472802183	0.000730142725518488	0.751803626375537
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0234032872661093	0.000938406415287494	0.0310527213786043	0.0540294602741284	0.00130808166979469	0.0118864812603083	0.177301939373258	0.0024739805493943	0	0	0.00412330091565717	0.00568731160780299	0.0116021156799181	0.676192913609737
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.00841552196273126	0.00469755326491084	0.0117995413763163	0.0709085646859764	0.000356212569851059	0.00394060155397734	0.0991606741322884	0.00057884542600797	0.00213727541910635	0.00776988667987622	0.00458623683683238	0.00592203397377385	0.00218180199033773	0.777545250128014
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0438862165211711	0.00265257240136984	0.00332561315992636	0.0990161727735218	0	0.00150444404853812	0.0545558920759348	0.00227646138923531	0.000692836074984659	0	0.00425599303204862	0.00158362531425065	0.0132034760575648	0.773046697151454
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.00790565482996309	0.000490019927477051	0.000359347946816504	0.000816699879128418	0	9.80039854954101e-05	0.133938780177061	0	0	0	0.000441017934729346	0.00798732481787593	0	0.847963150501454
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0228120744840758	0.000583564696104264	0.00491609047021167	0.00548197138764611	0	0.0010787104988594	0.0843869918124105	0.000159154008028436	0.000530513360094785	8.84188933491308e-05	0.000389043130736176	0.0134573555677377	0.000530513360094785	0.865585598330651
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0121679600497034	0.000820575340538766	0	0.000468900194593581	0	0	0.0350033995264108	0	0.000281340116756148	0.000328230136215507	0.000351675145945186	0.00454833188755773	0	0.946029587602279
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0207729580599541	0.00111283703892611	0	0.000973732409060348	0	0	0.0390188486773468	0	0.000672339044351193	0	0.000649154939373565	0.00459045278557021	0	0.932209677045418
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0139379055735359	0.000569226015255257	0	0	0	0	0.107063281669296	0	0	0	0.00187031405012442	0.00479776212858002	0	0.871761510563208
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0213951636978804	0.000613659733970213	0	0	0	0	0.0284439579394301	0	0.000680001326831857	0	0.000497561946462335	0.0190234517530766	0	0.929346203602349
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0186104476061896	0.0013500882750026	0	0	0	0	0.0177173122858033	0	0.000560805898847232	0	0.000332329421539101	0.00641811195347388	0	0.955010904559144
PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0181890907559841	0.00117892254899897	0	0	0	0	0.0175996294814846	0	0.000105260941874908	0	0.00134734005599882	0.0157470369044862	0	0.945832719311172
PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0291199508524036	0.002088772845953	0.0213792044232837	0.0280141299339579	0	0.00294885578252189	0.106128090923053	0.00264168330517586	0	0	0.00288742128705268	0.0136691752418983	0.00451543541698664	0.786607279987713
PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0192060167074679	0.00217045655301214	0.00537566564873937	0.0465386265552835	0	0.00169093708199783	0.0588799434671782	0.00073189813996921	0	0.00143855841304293	0.007571360068647	0.0136789238573556	0.00676374832799132	0.835953865179315
PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0240504707615449	0.00140908217511048	0.0110805098315506	0.0424646128226478	0	0.00499583680266445	0.121693460577724	0.00249791840133222	0	0	0.00413117274066483	0.0096073784666624	0.00236982002177672	0.775699737398322
PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0188294619387372	0.00303095327503889	0.0136258784399979	0.0828281744541602	0.000402338930314897	0.00394292151708599	0.1069416876777	0.002628614344724	0	0	0.00635695509897538	0.00670564883858162	0.0049621801405504	0.749745185344134
PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0317326732673267	0.000742574257425743	0.0467079207920792	0.0378960396039604	0.00116336633663366	0.0125247524752475	0.136856435643564	0.0024009900990099	0	9.9009900990099e-05	0.00232673267326733	0.0103465346534653	0.00806930693069307	0.709133663366337
PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0503674089923703	0.000478617078183507	0.0277316365888679	0.030434415383316	0.000478617078183507	0.0110645006897717	0.115008868492919	0.00067569469861201	0	0.000563078915510009	0.00560263520932459	0.00681325487767111	0.00456093921563107	0.746220332779639
PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0432919220962404	0.00157326533933706	0.0145662670211035	0.0316280583735691	0	0.00396028861281398	0.0868822221016655	0.000569630553897901	0	0.000434004231541258	0.00295665382737482	0.00534367710085173	0.00238702327347692	0.806406987468128
PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0157394843962008	0.00281546811397558	0.00943012211668928	0.0275780189959294	0	0.00329036635006784	0.0997625508819539	0.00111940298507463	0	0.00244233378561737	0.00617367706919946	0.00457937584803256	0.00457937584803256	0.822489823609227
Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0239268443609195	0.000137510599775399	0	0	0	0	0.0187472784360461	0	0	0	0.00261270139573259	0.0163637613732725	0	0.938211903834254
Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.00739277075597043	0	0	0	0	0	0.000442884883998228	0	0	0	0.000885769767996457	0.0242223963479031	0	0.967056178244132
Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.027408087297945	0.00028045484676967	0	0	0	0	0.00300851562898373	0	0	0	0.00277905257253582	0.0164703482739279	0	0.950053541379838
Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0115549261321575	0.000128745695065821	0	0	0	0	0.00157713476455631	0	0	0	0.00798223309408092	0.0276159515916187	0	0.951141008722521
Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0207347701652941	0	0	0.000545139497303506	0	0	0.00247259700562662	0	0	0	0.00136284874325877	0.0294570021221502	0	0.945427642466367
Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0273295537142026	0	0	0.000193826622086544	0	0	0.000113065529550484	0	0	4.84566555216359e-05	0.000533023210737995	0.0190434656200029	0	0.952738608647898
Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0174994837910386	0.000103241792277514	0.000344139307591713	0.00805285979764609	0	0.000172069653795857	0.007433409043981	0	0	8.60348268979283e-05	0.00361346272971299	0.0164842728336431	0.000292518411452956	0.945918507811962
Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0287377877797424	0.000357213023986855	0.000428655628784225	0.00734072764292986	0	0.000214327814392113	0.00985907946203719	0.000250049116790798	0	0	0.0078586865277108	0.0131632999339156	0.000428655628784225	0.931361517440926
