index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,MouseModel,MouseID,Cancer,SmokeExp,NeoExp,TumorImp,Study
SMK-Neo4-S115,98.0,0.0,0.0,12438.0,0.0,10535.0,1330.0,0.0,0.0,22.0,0.0,1043.0,0.0,304.0,0.0,0.0,0.0,223.0,WT,SMK_Neo4,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo5-S120,169.0,0.0,0.0,8567.0,0.0,5957.0,628.0,0.0,0.0,20.0,0.0,1806.0,0.0,1436.0,0.0,0.0,10.0,196.0,WT,SMK_Neo5,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo6-S125,646.0,0.0,0.0,15576.0,0.0,729.0,2056.0,0.0,14.0,88.0,0.0,3937.0,0.0,3027.0,0.0,0.0,13.0,1373.0,WT,SMK_Neo6,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo7-S130,78.0,0.0,0.0,8530.0,0.0,7844.0,308.0,0.0,0.0,0.0,0.0,310.0,0.0,84.0,0.0,0.0,8.0,668.0,WT,SMK_Neo7,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo8-S135,476.0,0.0,0.0,17398.0,0.0,560.0,1070.0,0.0,8.0,14.0,0.0,1283.0,0.0,1829.0,0.0,0.0,0.0,615.0,WT,SMK_Neo8,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK1-S117,267.0,0.0,86.0,4831.0,161.0,4917.0,2482.0,25.0,174.0,5.0,119.0,1900.0,0.0,1197.0,7.0,0.0,214.0,105.0,WT,SMK1,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK10-S123,354.0,0.0,110.0,7792.0,610.0,4401.0,3507.0,41.0,112.0,11.0,121.0,3490.0,0.0,2217.0,17.0,15.0,344.0,59.0,WT,SMK10,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK11-S128,1188.0,0.0,303.0,6274.0,70.0,1153.0,9265.0,566.0,828.0,67.0,343.0,1672.0,53.0,1056.0,0.0,364.0,60.0,283.0,WT,SMK11,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK2-S122,370.0,0.0,196.0,5435.0,293.0,906.0,4942.0,439.0,448.0,58.0,146.0,2874.0,77.0,2321.0,17.0,135.0,108.0,119.0,WT,SMK2,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK3-S127,650.0,0.0,151.0,4387.0,49.0,5434.0,5196.0,14.0,145.0,8.0,148.0,1322.0,0.0,717.0,7.0,5.0,49.0,87.0,WT,SMK3,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK4-S132,477.0,0.0,111.0,2976.0,41.0,1009.0,4870.0,129.0,284.0,22.0,186.0,796.0,105.0,538.0,0.0,306.0,0.0,0.0,WT,SMK4,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK5-S137,1067.0,0.0,230.0,3634.0,123.0,827.0,6980.0,321.0,344.0,23.0,127.0,863.0,87.0,697.0,0.0,313.0,16.0,109.0,WT,SMK5,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK7-S108,395.0,0.0,235.0,4563.0,54.0,1531.0,3753.0,288.0,226.0,9.0,0.0,1824.0,0.0,1270.0,8.0,0.0,89.0,42.0,WT,SMK7,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK8-S113,196.0,0.0,238.0,6702.0,206.0,6816.0,1422.0,0.0,16.0,26.0,0.0,2873.0,0.0,2352.0,15.0,14.0,437.0,224.0,WT,SMK8,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK9-S118,575.0,0.0,109.0,5165.0,184.0,6505.0,4049.0,29.0,99.0,24.0,155.0,2098.0,0.0,1513.0,8.0,0.0,216.0,88.0,WT,SMK9,Pancreatic,Yes,No,Post,Neo-Pancreatic
