Domain	Phylum	Class	Order	Family	Genus	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.894196273831961	0.0223656294200849	2.23656294200849	506
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.14863599923253	0.0374917696270189	3.74917696270189	968
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.69186966391808	0.0280464216634429	2.80464216634429	290
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.0498463726450977	0.000902889245585875	0.0902889245585875	9
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.40028122448694	0.0045954373871656	0.45954373871656	112
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.0392532991476735	0.000398066533977822	0.0398066533977822	7
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.202650287575149	0.00192551748282351	0.192551748282351	44
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.34561212831672	0.0465295935345852	4.65295935345852	1566
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.00466987813349	0.0260372402070617	2.60372402070617	674
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.20411998265592	0.039527099209458	3.9527099209458	1110
