Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.19368102954128	0.0409617567103909	4.09617567103909	1552
Bacteria	Actinobacteriota	P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.959518376973	0.0335818114051435	3.35818114051435	901
Bacteria	Actinobacteriota	P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.03221570329798	0.0374701503020087	3.74701503020087	1067
Bacteria	Actinobacteriota	P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.02325245963371	0.0446600282063336	4.46600282063336	1045
Bacteria	Actinobacteriota	P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.91539983521227	0.0277920213311455	2.77920213311455	813
Bacteria	Actinobacteriota	P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.8394780473742	0.0483596080102258	4.83596080102258	681
Bacteria	Actinobacteriota	P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.93145787068901	0.0331318206799089	3.31318206799089	844
Bacteria	Actinobacteriota	S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.959041392321094	0.00444127645575173	0.444127645575173	81
Bacteria	Actinobacteriota	S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.00432137378264	0.00425392670157068	0.425392670157068	91
Bacteria	Actinobacteriota	S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.00860017176192	0.00341651812240048	0.341651812240048	92
Bacteria	Actinobacteriota	S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.53907609879278	0.0144342297448234	1.44342297448234	336
Bacteria	Actinobacteriota	S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.91645394854993	0.0332761718112037	3.32761718112037	815
Bacteria	Actinobacteriota	S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.33223641549144	0.0604459264701727	6.04459264701727	2139
Bacteria	Actinobacteriota	S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.11394335230684	0.0310282621767889	3.10282621767889	1290
Bacteria	Actinobacteriota	S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.25163822044821	0.0592298451681794	5.92298451681794	1775
Bacteria	Actinobacteriota	S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.35621713421974	0.0852531955808604	8.52531955808604	2261
Bacteria	Actinobacteriota	S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.16046853111904	0.0396206126444071	3.96206126444071	1437
Bacteria	Actinobacteriota	S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.99475694458763	0.0267798466593647	2.67798466593647	978
Bacteria	Actinobacteriota	S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.43408963841789	0.0778992805755396	7.78992805755396	2707
Bacteria	Actinobacteriota	S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.14921911265538	0.0369285959220279	3.69285959220279	1400
Bacteria	Actinobacteriota	S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.09342168516224	0.00551497266702143	0.551497266702143	114
Bacteria	Actinobacteriota	S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.02530586526477	0.00372656340980552	0.372656340980552	96
Bacteria	Actinobacteriota	S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1	0.00412673666834793	0.412673666834793	90
Bacteria	Actinobacteriota	S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.447158031342219	0.0011892177589852	0.11892177589852	18
Bacteria	Actinobacteriota	S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.763427993562937	0.00245198201879853	0.245198201879853	48
