index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Chlamydiaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,d__Eukaryota;p__Parabasalia;__;__;__,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P731SM9-S146,47.0,834.0,0.0,0.0,0.0,10.0,2179.0,0.0,6665.0,0.0,2369.0,0.0,0.0,0.0,89.0,0.0,0.0,728.0,2288.0,0.0,0.0,908.0,257.0,459.0,0.0,5.0,5693.0,7.0,29.0,889.0,454.0,31.0,0.0,63.0,36.0,0.0,336.0,0.0,23.0,0.0,35.0,0.0,0.0,1040.0,0.0,WT,Pan-SM9,Pancreatic,Yes,No,Post,Abx-Pancreatic
S731ABX1-S90,3254.0,0.0,34.0,0.0,47.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14810.0,0.0,0.0,0.0,4.0,WT,Pan-ABX1,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX2-S91,3493.0,0.0,33.0,36.0,22.0,0.0,8.0,0.0,20.0,31.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17675.0,0.0,0.0,0.0,0.0,WT,Pan-ABX2,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX3-S92,3804.0,29.0,24.0,12.0,27.0,0.0,6.0,0.0,7.0,21.0,17.0,0.0,1258.0,226.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,21223.0,8.0,0.0,0.0,17.0,WT,Pan-ABX3,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX4-S93,5029.0,177.0,60.0,0.0,99.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17808.0,0.0,0.0,0.0,0.0,WT,Pan-ABX4,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731CT1-S34,0.0,776.0,0.0,0.0,0.0,39.0,1706.0,650.0,1691.0,2581.0,2416.0,518.0,3770.0,1531.0,792.0,0.0,7.0,86.0,951.0,0.0,19.0,2.0,0.0,111.0,39.0,0.0,4835.0,0.0,108.0,450.0,483.0,0.0,0.0,164.0,26.0,29.0,65.0,0.0,76.0,0.0,41.0,20.0,510.0,0.0,2164.0,WT,Pan-CT1,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT2-S35,0.0,1804.0,0.0,0.0,0.0,335.0,2779.0,371.0,4725.0,3062.0,3802.0,589.0,3680.0,2355.0,263.0,0.0,42.0,632.0,6410.0,0.0,130.0,0.0,44.0,103.0,91.0,0.0,2362.0,7.0,12.0,522.0,212.0,0.0,0.0,42.0,46.0,0.0,31.0,0.0,706.0,0.0,40.0,97.0,93.0,0.0,841.0,WT,Pan-CT2,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT3-S36,93.0,1214.0,0.0,0.0,0.0,76.0,2091.0,0.0,7783.0,5714.0,4724.0,0.0,0.0,0.0,0.0,112.0,0.0,497.0,3279.0,26.0,0.0,3739.0,915.0,812.0,0.0,44.0,6926.0,0.0,23.0,2098.0,805.0,34.0,65.0,128.0,67.0,0.0,0.0,0.0,241.0,0.0,62.0,0.0,0.0,7.0,0.0,WT,Pan-CT3,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT4-S37,0.0,1602.0,0.0,0.0,0.0,173.0,1478.0,426.0,1615.0,1524.0,2640.0,179.0,4605.0,1064.0,439.0,0.0,0.0,368.0,4557.0,21.0,202.0,3.0,24.0,68.0,697.0,0.0,6543.0,3.0,18.0,241.0,384.0,0.0,0.0,545.0,91.0,92.0,220.0,0.0,40.0,0.0,0.0,64.0,42.0,0.0,300.0,WT,Pan-CT4,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT5-S38,0.0,2185.0,0.0,0.0,0.0,76.0,1394.0,0.0,6383.0,3514.0,1114.0,0.0,0.0,0.0,0.0,0.0,50.0,2473.0,4193.0,0.0,0.0,241.0,219.0,789.0,0.0,13.0,1975.0,103.0,0.0,335.0,441.0,122.0,17.0,7.0,30.0,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT5,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT6-S39,31.0,1393.0,0.0,0.0,0.0,44.0,2988.0,0.0,6943.0,5991.0,2763.0,0.0,0.0,0.0,0.0,0.0,18.0,1230.0,3561.0,38.0,0.0,357.0,464.0,613.0,0.0,30.0,5844.0,0.0,13.0,2383.0,920.0,54.0,96.0,22.0,35.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT6,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT7-S40,0.0,891.0,0.0,0.0,0.0,87.0,1848.0,0.0,7530.0,3563.0,3264.0,0.0,13.0,0.0,0.0,229.0,11.0,447.0,5435.0,9.0,0.0,761.0,1260.0,197.0,0.0,25.0,7131.0,0.0,19.0,2392.0,586.0,48.0,129.0,53.0,84.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT7,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT8-S41,0.0,2650.0,0.0,0.0,0.0,57.0,1744.0,0.0,9372.0,3734.0,2415.0,0.0,12.0,0.0,0.0,7.0,21.0,2709.0,5805.0,20.0,0.0,298.0,129.0,496.0,0.0,21.0,4007.0,0.0,4.0,367.0,354.0,14.0,87.0,0.0,15.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT8,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT9-S42,10.0,1264.0,0.0,0.0,0.0,136.0,2427.0,950.0,2753.0,4405.0,4886.0,479.0,4361.0,713.0,251.0,0.0,44.0,152.0,5510.0,29.0,510.0,64.0,55.0,1340.0,435.0,0.0,5007.0,4.0,88.0,345.0,506.0,0.0,0.0,203.0,27.0,147.0,487.0,0.0,82.0,0.0,0.0,181.0,57.0,3.0,518.0,WT,Pan-CT9,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731SA1-S52,5009.0,0.0,18.0,86.0,10.0,0.0,21.0,0.0,43.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15449.0,0.0,0.0,0.0,0.0,WT,Pan-SA1,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA2-S53,6224.0,12.0,17.0,53.0,14.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19258.0,0.0,0.0,0.0,0.0,WT,Pan-SA2,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA3-S54,5126.0,15.0,22.0,32.0,21.0,0.0,117.0,0.0,239.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15959.0,0.0,0.0,15.0,0.0,WT,Pan-SA3,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA4-S55,3232.0,0.0,10.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11832.0,0.0,0.0,0.0,0.0,WT,Pan-SA4,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA5-S56,4427.0,0.0,0.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15029.0,0.0,0.0,0.0,0.0,WT,Pan-SA5,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA6-S57,4616.0,18.0,27.0,0.0,34.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,75.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,11596.0,0.0,0.0,0.0,0.0,WT,Pan-SA6,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SM1-S43,36.0,1256.0,0.0,0.0,0.0,48.0,3728.0,0.0,4983.0,0.0,3083.0,0.0,5.0,0.0,0.0,0.0,0.0,968.0,3812.0,0.0,0.0,2402.0,989.0,401.0,0.0,3.0,5798.0,36.0,0.0,838.0,280.0,18.0,0.0,0.0,26.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,1741.0,0.0,WT,Pan-SM1,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM2-S44,0.0,1264.0,0.0,0.0,0.0,39.0,5631.0,0.0,6320.0,5.0,3010.0,0.0,10.0,0.0,0.0,0.0,36.0,1378.0,3515.0,0.0,0.0,3091.0,1032.0,239.0,0.0,0.0,6135.0,29.0,15.0,1089.0,427.0,28.0,190.0,0.0,65.0,0.0,0.0,0.0,601.0,0.0,0.0,0.0,0.0,1438.0,0.0,WT,Pan-SM2,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM3-S45,0.0,1148.0,0.0,0.0,0.0,55.0,3820.0,0.0,5530.0,0.0,3012.0,0.0,0.0,0.0,0.0,0.0,16.0,1284.0,4130.0,0.0,0.0,336.0,652.0,329.0,0.0,11.0,4909.0,35.0,17.0,783.0,356.0,0.0,33.0,6.0,52.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,2294.0,0.0,WT,Pan-SM3,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM4-S46,0.0,409.0,0.0,0.0,0.0,102.0,3717.0,0.0,4819.0,0.0,2416.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,236.0,0.0,0.0,1040.0,514.0,363.0,0.0,0.0,5874.0,48.0,0.0,1122.0,386.0,0.0,4.0,14.0,50.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,2458.0,0.0,WT,Pan-SM4,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM5-S47,44.0,1358.0,0.0,0.0,0.0,101.0,3705.0,0.0,5696.0,5.0,3527.0,0.0,7.0,0.0,0.0,0.0,0.0,1201.0,4051.0,0.0,0.0,1922.0,1431.0,834.0,0.0,4.0,6760.0,25.0,9.0,1529.0,539.0,31.0,0.0,14.0,46.0,0.0,13.0,0.0,137.0,0.0,0.0,0.0,0.0,671.0,0.0,WT,Pan-SM5,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM6-S48,0.0,1323.0,0.0,0.0,0.0,90.0,3679.0,0.0,5526.0,0.0,2936.0,0.0,9.0,0.0,0.0,0.0,0.0,2095.0,3507.0,6.0,0.0,1719.0,474.0,342.0,0.0,6.0,5935.0,12.0,0.0,1118.0,438.0,20.0,35.0,20.0,48.0,0.0,14.0,0.0,296.0,0.0,0.0,0.0,0.0,2377.0,0.0,WT,Pan-SM6,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM7-S49,79.0,745.0,0.0,0.0,0.0,83.0,2456.0,0.0,3851.0,0.0,2221.0,0.0,0.0,0.0,0.0,0.0,11.0,994.0,1051.0,10.0,0.0,866.0,420.0,415.0,0.0,7.0,4571.0,8.0,14.0,922.0,310.0,28.0,0.0,16.0,36.0,0.0,0.0,0.0,225.0,0.0,23.0,0.0,0.0,2496.0,0.0,WT,Pan-SM7,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM8-S50,0.0,870.0,0.0,0.0,0.0,55.0,3845.0,0.0,4219.0,0.0,3421.0,0.0,0.0,0.0,0.0,5.0,0.0,675.0,1465.0,8.0,0.0,1514.0,877.0,688.0,0.0,0.0,5410.0,17.0,0.0,1270.0,285.0,10.0,39.0,0.0,32.0,0.0,0.0,0.0,256.0,0.0,34.0,0.0,0.0,615.0,0.0,WT,Pan-SM8,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM9-S51,92.0,1144.0,0.0,0.0,0.0,41.0,4170.0,0.0,5574.0,0.0,3261.0,0.0,0.0,0.0,0.0,35.0,15.0,1836.0,2388.0,0.0,0.0,1315.0,582.0,698.0,0.0,0.0,7756.0,8.0,18.0,2281.0,705.0,9.0,0.0,56.0,35.0,0.0,0.0,0.0,247.0,0.0,21.0,0.0,0.0,875.0,0.0,WT,Pan-SM9,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
