Domain	Phylum	Class	Order	Family	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Muribaculaceae	2.54326962714304	0.165417359156124	16.5417359156124	9754
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Muribaculaceae	2.64769725874146	0.20419476887646	20.419476887646	12413
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Muribaculaceae	2.44337476058553	0.155000900702548	15.5000900702548	7744
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Muribaculaceae	2.52165168257064	0.188070047427946	18.8070047427946	9279
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Muribaculaceae	2.63670276952435	0.23047038659303	23.047038659303	12102
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Rikenellaceae	1.37040733821756	0.026190872751499	2.6190872751499	629
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Rikenellaceae	1.89269075169542	0.131831226720401	13.1831226720401	2159
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Rikenellaceae	1.91115760873998	0.0973481903774726	9.73481903774726	2254
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Rikenellaceae	0.26884531229258	0.00149374494305097	0.149374494305097	24
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Rikenellaceae	1.92832268327635	0.182795698924731	18.2795698924731	2346
