Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota	3.44245737062808	0.396838721565898	39.6838721565898	19382
Bacteria	Bacteroidota	POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota	3.53817861039339	0.409778516433199	40.9778516433199	24163
Bacteria	Bacteroidota	POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota	3.58355500524775	0.441273235729561	44.1273235729561	26825
Bacteria	Bacteroidota	POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota	3.48409637507419	0.426993054582574	42.6993054582574	21333
Bacteria	Bacteroidota	POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota	3.50301202846598	0.451639709757185	45.1639709757185	22283
Bacteria	Bacteroidota	POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota	3.55075233600452	0.47368120358027	47.368120358027	24873
Bacteria	Firmicutes	POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Firmicutes	3.32026501068312	0.609052298467688	60.9052298467688	14627
Bacteria	Firmicutes	POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Firmicutes	3.11284429543115	0.553825486963424	55.3825486963424	9070
Bacteria	Firmicutes	POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Firmicutes	3.22671035181887	0.509242463505226	50.9242463505226	11791
Bacteria	Firmicutes	POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Firmicutes	3.13125193898902	0.588971183170474	58.8971183170474	9463
Bacteria	Firmicutes	POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Firmicutes	2.95678566711098	0.493221131369799	49.3221131369799	6330
