index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Eukaryota;p__Parabasalia,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
PrecntrlFMT5-S104,56.0,1072.0,29011.0,6583.0,0.0,2097.0,21576.0,777.0,212.0,103.0,0.0,WT,FMT-CR5,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT6-S105,473.0,1501.0,26513.0,1715.0,0.0,938.0,27665.0,1066.0,393.0,30.0,0.0,WT,FMT-CR6,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT7-S106,63.0,1087.0,24266.0,853.0,0.0,304.0,19385.0,484.0,1692.0,11.0,0.0,WT,FMT-CR7,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT8-S107,40.0,1072.0,22544.0,836.0,0.0,1739.0,20491.0,431.0,271.0,77.0,0.0,WT,FMT-CR8,Pancreatic,No,Recipient,Pre,Smoke-FMT
PresmokeFMT1-S108,46.0,1089.0,12341.0,3455.0,752.0,171.0,13865.0,0.0,380.0,456.0,5569.0,WT,FMT-SR1,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT2-S109,43.0,941.0,15253.0,2333.0,288.0,628.0,19363.0,0.0,494.0,280.0,1494.0,WT,FMT-SR2,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT3-S110,7.0,848.0,10560.0,3800.0,486.0,477.0,14463.0,0.0,467.0,118.0,1468.0,WT,FMT-SR3,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT4-S111,74.0,891.0,15226.0,3987.0,32.0,657.0,15838.0,0.0,328.0,249.0,3872.0,WT,FMT-SR4,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT5-S112,30.0,1379.0,18418.0,5529.0,242.0,551.0,13574.0,0.0,215.0,462.0,4352.0,WT,FMT-SR5,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT6-S113,9.0,1874.0,16237.0,4085.0,28.0,270.0,12596.0,22.0,188.0,210.0,1166.0,WT,FMT-SR6,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT7-S114,0.0,1750.0,13389.0,3203.0,172.0,255.0,17236.0,37.0,736.0,88.0,466.0,WT,FMT-SR7,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT8-S115,15.0,621.0,9959.0,2941.0,96.0,248.0,15155.0,23.0,264.0,158.0,1253.0,WT,FMT-SR8,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
Smokedonor1-S92,31.0,1208.0,18363.0,818.0,0.0,206.0,22248.0,81.0,453.0,225.0,0.0,WT,FMT-SD1,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor2-S93,9.0,255.0,11274.0,13.0,0.0,11.0,17557.0,5.0,226.0,3.0,0.0,WT,FMT-SD2,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor3-S94,22.0,1207.0,15795.0,118.0,0.0,152.0,21439.0,71.0,400.0,18.0,0.0,WT,FMT-SD3,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor4-S95,85.0,400.0,11502.0,49.0,0.0,134.0,18771.0,40.0,83.0,5.0,0.0,WT,FMT-SD4,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor5-S96,19.0,1176.0,20806.0,127.0,20.0,6.0,28584.0,0.0,538.0,87.0,476.0,WT,FMT-SD5,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor6-S97,14.0,1924.0,27798.0,7.0,0.0,0.0,31380.0,0.0,788.0,0.0,0.0,WT,FMT-SD6,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor7-S98,44.0,1088.0,22973.0,432.0,39.0,103.0,33172.0,13.0,175.0,77.0,273.0,WT,FMT-SD7,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor8-S99,5.0,1785.0,23529.0,552.0,42.0,77.0,29518.0,0.0,447.0,34.0,384.0,WT,FMT-SD8,NA,Yes,Donor,NA,Smoke-FMT
