"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.000161484245532907	0.650150426789403	"Control"	0.00129187396426326
"d__Bacteria.p__Bacteroidota"	0.775091504850334	0.0060246985946974	"Control"	0.775091504850334
"d__Bacteria.p__Campilobacterota"	0.414043222966579	0.0481787761807479	"CSE"	0.53205924751277
"d__Bacteria.p__Desulfobacterota"	0.0619513831514553	0.227188565363657	"Control"	0.129375217971483
"d__Bacteria.p__Firmicutes"	0.465551841573674	0.0386471307253631	"CSE"	0.53205924751277
"d__Bacteria.p__Proteobacteria"	0.0646876089857414	0.223097868179506	"CSE"	0.129375217971483
"d__Bacteria.p__Verrucomicrobiota"	0.00582612787472722	0.429850514944809	"CSE"	0.0233045114989089
"Other"	0.123171549095851	0.161233824472874	"CSE"	0.197074478553361
