Domain	Phylum	Class	Order	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.23706267074552	0.0127688630932059	1.27688630932059	374
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.51391210098658	0.0285087719298246	2.85087719298246	728
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.30851801705653	0.0189160467587673	1.89160467587673	445
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.63082568181454	0.0322418136020151	3.22418136020151	960
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.21691137395048	0.0107377691982868	1.07377691982868	356
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.38178192871084	0.0219385225582548	2.19385225582548	531
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.19577936588807	0.0165232694563942	1.65232694563942	338
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.65738845442948	0.0392262224610425	3.92262224610425	1022
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0.271740619561994	0.000815793767335618	0.0815793767335618	20
