Domain	Phylum	Class	Order	Family	Genus	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.873479132381825	0.0107377691982868	1.07377691982868	356
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.02753492652385	0.0219385225582548	2.19385225582548	531
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.854029860881183	0.0165232694563942	1.65232694563942	338
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.29185301380374	0.0392262224610425	3.92262224610425	1022
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0.134698573897456	0.000815793767335618	0.0815793767335618	20
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0.0449671455165232	0.000185839063371121	0.0185839063371121	6
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0.259637310505756	0.00142171110830279	0.142171110830279	45
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0.146128035678238	0.000716705759708105	0.0716705759708105	22
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales_/_Microbacteriaceae_/_Curtobacterium	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.0304893221479004	0.000163158753467124	0.0163158753467124	4
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.666177490939711	0.00646495991724851	0.646495991724851	200
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.146128035678238	0.00149996590986568	0.149996590986568	22
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.360007855623319	0.00486501301904892	0.486501301904892	71
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.705241513779354	0.00732457000850173	0.732457000850173	224
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.993636597044143	0.0142028055644667	1.42028055644667	487
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.726504930859866	0.00892522313057826	0.892522313057826	238
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.788554010783411	0.0102603146979914	1.02603146979914	283
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0.671257016468986	0.00670963477111221	0.670963477111221	203
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae_/_Olsenella	0	0	0	0
