Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	2.13273983826088	0.0413756045137023	4.13756045137023	1078
Bacteria	Bacteroidota	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota	1.55630250076729	0.0114211127426986	1.14211127426986	280
Bacteria	Bacteroidota	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota	1	0.00219091379362809	0.219091379362809	72
Bacteria	Bacteroidota	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota	0.176091259055681	0.00019933223700603	0.019933223700603	4
Bacteria	Bacteroidota	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota	0	0	0	0
Bacteria	Bacteroidota	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota	0.439332693830263	0.000433624481199281	0.0433624481199281	14
Bacteria	Bacteroidota	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	3.21258707812389	0.421644685802948	42.1644685802948	13044
Bacteria	Bacteroidota	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	2.83600745912553	0.373355151019295	37.3355151019295	5476
Bacteria	Bacteroidota	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	2.78586347564547	0.334246950801699	33.4246950801699	4878
Bacteria	Bacteroidota	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	3.14856409712134	0.36802694395396	36.802694395396	11255
Bacteria	Bacteroidota	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	3.21768130594505	0.384904779958587	38.4904779958587	13198
Bacteria	Bacteroidota	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	3.13711664058277	0.411085277131928	41.1085277131928	10962
