Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.52327337909386	0.0107377691982868	1.07377691982868	356
Bacteria	Actinobacteriota	Actinobacteria	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.69260660138016	0.0219385225582548	2.19385225582548	531
Bacteria	Actinobacteriota	Actinobacteria	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.50143274180095	0.0165232694563942	1.65232694563942	338
Bacteria	Actinobacteriota	Actinobacteria	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.9727076363614	0.0392262224610425	3.92262224610425	1022
Bacteria	Actinobacteriota	Coriobacteriia	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.134698573897456	0.000163158753467124	0.0163158753467124	4
Bacteria	Actinobacteriota	Coriobacteriia	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.42399016629019	0.00908326868373416	0.908326868373416	281
Bacteria	Actinobacteriota	Coriobacteriia	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.538390911458585	0.00184086725301698	0.184086725301698	27
Bacteria	Actinobacteriota	Coriobacteriia	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.06919702514102	0.00808551459503906	0.808551459503906	118
Bacteria	Actinobacteriota	Coriobacteriia	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.44574569031896	0.009678896082663	0.9678896082663	296
Bacteria	Actinobacteriota	Coriobacteriia	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.74464852508433	0.0174983230773718	1.74983230773718	600
Bacteria	Actinobacteriota	Coriobacteriia	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.51127553095397	0.0129753243831096	1.29753243831096	346
