SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Clostridium._innocuum_group	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._fissicatena_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00564311473220248	0	0	0	0.232169093094697	0.0915920929611326	0.0198343795912916	0	0.000500868171497262	0.00347268598904768	0	0.404701482569788	0	0	0.125517563777214	0	0.00213703753172165	0.00043408574863096	0.00287164418325097	0	0	0	0	0	0	0.00323894750901563	0	0	0.00507546413783892	0.00397355416054494	0.0151596099906505	0	0	0.00270468812608521	0	0.0100173634299452	0	0.000767997862962468	0	0.000567650594363564	0.00183651662882329	0.000601041805796714	0	0	0	0.00270468812608521	0	0	0.00227060237745425	0.0356284225991719	0.026579404300788
Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00512143611404435	0	0	0	0.252639915522703	0.0726504751847941	0.0214361140443506	0	0.000527983104540655	0.00237592397043295	0	0.400369588173178	0	0.000844772967265047	0.158606124604013	0	0.000263991552270327	0	0	0	0	0	0.000316789862724393	0.00411826821541711	0	0.00491024287222809	0	0	0.00781414994720169	0.000844772967265047	0	0	0	0.00411826821541711	0	0.00163674762407603	0	0.00269271383315734	0	0	0.00195353748680042	0.000897571277719113	0	0	0	0.00496304118268215	0	0	0.0030623020063358	0.0278775079197466	0.0199577613516367
Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00564775823631409	0	0	0	0.175130047064652	0.0759970274956651	0.0139212286351251	0	0	0.00336883824622244	0	0.501857815209314	0	0	0.159970274956651	0	0.000544959128065395	0	0	0	0	0	0.00108991825613079	0	0	0.00554867475848402	0	0	0.000941293039385682	0.000198166955660144	0.00782759474857568	0	0	0.00163487738419619	0	0.00544959128065395	0	0.000594500866980431	0	0	0.00138716868962101	0	0	0	0	0.00267525390141194	0	0	0.00158533564528115	0.0287837503096359	0.00584592519197424
Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0057229759474927	0	0	0	0.20658742546124	0.0880858046184016	0.0184896145995918	0	0	0.00520270540681154	0	0.546804338255893	0.000400208108216272	0.000600312162324409	0.0630327770440629	0	0	0	0.000640332973146036	0	0	0	0.00128066594629207	0.00344178973065994	0	0.00336174810901669	0	0	0.00576299675831432	0	0	0	0	0.00652339216392524	0	0.00232120702765438	0	0.000560291351502781	0	0	0.00204106135190299	0	0	0	0	0.00504262216352503	0	0	0.0013206867571137	0.0204106135190299	0.0123664305438828
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00472977672671628	0	0	0	0.204841065590874	0.0685469847673367	0.0171802184043959	0	0	0.00413855463587675	0	0.467030673993184	0	0.0011128886415803	0.156778187382625	0	0.000278222160395075	0.000208666620296307	0	0	0	0	0	0.00699033177992627	0	0.00452111010641998	0	0	0.00490366557696321	0.00351255477498783	0	0	0	0.00584266536829658	0	0.000695555400987689	0	0.00121722195172846	0	0	0.000660777630938304	0	0	0	0	0.00344299923488906	0	0	0.00295611045419768	0.0278222160395075	0.0125895527578772
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00466686902413113	0	0	0	0.235202610411292	0.0585824859614509	0.0291394748823797	0	0	0.00269388374563667	0	0.504325390802853	0	0	0.103733495219305	0	0.000227652147518592	0	0	0	0	0	0.000872666565487934	0.00523599939292761	0	0.00197298527849446	0	0	0.00428744877826681	0.000645014417969343	0	0	0	0.00311124601608742	0	0.000493246319623615	0	0.00394597055698892	0	0	0.000455304295037183	0	0	0	0	0.0103202306875095	0	0	0	0.014493853392017	0.0155941721050235
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00983955648566288	0	0	0	0.189888754268091	0.0945037999779711	0.00715937878620993	0	0	0.00106472812717994	0	0.500055072144509	0	0	0.122003157469619	0	0.000146859052024819	0	0.00440577156074458	0	0	0	0.000550721445093072	0	0	0.00429562727172596	0	0	0.00249660388442193	0.000477291919080662	0.00488306347982524	0	0	0.00638836876307963	0	0.00510335205786247	0	0	0	0	0.000660865734111686	0.000807724786136506	0	0	0	0.00330432867055843	0	0	0.000771010023130301	0.0303998237691376	0.0107941403238242
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0063644964307216	0	0	0	0.143717209942375	0.0720736217424959	0.0144061236776469	0	0	0.00606347295089017	0	0.495140620968436	0	0.000645050313924486	0.147243484991829	0	0.000258020125569794	0	0	0	0	0	0	0.0045153521974714	0	0.00541842263696568	0	0	0.00838565408101832	0.00197815429603509	0	0	0	0.00391330523780855	0	0.00103208050227918	0	0.00301023479831427	0	0	0.00391330523780855	0.000516040251139589	0	0	0	0.00963275135460566	0	0	0.00150511739915713	0.032166508987701	0.0381009718758063
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0	0.386622191011236	0.0634129213483146	0	0	0.000175561797752809	0	0	0.393539325842697	0	0	0.0954002808988764	0	0	0.000351123595505618	0	0	0	0	0.00519662921348315	0	0	0.00224719101123596	0	0.00470505617977528	0.00105337078651685	0.00417837078651685	0	0	0.000702247191011236	0	0	0.0102176966292135	0	0.00488061797752809	0	0	0	0.00112359550561798	0	0	0	0.00098314606741573	0	0	0.000210674157303371	0.00301966292134831	0.0219803370786517
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0	0.685388845247447	0.0344167321288295	0	0	0	0.0515514532600157	0.000540062843676355	0	0	0	0.000687352710133543	0	0.000834642576590731	0.00284760408483896	0	0	0	0	0.00490966221523959	0.00211115475255302	0.00152199528672427	0.00540062843676355	0	0.00456598586017282	0.00250392772977219	0.00220934799685782	0	0	0	0	0.00559701492537313	0.0181166535742341	0	0.0595051060487038	0	0.00108012568735271	0.0106048703849175	0.00918106834249804	0	0	0	0.00422230950510605	0	0	0.000589159465828751	0.0148271798900236	0.0767871170463472
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0	0.452121725079829	0.0263917208479206	0	0	0	0.00457815565729235	0	0.40072327165006	0	0	0.0511676220520909	0	0	0.000846381718154888	0	0	0	0.00111568499211326	0	0	0.0011926287846728	0.00627091909360212	0	0.00842534528526911	0.00176970722886931	0.00723271650059631	0	0	0	0	0	0.00153887585119071	0	0	0	0	0	0.00577078444196514	0	0	0	0.00165429154003001	0	0	0	0.00857923287038818	0.0206209364059554
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0	0.360583320027676	0.0953749534301985	0	0	0	0.00106445260524775	0.000851562084198201	0.315131193783597	0	0	0.0334238118047794	0	0	0.00106445260524775	0	0	0	0.00106445260524775	0.00638671563148651	0	0.000904784714460589	0.0199584863483953	0	0.00117089786577253	0.00111767523551014	0.00681249667358561	0	0	0	0	0	0.00761083612752142	0	0.0458779072861781	0	0	0	0.00159667890787163	0	0	0	0.00154345627760924	0	0	0.000532226302623876	0.010431635531428	0.0874980041513652
