SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00564311473220248	0	0	0.232169093094697	0.0915920929611326	0.0198343795912916	0	0.00397355416054494	0.404701482569788	0.125517563777214	0	0.00213703753172165	0.00043408574863096	0.00287164418325097	0.0514892480299185	0.00270468812608521	0	0.0123213570188326	0.00300520902898357	0	0.00270468812608521	0	0	0	0.00227060237745425	0.0356284225991719	0.00100173634299452
Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00512143611404435	0	0	0.252639915522703	0.0726504751847941	0.0214361140443506	0	0.0029039070749736	0.401214361140444	0.158606124604013	0	0.000263991552270327	0	0	0.0259239704329461	0.00411826821541711	0	0.00432946145723337	0.00385427666314678	0	0.00496304118268215	0	0	0	0.0030623020063358	0.0278775079197466	0.0110348468848997
Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00564775823631409	0	0	0.175130047064652	0.0759970274956651	0.0139212286351251	0	0.00336883824622244	0.501857815209314	0.159970274956651	0	0.000544959128065395	0	0	0.019370819915779	0.00163487738419619	0	0.00693584344810503	0.00222937825117662	0	0.00267525390141194	0	0	0	0.00158533564528115	0.0287837503096359	0.000346792172405251
Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0057229759474927	0	0	0.20658742546124	0.0880858046184016	0.0184896145995918	0	0.00520270540681154	0.547804858526434	0.0630327770440629	0	0	0	0.000640332973146036	0.022011445951895	0.00652339216392524	0	0.00288149837915716	0.00548285108256293	0	0.00504262216352503	0	0	0	0.0013206867571137	0.0204106135190299	0.000760395405610918
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00472977672671628	0	0	0.204841065590874	0.0685469847673367	0.0171802184043959	0	0.00413855463587675	0.468143562634764	0.156778187382625	0	0.000278222160395075	0.000208666620296307	0	0.0227446616122974	0.00584266536829658	0	0.00191277735271614	0.000660777630938304	0	0.00344299923488906	0	0	0	0.00295611045419768	0.0278222160395075	0.00977255338387703
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00466686902413113	0	0	0.235202610411292	0.0585824859614509	0.0291394748823797	0	0.00269388374563667	0.504325390802853	0.103733495219305	0	0.000227652147518592	0	0	0.0273941417514039	0.00311124601608742	0	0.00443921687661254	0.00117620276217939	0	0.0103202306875095	0	0	0	0	0.014493853392017	0.000493246319623615
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00983955648566288	0	0	0.189888754268091	0.0945037999779711	0.00715937878620993	0	0.00106472812717994	0.500055072144509	0.122003157469619	0	0.000146859052024819	0	0.00440577156074458	0.0208172706245181	0.00638836876307963	0	0.0053236406358997	0.00337775819657084	0	0.00330432867055843	0	0	0	0.000771010023130301	0.0303998237691376	0.000550721445093072
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0063644964307216	0	0	0.143717209942375	0.0720736217424959	0.0144061236776469	0	0.00606347295089017	0.49578567128236	0.147243484991829	0	0.000258020125569794	0	0	0.0394770792121786	0.00391330523780855	0	0.00778360712135547	0.00520340586565752	0	0.00963275135460566	0	0	0	0.00150511739915713	0.032166508987701	0.0144061236776469
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0.386622191011236	0.0634129213483146	0	0	0.000175561797752809	0.393539325842697	0.0954002808988764	0	0	0.000351123595505618	0	0.0341643258426966	0	0	0.0168188202247191	0.00112359550561798	0	0.00098314606741573	0	0	0	0.000210674157303371	0.00301966292134831	0.00417837078651685
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0.685388845247447	0.0344167321288295	0	0	0.0515514532600157	0.00417321288295365	0.000687352710133543	0	0.000834642576590731	0.00284760408483896	0	0.0623527101335428	0	0.00559701492537313	0.0934308719560094	0.0208660644147683	0	0.00422230950510605	0	0	0	0.000589159465828751	0.0148271798900236	0.0182148468185389
