SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.07003786660776	2.78166563511668	2.97732341288597	2.62966439200055	1.4432629874587	1.14998845649148	1.53624270683832
SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.16879202031418	2.98900461569854	3.0297387799089	2.87440933259842	1.64345267648619	0.922984815708883	1.65561858354122
SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.58967040203489	2.89500794507054	3.1407436671412	2.73947345011244	0.929418925714293	1.56080300199396	2.17464119266045
SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.40654018043396	2.83274834732513	2.91566360350577	2.88109921838902	1.16136800223497	1.20071373396401	1.67440181284528
SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.29830713732851	2.73986889241785	3.12633437706607	2.46982201597816	0.852784868680548	1.0746336182969	1.91513590662201
SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.17245697440059	2.57170883180869	2.87916758667136	2.4481263583474	0	0	1.78265175161032
SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.47348697006457	2.65824995446696	3.01383747912105	2.48819806160335	0.477121254719662	1.16509587475422	2.12831847725968
SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.48251628660637	2.75692123429739	2.84772685565781	2.6213061351119	1.0836817472743	0.795880017344075	1.70221505914917
SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.48784512011144	2.92363253317705	3.02386950138833	2.82151352840477	1.74527002398899	1.46239799789896	1.40654018043396
SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.16509587475422	2.81065249141714	3.12932729184083	2.68853105122138	1.44715803134222	1.07918124604762	1.86257856776707
