SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.932248215733157	0	2.66760858610499	0	2.87820253173479	2.4004420445154	0	0.159700842867512	0.1249387366083	0	1.57209676795052	1.01424043911461	1.02576086214442	0	0	0.757564719601866	1.65748079856802	1.22039868322112
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.893946607552074	0	2.6756256093068	0	2.87121606559707	2.18437592446017	0	0.1249387366083	0	0	1.61395921462767	0.744727494896694	1.38620160540079	0	0	0	1.34678748622466	0.236089188730967
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	1.20109352802574	0	2.64558599959869	0	2.88040068931593	2.26860397053483	0	0.0871501757189002	0	0.88460658129793	1.51188336097887	1.02802872360024	1.28254658996997	0	0	0.335792101923193	1.67209785793572	0.263241434774581
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.964835582936749	0	2.47478264727219	0	2.81246769782293	2.28153836088824	0	0.1249387366083	0	0	1.7160033436348	0.782153992837318	1.48032639459487	0	0	0.469003364497483	1.6289562645293	1.29250220028452
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	2.85312336790416	0	2.79514592214183	2.18168482556614	0	0	0.191885526238913	0	1.74080114938197	0	1.49058269007042	0	0	0.1249387366083	0.761760834195474	0.881448062053101
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	2.91142396537629	0	1.80655680219139	0.2498774732166	0	0.28879553924697	0.625541087177485	0	1.85464335792049	0	2.15058589421433	0	0	0.221848749616356	1.2498774732166	1.3346770962224
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	2.84010609445676	0	2.76810343303626	1.874417387096	0	0	0.346787486224656	0	1.77044287879803	0	1.25258336659252	0	0	0	1.12674453747156	0.809185484123612
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	2.67846779439363	0	2.52106540451687	1.55496001289178	0	0	0.324511091513504	0	2.00575232888909	0	1.90729190141971	0	0	0.191885526238913	1.07514126824588	1.01656910143319
SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	2.93768502478135	0	1.61804809671209	2.06153624694972	0	0.2498774732166	0.770033360161464	0	2.34187398273039	0	2.22831479186559	0	0	0.236089188730967	1.88805462488874	1.56689557426471
SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	2.67659200838873	0	2.64026053438076	1.25794509496463	0	0	0	0	1.26060133860837	0	0.753327666658612	0	0	0.159700842867512	1.58105161060345	0.726998727936262
SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	2.98567591092973	0	1.50665533331722	1.78135639025886	0	0.159700842867512	0.2498774732166	0	1.85900479145828	0	2.01119439033694	0	0	0	1.54613120491405	1.43845444382034
SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.761760834195474	2.43037967901222	0.997580525876587	2.43801465190235	2.14266750356873	0.37819595047628	1.02802872360024	0.106455330914287	0.881448062053101	2.02757609773134	0	1.82930377283102	0.142667503568732	0	1.11021547978759	0.834632606336092	1.1995723549052
SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.851937464544562	2.63737852877399	1.54268713863389	2.39005149645899	2.29188661622411	0.515579506538838	0.858670847203531	0.20712549279565	0.887742295150789	2.2897870795907	0	2.09400502236465	0.28879553924697	0.263241434774581	1.30343606542986	0.631218220069176	1.31527043477859
SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.25123252730157	2.54351620884794	0.689210167046863	1.81328438996906	2.71241584535001	1.51114034200909	1.67209785793572	0.674146420610987	1.30223469680235	1.97261419951037	0.595985843615769	1.77573177626023	0	1.3267908578084	0.636822097587174	1.22329399049054	1.82607480270083
SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.07514126824588	2.48136299258352	1.23748788392353	1.7103994661168	2.44020917138689	1.40464369496654	1.41311341158669	0.625541087177485	0.959571342944392	2.20592578351919	0.722451100185542	2.11375771670585	0.28879553924697	0.929418925714293	0.845098040014257	0.881448062053101	1.3335592204909
SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.972614199510367	2.38867340764476	0.57080229759752	2.48128334205933	2.461898521729	0.2498774732166	0.956915099300652	0.159700842867512	0.964835582936749	1.8718322932615	0	1.61101483398089	0.142667503568732	0.106455330914287	0.57080229759752	0.765916793966632	1.56950395737224
SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.855317205195943	2.22097929090373	0.515579506538838	1.75629793849397	2.43385869213119	0.91204482964487	1.22473443785384	0.346787486224656	1.05435766232259	1.6553518997859	0.834632606336092	1.48980228647875	0	1.25527250510331	0	0	1.43933269383026
SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.13917917572291	2.30725826375896	0.893946607552074	1.67158420384639	2.58970143304358	1.27492719309978	1.30343606542986	0.357511351616429	0.906095497131669	1.68970340330874	0.765916793966632	1.59903353669777	0	1.26455548867241	0.276206411938949	0.848531215852651	1.78015723308124
SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.14784801607251	2.40568778667278	0.602059991327962	1.9347789126559	2.32118402730231	1.23044892137827	1.13211732123542	0.176091259055681	0	2.01001712075752	0	1.85464335792049	0.159700842867512	0	0.774111272581904	0.522878745280338	1.36067754655309
SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	1.15296746020854	2.57209676795052	1.09497551323086	2.57940246935944	1.90308998699194	0	0.276206411938949	0.388180171382881	0	2.20577558656735	0	2.1194758409068	0.263241434774581	0.2498774732166	1.40273889155381	1.12854286087713	1.07514126824588
SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.848531215852651	2.45930870373623	1.05007886434332	2.55917487341918	2.35400166730128	0.416825352832411	0.812913356642855	0.367976785294594	0.982773598025489	2.07024315825984	0	1.92970268559495	0.159700842867512	0	1.11394335230684	0.770033360161464	1.51778218826096
