SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0057229759474927	0	0.313162844679233	0	0.553007563933245	0.0630327770440629	0	0	0	0.000640332973146036	0.022011445951895	0.00652339216392524	0.0134069716252451	0	0	0.0013206867571137	0.0204106135190299	0.000760395405610918
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00472977672671628	0	0.290568268762607	0	0.472282117270641	0.156778187382625	0	0.000278222160395075	0.000208666620296307	0	0.0227446616122974	0.00584266536829658	0.00601655421854351	0	0	0.00295611045419768	0.0278222160395075	0.00977255338387703
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00466686902413113	0	0.322924571255122	0	0.50701927454849	0.103733495219305	0	0.000227652147518592	0	0	0.0273941417514039	0.00311124601608742	0.0159356503263014	0	0	0	0.014493853392017	0.000493246319623615
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00983955648566288	0	0.291551933032272	0	0.501119800271689	0.122003157469619	0	0.000146859052024819	0	0.00440577156074458	0.0208172706245181	0.00638836876307963	0.012005727503029	0	0	0.000771010023130301	0.0303998237691376	0.000550721445093072
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0063644964307216	0	0.230196955362518	0	0.50184914423325	0.147243484991829	0	0.000258020125569794	0	0	0.0394770792121786	0.00391330523780855	0.0226197643416186	0	0	0.00150511739915713	0.032166508987701	0.0144061236776469
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0.450035112359551	0	0.393714887640449	0.0954002808988764	0	0	0.000351123595505618	0	0.0341643258426966	0	0.0189255617977528	0	0	0.000210674157303371	0.00301966292134831	0.00417837078651685
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0.719805577376276	0	0.0557246661429694	0.000687352710133543	0	0.000834642576590731	0.00284760408483896	0	0.0623527101335428	0	0.124116260801257	0	0	0.000589159465828751	0.0148271798900236	0.0182148468185389
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0.47851344592775	0	0.405301427307352	0.0511676220520909	0	0	0.000846381718154888	0	0.0401261878197976	0	0.0116954564690494	0	0	0	0.00857923287038818	0.00377024583541723
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0.455958273457874	0	0.317047208473043	0.0334238118047794	0	0	0.00106445260524775	0	0.096120070253872	0	0.0764276970567885	0	0	0.000532226302623876	0.010431635531428	0.0089946245143435
SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0.567245711788485	0	0.0265486725663717	0.0748752685822499	0	0.000509851050657344	0.0032047780327033	0	0.143377399031283	0	0.110237080738556	0	0	0.000473433118467533	0.0500018208966095	0.0235259841946174
SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0.478407178911946	0	0.439932697700505	0.0172742568704431	0	0	0	0	0.0173864273696018	0	0.00471116096466629	0	0	0.000448681996634885	0.0374649467190129	0.00437464946719013
SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0.748204532748463	0	0.0240829140325979	0.0460155678837139	0	0.000344041629037113	0.000602072850814949	0	0.0551756762568271	0	0.0786565174386101	0	0	0	0.0264482002322281	0.0204704769277083
SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.00521528198908429	0.292965433596119	0.00976349302607641	0.298180715585203	0.150515463917526	0.00151607034566404	0.0105518496058217	0.000303214069132808	0.00721649484536083	0.115221346270467	0	0.0725894481503942	0.000424499696785931	0	0.0129775621588842	0.00636749545178896	0.0161916312916919
SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.00474117494935563	0.335847592776173	0.0262919701736994	0.189690099564674	0.151157277703547	0.00176716520839619	0.00482737813025301	0.000474117494935563	0.00521529244429119	0.15042455066592	0	0.0955562260247403	0.000732727037627688	0.000646523856730313	0.0148269471143485	0.00254299383647257	0.0152579630188354
SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.0128689743045233	0.266468464642175	0.00297303036738161	0.0489700573370142	0.393501805054152	0.0240390741133999	0.0351667020598853	0.00284561478020811	0.0145678488001699	0.0710129539180293	0.00225100870673179	0.0448502866850711	0	0.0154597579103844	0.00254831174346995	0.0120195370566999	0.050456572520705
SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.0103791569582716	0.287809786062275	0.0155157805549672	0.0479771234907859	0.261703029019276	0.0232471933912307	0.0237237873331921	0.00307138318152934	0.0077314128362635	0.152192332133023	0.0040775259478924	0.122908282143614	0.000900233001482737	0.00714890912942173	0.00571912730353739	0.00630163101037916	0.0195933065028596
SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.00822037127769612	0.238826283412271	0.00266753769938483	0.295824486907289	0.282867875224563	0.000762153628395667	0.00789373400838369	0.000435516359083238	0.0080570526430399	0.0719690783385051	0	0.0390331536828352	0.000381076814197833	0.000272197724427024	0.00266753769938483	0.00473624040503021	0.0353857041755131
SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.00936708860759494	0.251139240506329	0.00345991561181435	0.0851476793248945	0.410970464135021	0.0108860759493671	0.0239662447257384	0.00185654008438819	0.0156962025316456	0.0671729957805907	0.00886075949367089	0.0454008438818565	0	0.0258227848101266	0	0	0.040253164556962
SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.014592982678764	0.230569126324472	0.0078040733455999	0.0524712898927733	0.4428653004251	0.0203667279994924	0.0218260262673688	0.0014592982678764	0.00805786434870884	0.0547554089207538	0.00551995431761944	0.0442230822917328	0	0.0198591459932745	0.00101516401243576	0.00691580483471861	0.0676987500793097
SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.016448519633233	0.319381255686988	0.00377965983061524	0.107160355567999	0.262686358227759	0.0201581857632813	0.0158185763281305	0.000629943305102541	0	0.127668509834115	0	0.0888919997200252	0.000559949604535592	0	0.00622943935045846	0.00293973542381186	0.0276475117239448
SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.0110507498723128	0.311185401866555	0.00956493476343038	0.316478618191949	0.0660259089009611	0	0.000742907554441194	0.00120722477596694	0	0.133398337744347	0	0.109207410502856	0.00069647583228862	0.000650044110136045	0.0202906625806751	0.0104007057621767	0.00910061754190463
SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0.00523610510640342	0.24811452178508	0.00883892972090119	0.312484988230773	0.194504491521353	0.00139309218427247	0.00475572849113705	0.00115290387663929	0.00744583753662872	0.100783013882884	0	0.0726809818898016	0.000384301292213095	0	0.0103761348897536	0.00422731421434405	0.0276216553778162
