Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.28630673884327	0.00474117494935563	0.474117494935563	110
Bacteria	Actinobacteriota	SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.71180722904119	0.0128689743045233	1.28689743045233	303
Bacteria	Actinobacteriota	SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.52720011906298	0.0103791569582716	1.03791569582716	196
Bacteria	Actinobacteriota	SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.41774840202559	0.00822037127769612	0.822037127769612	151
Bacteria	Actinobacteriota	SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.29003461136252	0.00936708860759494	0.936708860759494	111
Bacteria	Actinobacteriota	SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.59476075258646	0.014592982678764	1.4592982678764	230
Bacteria	Actinobacteriota	SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.60386579219122	0.016448519633233	1.6448519633233	235
Bacteria	Actinobacteriota	SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.60923857595509	0.0110507498723128	1.10507498723128	238
Bacteria	Actinobacteriota	SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.28254658996997	0.00523610510640342	0.523610510640342	109
Bacteria	Bacteroidota	CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.92246594529841	0.211483293958826	21.1483293958826	5013
Bacteria	Bacteroidota	CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.70600617398174	0.155987287266762	15.5987287266762	3043
Bacteria	Bacteroidota	CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.82962535335805	0.204497220818595	20.4497220818595	4047
Bacteria	Bacteroidota	CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.98332552916106	0.217062431791668	21.7062431791668	5768
Bacteria	Bacteroidota	CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.94076543563122	0.21298521445155	21.298521445155	5229
Bacteria	Bacteroidota	CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.76863810124761	0.167237442922374	16.7237442922374	3516
