Domain	Phylum	Class	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.29320465815202	0.0196845861632324	1.96845861632324	2736
Bacteria	Actinobacteriota	Actinobacteria	C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.54380206833998	0.0316637918736302	3.16637918736302	4883
Bacteria	Actinobacteriota	Actinobacteria	C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.61939150741971	0.0420575959027481	4.20575959027481	5814
Bacteria	Actinobacteriota	Actinobacteria	C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.39232001603198	0.0226919018728568	2.26919018728568	3441
Bacteria	Actinobacteriota	Actinobacteria	C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.44169513564072	0.0189625419737366	1.89625419737366	3857
Bacteria	Actinobacteriota	Actinobacteria	C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.54996612431699	0.0249457318270872	2.49457318270872	4953
Bacteria	Actinobacteriota	Actinobacteria	D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.507084478097106	0.000179457344147086	0.0179457344147086	31
Bacteria	Actinobacteriota	Actinobacteria	D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.176091259055681	4.54091363182272e-05	0.00454091363182272	7
Bacteria	Actinobacteriota	Actinobacteria	D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.19826423800687	0.0114933505000864	1.14933505000864	2196
Bacteria	Actinobacteriota	Actinobacteria	D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.914569804675374	0.000929316722180306	0.0929316722180306	101
Bacteria	Actinobacteriota	Actinobacteria	D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.62428209583567	0.0459245837108313	4.59245837108313	5880
Bacteria	Actinobacteriota	Actinobacteria	E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.81808443729158	0.0779461878846447	7.79461878846447	9195
Bacteria	Actinobacteriota	Actinobacteria	E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.79751484707389	0.0778525515820874	7.78525515820874	8769
Bacteria	Actinobacteriota	Actinobacteria	E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.90552604843505	0.0838176561754888	8.38176561754888	11249
Bacteria	Actinobacteriota	Actinobacteria	E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.8843907291653	0.0869374705853714	8.69374705853714	10714
Bacteria	Actinobacteriota	Actinobacteria	E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.7464117689804	0.07357758498617	7.357758498617	7794
Bacteria	Actinobacteriota	Actinobacteria	E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.64338216841202	0.0612009122869919	6.12009122869919	6145
Bacteria	Actinobacteriota	Actinobacteria	E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.68714660361233	0.0697717382379506	6.97717382379506	6798
Bacteria	Actinobacteriota	Actinobacteria	E8-S47	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.7514990556122	0.0624603979216829	6.24603979216829	7886
Bacteria	Actinobacteriota	Actinobacteria	E9-S48	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.8703202825808	0.0831009838797551	8.31009838797551	10372
Bacteria	Actinobacteriota	Coriobacteriia	A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.96040281814414	0.0111728880678152	1.11728880678152	1264
Bacteria	Actinobacteriota	Coriobacteriia	A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.7300898049134	0.00730801604198643	0.730801604198643	738
Bacteria	Actinobacteriota	Coriobacteriia	A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.06738972131807	0.0139004416241478	1.39004416241478	1621
Bacteria	Actinobacteriota	Coriobacteriia	A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.03169693618644	0.0137322939005421	1.37322939005421	1492
Bacteria	Actinobacteriota	Coriobacteriia	A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.83659535199031	0.0102802926680996	1.02802926680996	947
Bacteria	Actinobacteriota	Coriobacteriia	A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.01011815471911	0.0169767302745708	1.69767302745708	1419
Bacteria	Actinobacteriota	Coriobacteriia	A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.73124331019154	0.0085027174225276	0.85027174225276	740
Bacteria	Actinobacteriota	Coriobacteriia	B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.91982494463563	0.0134614709290756	1.34614709290756	1150
Bacteria	Actinobacteriota	Coriobacteriia	B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.76609402085418	0.00824748621139447	0.824748621139447	803
Bacteria	Actinobacteriota	Coriobacteriia	B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.1826591646763	0.018035048280795	1.8035048280795	2118
Bacteria	Actinobacteriota	Coriobacteriia	B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.11798112062757	0.0164358613725702	1.64358613725702	1823
