Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.84285876244529	0.0458586125032973	4.58586125032973	6954
Bacteria	Actinobacteriota	C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.94860854987644	0.0436281040899504	4.36281040899504	8874
Bacteria	Actinobacteriota	C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.07044424997295	0.0591837865334347	5.91837865334347	11751
Bacteria	Actinobacteriota	D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.28600712207947	0.0115208478193109	1.15208478193109	1922
Bacteria	Actinobacteriota	D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.47668674294564	0.0172915834505595	1.72915834505595	2987
Bacteria	Actinobacteriota	D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.1044871113124	0.00816960673248098	0.816960673248098	1262
Bacteria	Actinobacteriota	D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.31048089146268	0.0124339788732394	1.24339788732394	2034
Bacteria	Actinobacteriota	D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.24104815067164	0.0112355177290242	1.12355177290242	1732
Bacteria	Actinobacteriota	D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.04099769242349	0.00953556793107072	0.953556793107072	1089
Bacteria	Actinobacteriota	D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.03941411917614	0.0062923355293681	0.62923355293681	1085
