Domain	Phylum	Class	Order	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.35977226165677	0.0380371305576258	3.80371305576258	6839
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.98121437127229	0.0248125747300989	2.48125747300989	2843
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.82585868202859	0.0266812274173543	2.66812274173543	1979
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.96473092105363	0.0196845861632324	1.96845861632324	2736
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.21422550941516	0.0316637918736302	3.16637918736302	4883
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.2895889525426	0.0420575959027481	4.20575959027481	5814
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.06333335895175	0.0226919018728568	2.26919018728568	3441
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.1124932859116	0.0189625419737366	1.89625419737366	3857
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.22036963245139	0.0249457318270872	2.49457318270872	4953
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
