index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
C9-S28,0.0,4953.0,6798.0,60680.0,0.0,0.0,5108.0,29877.0,52382.0,0.0,4083.0,3009.0,0.0,31661.0,5646.0,WT,NNKRec9,Yes,Recipient,Pre,NNK-FMT
D1-S30,0.0,0.0,1922.0,63028.0,0.0,0.0,0.0,7078.0,73771.0,0.0,0.0,347.0,0.0,20682.0,0.0,WT,Donor1,Yes,Donor,NA,NNK-FMT
D10-S39,0.0,31.0,2956.0,29220.0,8668.0,2202.0,636.0,49206.0,77830.0,870.0,0.0,47.0,111.0,966.0,12645.0,WT,Donor10,Yes,Donor,NA,NNK-FMT
D2-S31,0.0,0.0,1262.0,68722.0,0.0,0.0,0.0,39521.0,44005.0,0.0,0.0,893.0,0.0,72.0,0.0,WT,Donor2,Yes,Donor,NA,NNK-FMT
D3-S32,0.0,0.0,2034.0,71152.0,0.0,0.0,0.0,45648.0,43431.0,0.0,0.0,1184.0,0.0,135.0,0.0,WT,Donor3,Yes,Donor,NA,NNK-FMT
D4-S33,0.0,7.0,1725.0,38763.0,0.0,0.0,0.0,59482.0,38196.0,0.0,0.0,392.0,0.0,15589.0,0.0,WT,Donor4,Yes,Donor,NA,NNK-FMT
D5-S34,0.0,0.0,1089.0,39197.0,0.0,0.0,0.0,34452.0,38899.0,0.0,0.0,558.0,0.0,9.0,0.0,WT,Donor5,Yes,Donor,NA,NNK-FMT
D6-S35,0.0,0.0,1085.0,51248.0,0.0,0.0,0.0,43855.0,45384.0,0.0,2.0,726.0,0.0,30132.0,0.0,WT,Donor6,Yes,Donor,NA,NNK-FMT
D7-S36,34.0,2196.0,6717.0,66841.0,4398.0,216.0,1484.0,44007.0,62316.0,933.0,769.0,1018.0,97.0,41.0,358.0,WT,Donor7,Yes,Donor,NA,NNK-FMT
D8-S37,0.0,101.0,839.0,37327.0,12021.0,3697.0,404.0,21648.0,31935.0,256.0,0.0,60.0,106.0,288.0,2475.0,WT,Donor8,Yes,Donor,NA,NNK-FMT
