index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Eukaryota;p__Parabasalia,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
D8-S37,0.0,940.0,37327.0,12021.0,3697.0,404.0,53583.0,256.0,60.0,394.0,2475.0,WT,Donor8,Yes,Donor,NA,NNK-FMT
D9-S38,20.0,7975.0,38738.0,2040.0,88.0,622.0,77242.0,872.0,372.0,67.0,92.0,WT,Donor9,Yes,Donor,NA,NNK-FMT
E1-S40,132.0,12100.0,34545.0,2253.0,437.0,251.0,66615.0,57.0,1431.0,145.0,1076.0,WT,CtrlRec1,No,Recipient,Pre,NNK-FMT
E10-S49,212.0,12151.0,28197.0,1467.0,117.0,602.0,68108.0,399.0,1252.0,131.0,838.0,WT,CtrlRec10,No,Recipient,Pre,NNK-FMT
E2-S41,277.0,15021.0,39500.0,2595.0,114.0,500.0,72963.0,238.0,2878.0,122.0,331.0,WT,CtrlRec2,No,Recipient,Pre,NNK-FMT
E3-S42,0.0,13007.0,30289.0,2556.0,145.0,654.0,75568.0,336.0,458.0,225.0,1887.0,WT,CtrlRec3,No,Recipient,Pre,NNK-FMT
E5-S44,0.0,10505.0,29213.0,88.0,0.0,211.0,64196.0,29.0,1642.0,45.0,21.0,WT,CtrlRec5,No,Recipient,Pre,NNK-FMT
E6-S45,102.0,8392.0,22343.0,1498.0,354.0,755.0,65343.0,403.0,1052.0,165.0,1682.0,WT,CtrlRec6,No,Recipient,Pre,NNK-FMT
E7-S46,111.0,9350.0,29124.0,2329.0,487.0,219.0,53916.0,436.0,1351.0,109.0,280.0,WT,CtrlRec7,No,Recipient,Pre,NNK-FMT
E8-S47,152.0,10587.0,25107.0,6464.0,1425.0,2150.0,78749.0,338.0,749.0,535.0,5565.0,WT,CtrlRec8,No,Recipient,Pre,NNK-FMT
E9-S48,173.0,12557.0,28837.0,3421.0,504.0,148.0,76753.0,622.0,1525.0,272.0,1052.0,WT,CtrlRec9,No,Recipient,Pre,NNK-FMT
