index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
B4-S13,0.0,8444.0,1022.0,38722.0,1439.0,248.0,117.0,566.0,8230.0,24979.0,260.0,0.0,20.0,311.0,95.0,304.0,7.0,8267.0,18.0,1996.0,58.0,193.0,67.0,0.0,977.0,0.0,85.0,70.0,7.0,0.0,102.0,WT,NNKRec4,Yes,Recipient,Post,NNK-FMT
B5-S14,69.0,6181.0,1422.0,39804.0,1961.0,498.0,169.0,1303.0,13730.0,16849.0,28.0,0.0,54.0,66.0,103.0,545.0,17.0,12248.0,10.0,2631.0,65.0,205.0,115.0,8.0,964.0,0.0,17.0,104.0,21.0,8.0,361.0,WT,NNKRec5,Yes,Recipient,Post,NNK-FMT
B6-S15,12.0,2036.0,1174.0,28872.0,3705.0,228.0,113.0,0.0,4186.0,17962.0,12.0,193.0,0.0,1147.0,179.0,478.0,8.0,10535.0,5.0,3194.0,89.0,92.0,672.0,4.0,563.0,0.0,8.0,676.0,7.0,0.0,71.0,WT,NNKRec6,Yes,Recipient,Post,NNK-FMT
B7-S16,28.0,4797.0,1236.0,46722.0,3680.0,481.0,447.0,1346.0,5904.0,18251.0,246.0,0.0,108.0,3738.0,165.0,429.0,35.0,15450.0,0.0,4264.0,321.0,344.0,500.0,16.0,421.0,0.0,0.0,70.0,17.0,43.0,241.0,WT,NNKRec7,Yes,Recipient,Post,NNK-FMT
B8-S17,5.0,5788.0,1761.0,45721.0,2226.0,713.0,703.0,518.0,830.0,26769.0,4.0,0.0,44.0,374.0,148.0,0.0,18.0,13974.0,19.0,3809.0,138.0,300.0,260.0,40.0,1354.0,0.0,117.0,570.0,57.0,0.0,1060.0,WT,NNKRec8,Yes,Recipient,Post,NNK-FMT
B9-S18,21.0,1096.0,2572.0,51879.0,2102.0,156.0,96.0,0.0,6310.0,20886.0,117.0,0.0,51.0,5.0,14.0,292.0,22.0,9856.0,10.0,2324.0,54.0,68.0,41.0,0.0,2109.0,0.0,32.0,979.0,12.0,0.0,52.0,WT,NNKRec9,Yes,Recipient,Post,NNK-FMT
C1-S20,0.0,3071.0,2024.0,34052.0,0.0,0.0,277.0,220.0,2762.0,12305.0,0.0,0.0,594.0,0.0,22.0,0.0,0.0,32168.0,0.0,977.0,0.0,44.0,0.0,3312.0,1182.0,558.0,0.0,0.0,4.0,16646.0,19.0,WT,NNKRec1,Yes,Recipient,Pre,NNK-FMT
C10-S29,945.0,6839.0,6817.0,50923.0,0.0,0.0,2836.0,452.0,45556.0,18888.0,31.0,26.0,52.0,0.0,199.0,0.0,19.0,24534.0,0.0,3814.0,321.0,246.0,0.0,889.0,2831.0,0.0,4.0,147.0,566.0,12863.0,8707.0,WT,NNKRec10,Yes,Recipient,Pre,NNK-FMT
C2-S21,0.0,2843.0,1812.0,33916.0,0.0,0.0,168.0,158.0,1739.0,9820.0,0.0,0.0,502.0,0.0,403.0,0.0,0.0,29434.0,0.0,349.0,0.0,11.0,0.0,9249.0,1216.0,431.0,0.0,0.0,0.0,22528.0,13.0,WT,NNKRec2,Yes,Recipient,Pre,NNK-FMT
C3-S22,107.0,1979.0,3307.0,19596.0,0.0,0.0,600.0,145.0,17836.0,2904.0,8.0,0.0,78.0,2.0,77.0,0.0,0.0,12864.0,0.0,1535.0,0.0,16.0,0.0,1569.0,1615.0,0.0,0.0,82.0,57.0,9795.0,543.0,WT,NNKRec3,Yes,Recipient,Pre,NNK-FMT
