index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
PostcntrFMT5-S120,18.0,1008.0,213.0,26223.0,565.0,0.0,262.0,0.0,3156.0,3878.0,87.0,219.0,18.0,798.0,1276.0,1096.0,9177.0,17.0,2308.0,153.0,454.0,246.0,388.0,146.0,0.0,0.0,0.0,0.0,WT,FMT-CR5,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT6-S121,19.0,921.0,139.0,27712.0,1672.0,0.0,188.0,78.0,1175.0,3921.0,229.0,324.0,37.0,473.0,1769.0,873.0,10505.0,11.0,3039.0,384.0,303.0,491.0,349.0,103.0,0.0,0.0,0.0,6.0,WT,FMT-CR6,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT7-S122,174.0,1090.0,228.0,21524.0,824.0,0.0,999.0,0.0,2514.0,1229.0,45.0,454.0,0.0,762.0,732.0,508.0,12588.0,11.0,2642.0,286.0,359.0,408.0,7.0,410.0,0.0,0.0,12.0,0.0,WT,FMT-CR7,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT8-S123,3.0,705.0,261.0,27193.0,5650.0,0.0,127.0,5.0,1659.0,3458.0,114.0,201.0,38.0,627.0,1196.0,39.0,10598.0,0.0,2858.0,164.0,215.0,592.0,1352.0,205.0,0.0,0.0,40.0,0.0,WT,FMT-CR8,Pancreatic,No,Recipient,Post,Smoke-FMT
PostsmkFMT1-S124,0.0,1211.0,591.0,25637.0,6439.0,3913.0,978.0,0.0,738.0,2109.0,69.0,0.0,0.0,220.0,866.0,0.0,4981.0,0.0,1523.0,174.0,96.0,54.0,1173.0,884.0,34.0,385.0,0.0,8816.0,WT,FMT-SR1,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT10-S133,26.0,2158.0,438.0,28192.0,3628.0,113.0,644.0,0.0,389.0,2399.0,117.0,81.0,0.0,177.0,582.0,0.0,10280.0,4.0,2624.0,474.0,89.0,661.0,7.0,801.0,454.0,141.0,0.0,5884.0,WT,FMT-SR10,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT2-S125,20.0,1197.0,413.0,26531.0,1525.0,23.0,672.0,0.0,483.0,2016.0,127.0,34.0,0.0,189.0,333.0,0.0,7749.0,6.0,2467.0,441.0,88.0,433.0,0.0,1289.0,187.0,20.0,0.0,1383.0,WT,FMT-SR2,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT3-S126,5.0,3538.0,1286.0,20784.0,387.0,39.0,391.0,0.0,4125.0,5197.0,421.0,0.0,0.0,5.0,68.0,0.0,11104.0,0.0,917.0,117.0,31.0,61.0,4.0,2021.0,106.0,5.0,0.0,341.0,WT,FMT-SR3,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT4-S127,0.0,961.0,429.0,29125.0,1452.0,141.0,277.0,0.0,1586.0,3193.0,163.0,0.0,0.0,15.0,31.0,0.0,2322.0,0.0,589.0,46.0,22.0,23.0,23.0,1481.0,26.0,5.0,135.0,477.0,WT,FMT-SR4,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT5-S128,45.0,3010.0,624.0,28520.0,2233.0,489.0,978.0,0.0,911.0,5413.0,380.0,8.0,0.0,163.0,60.0,0.0,9243.0,0.0,2092.0,281.0,89.0,232.0,0.0,2419.0,303.0,127.0,0.0,5503.0,WT,FMT-SR5,Pancreatic,Yes,Recipient,Post,Smoke-FMT
