index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
PostsmkFMT8-S131,6.0,378.0,244.0,23071.0,4454.0,826.0,583.0,1766.0,12486.0,51.0,688.0,260.0,98.0,6.0,469.0,WT,FMT-SR8,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT9-S132,20.0,2217.0,191.0,23398.0,2756.0,619.0,415.0,7524.0,11791.0,154.0,0.0,750.0,667.0,15.0,1133.0,WT,FMT-SR9,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PrecntrlFMT1-S100,40.0,484.0,118.0,25586.0,8200.0,0.0,1377.0,3674.0,19892.0,515.0,166.0,121.0,0.0,1049.0,42.0,WT,FMT-CR1,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT2-S101,76.0,1290.0,146.0,23960.0,4772.0,10.0,753.0,4357.0,20436.0,364.0,33.0,209.0,30.0,113.0,583.0,WT,FMT-CR2,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT3-S102,0.0,519.0,123.0,21687.0,1493.0,0.0,324.0,5575.0,12542.0,241.0,69.0,72.0,0.0,8.0,7.0,WT,FMT-CR3,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT4-S103,19.0,896.0,148.0,20374.0,1683.0,0.0,164.0,4836.0,14327.0,502.0,64.0,111.0,0.0,9.0,40.0,WT,FMT-CR4,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT5-S104,56.0,857.0,215.0,29011.0,6583.0,0.0,2097.0,4771.0,16805.0,777.0,94.0,118.0,0.0,103.0,0.0,WT,FMT-CR5,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT6-S105,473.0,1290.0,211.0,26513.0,1715.0,0.0,938.0,5425.0,22240.0,1066.0,92.0,301.0,0.0,30.0,0.0,WT,FMT-CR6,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT7-S106,63.0,896.0,191.0,24266.0,853.0,0.0,304.0,4960.0,14425.0,484.0,1586.0,106.0,0.0,11.0,0.0,WT,FMT-CR7,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT8-S107,40.0,864.0,208.0,22544.0,836.0,0.0,1739.0,4257.0,16234.0,431.0,71.0,200.0,0.0,77.0,0.0,WT,FMT-CR8,Pancreatic,No,Recipient,Pre,Smoke-FMT
