SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.9566485792052	1.79075416459924	3.17591750651009	1.61665052677907	0.729704621312187	0.6232492903979	0	2.61250129686468	2.98466230619011	0.713210443450629	1.37168344633214	0.335792101923193	1.49922872428361	0.392110465011314	1.20951501454263	0.255272505103306	2.54435747753786	0.135662602000073	2.02105140591688	0.47226875192525	0.718778397689571	1.06445798922692	0.960629308100726	1.78485493667815	0	0.386201605400793	1.02118929906994	0.0413926851582251	0	0.505149978319906
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.45096720494531	1.54489448509806	3.1111728667433	1.68990054107059	0.966923541198414	0.690196080028514	1.29812500502057	2.43985879260072	2.92097507183033	0.985276743179294	0	0.221848749616356	1.05563312427284	0.619788758288394	1.0466252120919	0.0910804693473326	2.44179983537167	0.204119982655925	1.8295181863046	0.467361417430506	0.871183608328498	0.509650479546582	0	1.52590821583396	0	0.583576585633949	0.522878745280338	0.0910804693473326	0	0
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.31604027452589	1.68484536164441	3.1231326643109	1.82195000530775	1.24551266781415	0.821731821690044	1.6477088946942	2.66149717917983	2.75022545846176	0.286306738843275	0	0.447158031342219	0.505149978319906	0.646730386247423	1.28254658996997	0.194976603216055	2.61200637432462	0.1249387366083	1.94792361983173	0.500602350569185	0.893946607552074	0.684246747515312	0.102662341897148	1.52026512967765	0	0.194976603216055	0.649983543645145	0.230448921378274	0.102662341897148	0.518513939877888
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.83800906246394	1.60350523220214	2.98380664197842	2.09516935143176	0.934498451243568	0.678214782745399	0	2.14777934748483	2.77795818770791	0.146128035678238	0.871183608328498	0	1.59365520812377	0.843025031391392	1.22874245756426	0.102662341897148	2.54674824666867	0.0669467896306132	2.03127377841339	0.598425706672868	0.609238575955086	1.36921585741014	0.0543576623225927	1.2959334386446	0	0.102662341897148	1.37168344633214	0.0910804693473326	0	0.146128035678238
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.20655604409903	1.62531245096167	3.19267893953454	2.09225265489538	1.23129964541505	1.20139712432045	1.66149717917983	2.29622628726116	2.78487869393216	0.963787827345555	0	0.662757831681574	2.09898963940118	0.812913356642856	1.1846914308176	0.335792101923193	2.71264970162721	0	2.15574078538057	1.06818586174616	1.09575034748082	1.24715461488113	0.185636576961912	1.1770552871583	0	0	0.522878745280338	0.194976603216055	0.386201605400794	0.286306738843275
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.28765246219138	1.77597433112937	3.18327933635462	1.87621784059164	1.39386755904091	1.38798271992147	1.26165930376471	1.45737719652391	2.95099733398881	0.0543576623225927	0	0.392110465011314	1.12926011039094	0.773298747589232	0	0.204119982655925	2.66913084737333	0.213074825308851	2.10709685739774	0.7481880270062	1.04139268515822	0.985276743179294	0.367976785294594	1.66401483540108	0	0.690196080028514	1.30102999566398	0.462397997898956	0	0.0669467896306132
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.57441713579566	1.93818603750591	3.23812140778151	1.85166594563487	0.792391689498254	0.6232492903979	0	2.32496800316207	2.84335737843796	0.690196080028514	0	0.431363764158987	0.0669467896306132	0.166331421766525	1.03073461697617	0.238882088915137	2.5178993514051	0.1249387366083	1.89468520378775	0.447158031342219	0.514104820972832	0.374137093999413	0	1.85308952985187	0	0.315270434778591	1.52676991151725	0.146128035678238	0	0.230448921378274
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.01438051151766	1.8354791845416	3.05540381739255	0	0	1.01001712075752	0.920818753952375	1.96879415923146	2.61401789910609	0	0	1.31806333496276	0	0.238882088915137	0	0	3.03070764132587	0	1.52590821583396	0	0.392110465011314	0	2.04688519083771	1.6063813651106	1.29225607135648	0	0	0.0543576623225927	2.7449706317346	0
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.35977226165677	2.35837907314766	3.23004850467459	0	0	1.98015493134166	1.20592578351919	3.18171023144719	2.79975396641189	0.308208580291105	0.271066772286538	0.436692597664054	0	0.882714227620226	0	0.213074825308851	2.91317783399047	0	2.10766212427685	1.06818586174616	0.963787827345555	0	1.48619425666645	1.9793966030856	0	0.0543576623225927	0.770852011642144	1.29812500502057	2.63323272794434	1.51188336097887
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	1.98121437127229	1.78816837114117	3.05366735216569	0	0	0.819543935541869	0.797036594544017	1.77060657819006	2.51631497577795	0	0	1.24879037757539	0	1.1593666416337	0	0	2.99217045112719	0	1.10151795524841	0	0.135662602000073	0	2.49037992000318	1.61839678760349	1.18657967066999	0	0	0	2.87617933760107	0
