SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.09699080446618	0.982481596076815	1.33827113530819	2.19234698940562	1.23576326415139	2.67970249248541	2.3209670307489	1.96411704617262	1.52247456239225	1.69225240243983	0.694911147859151	1.48347119097117	1.11238673959414	1.59313144962777	2.17237209323509	0	2.83446506395619	0.743108501476925	0.76098322524663	1.20031591907689	0.47033526537637	1.15257275466297	1.15257275466297	0.573357420452263	0.114719571426614	2.5541086634755	0.442078505812944	0.830424533406321	1.69795884094116	1.28193137963268	0	0	0.746742786132019	0.616951546729308	0	1.32365974209723	1.02358739727752	0	0	0.490383185387499	0	0	1.00899606466253
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.0202263397355	0.73759940669215	1.13664683920752	2.10420117177706	1.12544343681839	2.62076532707056	2.19325406458941	1.86950460348604	1.43434605558225	1.6550043450202	0.694911147859151	1.2496249029961	1.006018033689	1.51759479777416	2.02463837992681	0	2.90083693137834	0.882405388132093	1.04504992346053	1.06201322091061	0.362166739017963	1.10925667572511	1.00701298139084	0.591840826146276	0.0825348880552126	2.44068946411773	0.301029995663981	0.63134936742995	1.56738204251149	1.08420204742268	0	0	0.366531544420413	0.477121254719662	0	1.22144456672827	0.866218627038817	0	0.217789893139489	0.344255149709261	0	0	0.871681522740319
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.2824060472781	1.28298549297034	1.31200012955223	1.83206310139396	0.879749144488353	2.49454287699639	2.17406657248927	1.89364565606022	1.33641318816691	1.88293469286782	0.96092409479584	1.32029123615364	0.728259380438006	0.847974172922718	2.3968073473097	0	2.9684286447737	0.325572936741507	0.466902089537976	0	0	0.311014216570582	0.295950470134706	0.247345136701205	0.0567276244489271	2.66304316908171	0.179444901063269	0.886359538196132	1.45960285079648	1.33827113530819	0.0386294023561309	0	0.556863242590705	0.521867581885475	0.430989533647332	0.500070452790631	1.42571616205178	0	0	0.755697628784946	0.348802777459982	0	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.23546972275332	1.30654969942808	1.21595095821731	1.94321834962141	1.21656480211018	2.6613723808593	2.28387948204819	2.0127391566271	1.48809138860791	1.63111327365849	0.602059991327962	1.33454725841406	1.40792422957864	1.16310587763084	2.33552787106873	0	2.89026500820852	0.741279890430517	0.746742786132019	1.03584842498653	0.122406400092905	0.722557401613536	0.589248015567997	1.16793525443777	0.0655015487564323	2.3287587757705	0.311014216570582	0.684594879383175	1.54030036755706	1.10847062214961	0.819849884467451	0	0.509546344674509	0.682501889877331	0	1.22144456672827	1.04413849714091	0	0	0.616951546729308	0	0	0.0386294023561309
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.11857999223985	0.686677830531467	1.28245875611753	2.10870658764409	1.07664890953223	2.49959118717432	2.25628131968445	1.9767657197548	1.46930815930385	1.8042821072408	0.682501889877331	1.55602185811978	1.14395836680972	1.21901153805727	2.10988449582997	0	2.67334244003905	0.48047489672725	0.573357420452263	0	0	0.301029995663981	0.766205265901452	0.674027582333626	0.0567276244489271	2.59978155396151	0.172711518404301	0.942872894626206	1.55714334223402	1.26250627677948	0.0477727817960007	0	0.989780834818314	0.682501889877331	0.512659580098652	0.47033526537637	1.20348828147996	0	0	0.562431196829647	0.0825348880552126	0	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.1604615511931	1.14104851014896	1.32557293674151	1.62612542330636	1.1490041685867	2.40713388453449	1.97430814816211	1.85196902549671	1.15114883705329	2.00402127393292	1.34653491600416	1.63370327282343	1.45572991122556	1.06982292253907	2.14648859566732	0	2.50236359413309	0.348802777459982	0.524894036515663	0.217789893139489	0	0.530884400204851	0.530884400204851	0.970757597504883	0.137383556062558	2.64942543107575	0.144682794804057	1.30153469587407	1.84668226969369	1.57978359661681	0.527899546655388	0	1.07068206126021	0.890278011231978	0.383564883719194	0.791413181051481	0.813689575762633	0	0	0.51881988880347	0.399955299907363	0	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.26531155771024	0.539717812832687	1.19712021310556	2.00291913023357	1.07410172051835	2.43845035478422	2.15413369060275	1.92210961719337	1.24677332031589	2.02530586526477	0.696945317769604	1.23576326415139	0.423436395756886	1.03862940235613	1.94813991045247	0	2.80054125379015	0.158923233918667	0.908110788366994	0	0.114719571426614	0.129959537983351	0.581375392468111	1.06025849334406	0	2.41485679535164	0.19904045712665	0.769652065596231	1.42647343248237	1.18607547996228	0.264158635710855	0	0.843652799140076	0.391837409685184	0	0.137383556062558	0.932379363093931	0	0	0.348802777459982	0.0477727817960007	0	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.08751728857415	0.530884400204851	1.40395804236104	2.28972373484108	1.25583324692672	2.51101234532316	2.32852183186048	1.87384758449683	1.6055806375606	1.50892101053925	0.720639983567814	0.49686531291542	0	1.46552118382159	1.97899750837356	0	2.73491141604421	0	0.0386294023561309	1.07749466341569	0.229854404540869	0	1.11934797560868	1.48114252865259	0	2.38759674162298	0.106894233914657	0.935905454035459	1.46655727452828	1.27875360095283	0.311014216570582	0	0.50641063082165	0.427229384774025	0	0.818317979944704	1.14972023549567	0	0.339659398020112	1.08503323328769	0.0567276244489271	0	0.151861379431181
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.19904045712665	0	1.29390190745944	2.36748594282687	1.51544253752977	2.45710699964262	2.32638349922002	2.19628546334539	1.67381359145376	1.87276590403254	1.06025849334406	1.31980788108772	0	0.714836407468574	1.16518218986568	0	2.67398479259204	0	0.771365261040352	0.493636342785221	0.28034539680413	1.42798402350761	1.23752035818099	0.301029995663981	0.122406400092905	2.58511956090983	0.223864040851682	0.997975313433585	1.9476844363867	1.70458941984017	0.0655015487564323	0	1.06376088718013	0.741279890430517	0	1.51544253752977	0.438413551726539	0	0.692867405349165	1.63393796317332	0	0.098925304243382	1.1314545290703
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.788135471290245	0.295950470134706	1.69266250113121	2.39522477281433	1.40035723837372	2.65005890928211	2.2692956883445	1.95233055343341	1.7471045474873	1.66121816869986	1.33594745677439	1.83620631697221	0.801100448454612	0.487105475626263	2.24854350604707	0	2.10539134649261	0	0.0908074140212025	0	0.301029995663981	0.875734066751516	0.645285145373243	1.43136376415899	0.515750657075793	2.87798708171548	0.21162958443467	1.50007045279063	2.34278979367746	1.8426382612606	0	0	1.2690783237344	1.15186137943118	0	1.1314545290703	1.09812030960715	0	0	0.640689393684093	0.938240376229101	0	1.01683906755235
