SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0242075083847236	0.00385877601067474	0.0125770853618955	0.0950899780013704	0.00760936203974179	0.173699015471167	0.0672851527281907	0.0460889321648815	0.0155072306971041	0.0109181723105774	0.00118107396588409	0.000865519852861625	0	0.0210970464135021	0.0894550831259692	0	0.26081899816077	0	0.00112697897508024	0.00609470229723394	0.000315554113022467	0.00826751776118865	0.000396696599228245	0.00411121930109272	0.000216379963215406	0.0944588697753255	9.91741498070612e-05	0.00341700025244329	0.0197446716434058	0.00495870749035306	0	0	0.000531934076237874	0.00114501063868152	0	0.00286703451260413	0.0162104655775542	0	0.000387680767427603	0.00256951206318295	2.70474954019258e-05	0	0.002794907858199
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0875007771859651	0.000652836210648484	0.0099376178732047	0.076216036973327	0.00482891546289196	0.189716275310356	0.097365857702431	0.0173675156991565	0.0157613313713705	0.0149116080495741	0.00256989492445752	0.00121241010549004	0.00586516341630225	0.00169944664359288	0.0835837599220742	0	0.258844376282357	0	0.00269424467886676	0	0.000207249590682058	0.00322273113510601	0.000984435555739777	0.00315019377836729	7.25373567387204e-05	0.0856666183084288	0.000186524631613853	0.00190669623427494	0.0137510103417546	0.00502580257403992	0	0	0.000601023812977969	0.00199995855008186	0	0.000694286128784896	0.0101241425048186	0	0.000880810760398748	0.000725373567387204	7.25373567387204e-05	0	0
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0623116084480064	0.00513130702152326	0.00920409294823328	0.0759514088411714	0.00305458944503251	0.192862543474974	0.0900146176722617	0.0239326578960633	0.0154544079842734	0.0197691415897979	0.00502041433539997	0.00170371490498513	0.0131357427289682	0.00116941378093654	0.1372448208075	0	0.169857351681032	0	0.000282272291950199	0	0.000544382277332527	0.000665356116739755	0.00103835878824538	0.00549422853974495	0.000171379605826907	0.123473965421644	0.000100811532839357	0.00322596905085942	0.016452442159383	0.00668380462724936	0.000161298452542971	0	0.000655274963455819	0.00206663642320681	0	0.0011593326276526	0.009718231765714	0	0.000171379605826907	0.00104843994152931	0.000211704218962649	8.06492262714855e-05	0.000776248802863048
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.026736703873933	0.00220617202889035	0.0132107682206172	0.0658962573867367	0.0119238345370978	0.154668417596848	0.0905581089954038	0.043204202232436	0.0128956007879186	0.0486539724228496	0.0029940906106369	0.00148391332895601	0	0.00703873933026921	0.0479317137229153	0	0.235876559422193	0	0.000157583716349311	0.00253447143795141	0	0.0150623768877216	0.00235062376887722	0.00627708470124754	0.00010505581089954	0.138345370978332	6.56598818122127e-05	0.00409717662508207	0.0288640840446487	0.0089822718319107	0	0	0.00116874589625739	0.00120814182534471	0	0.00882468811556139	0.00739330269205515	0	0.00010505581089954	0.00887721602101116	9.19238345370978e-05	0	0.000210111621799081
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0439853657194729	0.00067853180388597	0.01065478319075	0.0858984586324833	0.00680365673626202	0.189869703554956	0.09676413684336	0.0315884062755023	0.0174859479731155	0.0337432032202753	0.0044104567252588	0.00409869886941931	0.0123419433517637	0.00183386974023235	0.0523019649914267	0	0.167349783144903	0	0.00225565978048579	0	0.00099028965972547	0.0342750254449426	0.00151294253569169	0.00393365059279839	0.000320927204540661	0.141666437432949	0	0.00456633565317856	0.0283883035787968	0.00614346362977838	0	0	0.00294336093307292	0.00315425595319964	0	0.00458467435058088	0.0038602958031891	0	0	0.000641854409081323	0.00015587892791975	0.000394281994149956	0.000403451342851117
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0544701675136458	0.000564652738565782	0.0160079051383399	0.110314323357802	0.00961791831357049	0.14515339732731	0.0997647280255976	0.0369376999811782	0.0284867306606437	0.0209486166007905	0.00670995670995671	0.00661584792019575	0.00487483530961792	0.000630528891398457	0.00718050065876153	0	0.251919819311124	0	3.76435159043855e-05	0	0.00041407867494824	0.00351966873706004	0.00139281008846226	0	0.000169395821569735	0.131507622811971	0.000178806700545831	0.00147750799924713	0.0243553547901374	0.0100131752305665	0	0	0.0012987012987013	0.00282326369282891	0	0.00244682853378506	0.0127423301336345	0	0.00110107284020328	0.00536420101637493	0.000536420101637493	0	0.000423489553924337
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0108403228358918	0.00575644880519069	0.019682702959329	0.132576357018516	0.00656749485678114	0.189804557683178	0.090026111726539	0.0648441209052065	0.0293064567178351	0.0207904731761355	0.00154296565912328	0.000949517328691249	0	0.00640924196866593	0.0560017407817693	0	0.20657936382339	0	0.00115722424434246	0	0.000504431080867226	4.94540275360025e-05	0.000138471277100807	0.00288811520810255	0.000217597721158411	0.0974837790789682	9.89080550720051e-05	0.00164187371419528	0.0149252255103656	0.00458933375534103	0.00182979901883209	0	0.000534103497388827	0.000672574774489634	0	0.000405523025795221	0.0208597088146859	0	0.000316505776230416	0.0096830985915493	0.000118689666086406	0	0.000207706915651211
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0278629624925148	0.0146618519661035	0.00370175470431327	0.121813133970858	0	0.187138216988151	0	0	0	0	0	0.00251320111052641	0.00199604420330618	0	0.0250594276796893	0.00646899780435138	0.105173383657842	0	0	0	0.00538931934892667	0	0.000199604420330618	0	0	0.29185795423615	0	0	0.00014516685114954	0.00871908399716925	0	0	0	0.000399208840661235	0	0	0.0107242011286723	0.00506269393384021	0	0	3.6291712787385e-05	0.151027962764703	0.0300495381879548
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0380371305576258	0.0229034805726426	0.0150112904481696	0.0247388736248457	0	0.256126319536369	2.78089856394398e-05	0.00233039299658506	0	0	0	0.0157732566546903	0.00251393230180536	0.00220803345977152	0.251165196498293	0	0.105051224151548	0	0.000172415710964527	0.000144606725325087	0.000289213450650174	0	0.0011067976284497	0	0.000105674145429871	0.136453130735603	0	0.00338157265375588	0.0131425266131993	0.00319803334853558	0	0.00149056163027397	0.00178533687805204	0.00136820209346044	0	0	0.0157454476690508	0	2.22471885115519e-05	0.000817584177799531	0.00314797717438459	0.0715413964560229	0.0102003359325465
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0248125747300989	0.0134055978844291	0.00240881836985835	0.138524511472434	0	0.157480864730884	0	0	0	0	0	0.00146623726860943	0.00137896124071601	0	0.0151773012506655	0.00876251320049922	0.0769425461908378	0	0	0	0.00438125660024961	0	0.00351722392410477	0	0	0.256888260501488	0	0	3.49104111573674e-05	0.00301102296232294	0	0	0	9.60036306827604e-05	0	0	0.0106127649918397	0.00376159680220634	0	0	0	0.196615435638293	0.0807215981986228
