SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0242075083847236	0.00367845937466191	0.000640124057845577	9.91741498070612e-05	0.00790688448916297	0.034242129178838	0.0015056439107072	0.00726676043131739	0.0109181723105774	3.60633272025677e-05	0.00362436438385805	0	0	0	0	0.000216379963215406	0	0.000964694002668686	9.91741498070612e-05	0	0.000387680767427603	0.00256951206318295	0.901637275054997
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0875007771859651	0.000652836210648484	0	0	0.00295330666721933	0.050848687073843	0.0014196596961721	0.00807237155706617	0.0149116080495741	0	0.00159582184825185	0	0	0	0	7.25373567387204e-05	0.000165799672545647	0	0.000414499181364117	0	0.000880810760398748	0.000725373567387204	0.829785911172825
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0623116084480064	0.00501033318211603	0.00081657341599879	0.000161298452542971	0.00652250617470639	0.0489944049599274	0.000796411109430919	0.00539341700690559	0.0197691415897979	0	0.00116941378093654	0	0	0	0	0.000171379605826907	0.00152225414587429	0.000574625737184334	0.000131054992691164	0	0.000171379605826907	0.00104843994152931	0.845435757850698
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.026736703873933	0.00200919238345371	0.000801050558108995	0.000393959290873276	0.00970453053184504	0.0363361785948785	0.000892974392646093	0.00697307944845699	0.0486539724228496	0	0.00118187787261983	0	0	0	0	0.00010505581089954	0	0.00173342087984242	0	0	0.00010505581089954	0.00887721602101116	0.855495732107682
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0439853657194729	0.000586838316874352	0.000495144829862735	0	0.00189805518114048	0.066945414867182	0.00190722452984165	0.0069778743615841	0.0337432032202753	5.50160922069705e-05	0.00168716016101376	0	0	0	0	0.000320927204540661	0	0.000559330270770867	0.0003117578558395	0	0	0.000641854409081323	0.839884832980313
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0544701675136458	0.000357613401091662	0.000799924712968191	0.000131752305665349	0.0260869565217391	0.0424148315452663	0.000959909655561829	0.00503482025221156	0.0209486166007905	0.00315264445699228	0	0.000978731413514022	0	0	0	0.000169395821569735	0	0.000649350649350649	0.000112930547713156	0	0.00110107284020328	0.00536420101637493	0.837267080745342
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0108403228358918	0.00540037980693148	0.000553885108403228	0.000207706915651211	0.020325605317297	0.0452801076119639	0.00339254628896977	0.0104743630321253	0.0207904731761355	0	0.00181990821332489	0.000158252888115208	0	0	0	0.000217597721158411	0.00228477607216332	0.000346178192752018	0	0	0.000316505776230416	0.0096830985915493	0.867908292451337
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0278629624925148	0.0146618519661035	0	0	0	0	0	0	0	0	0	0	0	0.00646899780435138	0	0	0.250167849171642	0	0	0.00506269393384021	0	0	0.695775644631548
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0380371305576258	0.0229034805726426	0.00104561786004294	0	0	2.78089856394398e-05	0	0	0	0	0.000533932524277244	0	0	0	0	0.000105674145429871	0.000839831366311082	0.00129033693367001	0.000344831421929054	0	2.22471885115519e-05	0.000817584177799531	0.934031524266121
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0248125747300989	0.0134055978844291	0	0	0	0	0	0	0	0	0	0	0	0.00876251320049922	0	0	0.240864381780256	0	0	0.00376159680220634	0	0	0.70839333560251
