SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.89919494310842	2.26650048486614	3.56898074285605	2.17938762768491	1.08432088570004	0.895264649479987	3.29046392111653	2.95801751487577	0.594234653816006	0	2.18731923881851	1.85082121281714	0.26884531229258	0.397940008672038
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.34312713269102	2.16307614399217	3.38619310640409	0	0	1.31776495330767	3.03859177947203	3.3830327260429	0	2.37579420920526	2.09790155335178	0	3.07565122126145	0
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.68975269613916	2.68835624965657	3.56090532737157	0	0	2.30871682433027	3.66656477700791	3.3192399424168	0	1.80955971463527	2.30856441356124	1.06069784035361	2.98236816295447	1.83569057149243
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.30978220470451	2.11537273752004	3.38445582396688	0	0	1.11394335230684	2.9232069991117	3.34119420407358	0	2.82062362837314	2.07424159677316	0	3.20686440976879	0
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.15337926302225	2.37514083992015	3.14634955798955	0	0	1.64204033546293	3.17416368356132	3.01780817354874	0	2.05335287918412	2.06579304863027	0.83614319736133	2.84801307544788	0.936657334638212
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.29320465815202	2.48592413102757	3.48539690228796	0	0	2.22382957166782	3.44118997883583	3.37943502259183	0	1.53420747773633	1.89565928329351	1.00309107697714	2.93905547237454	1.79088807178658
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.54380206833998	2.62465036049091	3.48063307519347	0	0	1.95424250943932	3.44650388142642	3.31235872811997	0	2.49919596588406	2.50987428500472	1.07658843546935	3.2122827505281	1.02996322337744
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.61939150741971	2.57691695596521	3.46322087977479	0	0	1.54583706708912	3.44825346380642	3.2842534346047	0	2.34983235920347	2.36118800439818	0.679946767022588	2.9789626774044	0.929418925714293
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.39232001603198	2.40127742398925	3.50433491180246	0	0	1.43707073829038	3.23451728351269	3.49955944568474	0	2.39005149645899	2.26211192963361	0	3.25933785430629	0
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.44169513564072	2.55552628164751	3.63255851453267	0	0	2.67884342544546	3.15318309979405	3.64464956565946	0	2.66045889864956	2.45156715024727	0	3.40706296545073	0.767685816705479
