SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0242075083847236	0.0164358613725702	0.405279671102456	0.0109181723105774	0.00118107396588409	0.000865519852861625	0	0.110552129539471	0.26081899816077	0.00112697897508024	0.00609470229723394	0.000315554113022467	0.00826751776118865	0.000396696599228245	0.00411121930109272	0.000216379963215406	0.0944588697753255	9.91741498070612e-05	0.0281203793862022	0.000531934076237874	0.00114501063868152	0.00286703451260413	0.00219986295935663	0.0162104655775542	0	0.000387680767427603	0.00256951206318295	2.70474954019258e-05	0	0.000595044898842367
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0875007771859651	0.0105904540838532	0.401255932519533	0.0149116080495741	0.00256989492445752	0.00121241010549004	0.00586516341630225	0.085283206565667	0.258844376282357	0.00269424467886676	0	0.000207249590682058	0.00322273113510601	0.000984435555739777	0.00315019377836729	7.25373567387204e-05	0.0856666183084288	0.000186524631613853	0.0206835091500694	0.000601023812977969	0.00199995855008186	0.000694286128784896	0	0.0101241425048186	0	0.000880810760398748	0.000725373567387204	7.25373567387204e-05	0	0
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0623116084480064	0.0143353999697565	0.401270225313776	0.0197691415897979	0.00502041433539997	0.00170371490498513	0.0131357427289682	0.138414234588437	0.169857351681032	0.000282272291950199	0	0.000544382277332527	0.000665356116739755	0.00103835878824538	0.00549422853974495	0.000171379605826907	0.123473965421644	0.000100811532839357	0.0265235142900348	0.000655274963455819	0.00206663642320681	0.0011593326276526	8.06492262714855e-05	0.009718231765714	0	0.000171379605826907	0.00104843994152931	0.000211704218962649	8.06492262714855e-05	0.000695599576591562
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.026736703873933	0.0154169402495076	0.379146421536441	0.0486539724228496	0.0029940906106369	0.00148391332895601	0	0.0549704530531845	0.235876559422193	0.000157583716349311	0.00253447143795141	0	0.0150623768877216	0.00235062376887722	0.00627708470124754	0.00010505581089954	0.138345370978332	6.56598818122127e-05	0.0419435325016415	0.00116874589625739	0.00120814182534471	0.00882468811556139	5.25279054497702e-05	0.00739330269205515	0	0.00010505581089954	0.00887721602101116	9.19238345370978e-05	0	0.000157583716349311
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0439853657194729	0.0113333149946359	0.42841031001568	0.0337432032202753	0.0044104567252588	0.00409869886941931	0.0123419433517637	0.054135834731659	0.167349783144903	0.00225565978048579	0	0.00099028965972547	0.0342750254449426	0.00151294253569169	0.00393365059279839	0.000320927204540661	0.141666437432949	0	0.0390981028617537	0.00294336093307292	0.00315425595319964	0.00458467435058088	0.000146709579218588	0.0038602958031891	0	0	0.000641854409081323	0.00015587892791975	0.000394281994149956	0.000256741763632529
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0544701675136458	0.0165725578769057	0.430274797666102	0.0209486166007905	0.00670995670995671	0.00661584792019575	0.00487483530961792	0.00781102955015998	0.251919819311124	3.76435159043855e-05	0	0.00041407867494824	0.00351966873706004	0.00139281008846226	0	0.000169395821569735	0.131507622811971	0.000178806700545831	0.0358460380199511	0.0012987012987013	0.00282326369282891	0.00244682853378506	0.000376435159043855	0.0127423301336345	0	0.00110107284020328	0.00536420101637493	0.000536420101637493	0	4.70543948804818e-05
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0108403228358918	0.0254391517645197	0.513125098908055	0.0207904731761355	0.00154296565912328	0.000949517328691249	0	0.0624109827504352	0.20657936382339	0.00115722424434246	0	0.000504431080867226	4.94540275360025e-05	0.000138471277100807	0.00288811520810255	0.000217597721158411	0.0974837790789682	9.89080550720051e-05	0.022986231998734	0.000534103497388827	0.000672574774489634	0.000405523025795221	0	0.0208597088146859	0	0.000316505776230416	0.0096830985915493	0.000118689666086406	0	0.000207706915651211
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0278629624925148	0.0183636066704168	0.308951350959008	0	0	0.00251320111052641	0.00199604420330618	0.0250594276796893	0.111642381462193	0	0	0.00538931934892667	0	0.000199604420330618	0	0	0.29185795423615	0	0.00886425084831879	0	0.000399208840661235	0	0.0300495381879548	0.0107242011286723	0.00506269393384021	0	0	3.6291712787385e-05	0.151027962764703	0
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0380371305576258	0.0379147710208122	0.283223395143439	0	0	0.0157732566546903	0.00251393230180536	0.253373229958064	0.105051224151548	0.000172415710964527	0.000144606725325087	0.000289213450650174	0	0.0011067976284497	0	0.000105674145429871	0.136453130735603	0	0.0212126942457647	0.00178533687805204	0.00136820209346044	0	0.0049444376466924	0.0157454476690508	0	2.22471885115519e-05	0.000817584177799531	0.00314797717438459	0.0715413964560229	0.00525589828585413
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0248125747300989	0.0158144162542874	0.296005376203318	0	0	0.00146623726860943	0.00137896124071601	0.0151773012506655	0.085705059391337	0	0	0.00438125660024961	0	0.00351722392410477	0	0	0.256888260501488	0	0.00304593337348031	0	9.60036306827604e-05	0	0.0807215981986228	0.0106127649918397	0.00376159680220634	0	0	0	0.196615435638293	0
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0266812274173543	0.0445855578924662	0.264196731920401	0	0	0.00808930593755056	0.00195491560157472	0.240468101170253	0.0391522407377447	0.000107857412500674	0	0.00105160977188157	2.69643531251685e-05	0.00103812759531899	0	0	0.173434719301084	0	0.0206951410235668	0	0.000215714825001348	0	0.0211535350266947	0.0217737151485736	0	0	0.00110553847813191	0.000768484064067303	0.132057919430513	0.00144259289219652
