SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0712667853098204	0.264196731920401	0	0	0.00808930593755056	0.478145391792051	0	0.0429272501752683	0.133931941972712	0.00144259289219652
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0504201680672269	0.307888223782664	0	0	0.0167635547369633	0.519288879935536	0	0.0111661102797283	0.0883504086566133	0.00612265454126856
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.069825048309492	0.274469244037506	0	0	0.00807968148157755	0.439992477985138	0	0.0578417004941186	0.1489099562945	0.000881891397668175
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0801872120024016	0.29414998661738	0	0	0.0034577796425032	0.478953117427065	0	0.0457251571553614	0.0967671930497182	0.000759554105570787
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0458586125032973	0.294790292798734	0	0	0.00243339488261672	0.449901081508837	0	0.0393629649169085	0.167653653389607	0
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0436281040899504	0.29527878427343	0	0	0.0327874494225692	0.401487701633719	0	0.0508257088214906	0.175657936784972	0.000334314973869352
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0591837865334347	0.30561417469567	0	0	0.0257263876787324	0.414296578712774	0	0.0357187825797906	0.159460289799598	0
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0115208478193109	0.377802287385811	0	0	0	0.484624883113146	0	0.00207998657299734	0.123971995108735	0
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0172915834505595	0.169153019225092	0.0501785890021593	0.0127472603810285	0.00368177002830795	0.735404618421586	0.00503638352928918	0.000272080489513323	0.00623469547246488	0
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.00816960673248098	0.444874575173976	0	0	0	0.54070885256514	0	0.00578087069105033	0.000466094837352322	0
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0124339788732394	0.43495696400626	0	0	0	0.544545921361502	0	0.00723787167449139	0.000825264084507042	0
D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0112355177290242	0.25145633587192	0	0	0	0.633639088184543	0	0.00254291163382072	0.101126146580692	0
D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.00953556793107072	0.343219151693461	0	0	0	0.642280480543589	0	0.00488599348534202	7.88063465377745e-05	0
D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0062923355293681	0.297207014939222	0	0	0	0.517531548668461	0	0.00422195416164053	0.174747146701308	0
